O=C(C1CCCO1)N2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641671	pIC50=7.53
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)c2ccc(cc2)C#CCNC(=O)c3ccc(cc3)C#CCNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc4ccc(OP(=O)(O)O)cc4)NC(=O)C)[C@@H](C)O)[C@@H](C)O)C(=O)N	CHEMBL1793842	pKd=7.54
CCN(Cc1nccn1C)C(=O)c2cc3cc(Nc4nccc(n4)c5cn(C)cn5)cc(C)c3[nH]2	CHEMBL3668874	pIC50=7.54
CCN1CCC(CC1)N2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641626	pIC50=7.54
CN(CC1CCN(C)CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641627	pIC50=7.54
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OC[C@@H]6CCCO6)ccn5)ccc3[nH]2	CHEMBL3641593	pIC50=7.54
COCCCN(C)C(=O)c1cc2cc(Nc3nccc(n3)c4ccccn4)ccc2[nH]1	CHEMBL3641644	pIC50=7.54
COCc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCn6ccnc6C5)n2	CHEMBL3643790	pIC50=7.54
O=C(N1CCC(CN2CCOCC2)CC1)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641657	pIC50=7.54
O=C(N1CCN(CCN2CCCC2)CC1)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641654	pIC50=7.54
O=C([C@@H]1CCCO1)N2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641512	pIC50=7.54
CN1C=Nc2cc(nc(N[C@@H]3CC[C@@H](O)C3)c2C1=O)c4ccc(cc4)N5CCOCC5	CHEMBL3641437	pIC50=7.55
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCCCF)ccn5)ccc3[nH]2	CHEMBL3641538	pIC50=7.55
CN1CCN(CC1)c2ccc(cc2)c3cc4N=CN(C)C(=O)c4c(N[C@@H]5CCOC5)n3	CHEMBL3641350	pIC50=7.55
COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4cc(nc4c2C(=O)N)c5ccccc5)cc(OC)c1	CHEMBL459147	pIC50=7.55
COc1cc(Nc2nccc(n2)c3nccs3)cc(c1)C(F)(F)F	CHEMBL512319	pKi=7.55
COc1ccc(Nc2nc(cn3ccnc23)c4ccc(C)c(c4)C(=O)N)cc1OC	CHEMBL3265009	pIC50=7.55
COc1ccc2[nH]cc(\C=C\3/C(=O)Nc4ccc(cc34)S(=O)(=O)N)c2c1	CHEMBL106226	pIC50=7.55
O=C(CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2)N6CCCC6	CHEMBL3641683	pIC50=7.55
O=C(N1CCOCC1)N2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641672	pIC50=7.55
O=C(N1CCn2ccnc2C1)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641675	pIC50=7.55
OCCN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641684	pIC50=7.55
COc1cc(cnc1OC)c2cc(O[C@H](C)[C@H]3CNC(=O)C3)c4cccnc4c2	CHEMBL3653827	pIC50=7.56
COc1ccc(cc1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)N4)n2	CHEMBL3696016	pIC50=7.56
CC(C)Nc1nc(cc2N=CN(C)C(=O)c12)c3ccc(NC4CCN(C)CC4)c(c3)S(=O)(=O)C	CHEMBL3698049	pIC50=7.57
CN1C=Nc2cc(nc(OCCc3cn[nH]c3)c2C1=O)c4ccc(cc4)N5CCOCC5	CHEMBL3643524	pIC50=7.57
CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4OC(F)(F)C(=O)Nc4c3)n2)c1	CHEMBL2170582	pEC50=7.57
COC(=O)c1ccc2c(CCCC2(O)c3ncc(s3)c4cc(C)cc(Nc5cc(ccn5)C(F)(F)F)n4)c1Br	CHEMBL3698421	pIC50=7.57
COc1ccc(Nc2nc(cn3ccnc23)c4cccc(c4)C(=O)N)cc1OC	CHEMBL3265005	pIC50=7.57
COc1ccc2c(c1)c(\C=C\3/C(=O)Nc4ccc(cc34)S(=O)(=O)N)cn2Cc5cccc(c5)C(=O)O	CHEMBL106095	pIC50=7.57
C[C@H](O)CNc1ccc(cc1S(=O)(=O)C)c2cc3N=CN(C)C(=O)c3c(N[C@@H]4CCOC4)n2	CHEMBL3701572	pIC50=7.57
N(c1ccccc1)c2nc(cn3ccnc23)c4ccc5cn[nH]c5c4	CHEMBL3265027	pIC50=7.57
[O-][S+]1CCN(CC1)C2CCN(CC2)C(=O)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641660	pIC50=7.58
C1CN(CCO1)c2ccc(Nc3nc(cn4ccnc34)c5ccc6cn[nH]c6c5)cc2	CHEMBL3265032	pEC50=7.59
CC(C)(C)NC(=O)c1c[nH]c2ncc(nc12)c3ncn4CCCCc34	CHEMBL2347996	pIC50=7.59
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OCCC6CC6)ccn5)ccc3[nH]2	CHEMBL3643734	pIC50=7.59
COCCNc1nc(cc2N=CN(C)C(=O)c12)c3ccc(NCCN4CCOCC4)c(c3)S(=O)(=O)C	CHEMBL3698096	pIC50=7.59
C[C@@H](Oc1nc(cc2ncsc12)c3cnn(C)c3)[C@H]4CNC(=O)C4	CHEMBL3622205	pIC50=7.59
C[C@H](CO)Nc1nc(cc2N=CN(C)C(=O)c12)c3ccc(cc3)N4CCN(C)CC4	CHEMBL3641362	pIC50=7.59
Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(s3)C(=O)NC(CO)CO	CHEMBL3685791	pIC50=7.59
Cc1ccc(O)cc1Nc2ccnc(Nc3cccc(c3)C(=O)N)n2	CHEMBL249097	pIC50=7.59
O=C(N1CCC(CC1)OCCN2CCCC2)c3cc4cc(Nc5nccc(n5)c6ccccn6)ccc4[nH]3	CHEMBL3641641	pIC50=7.59
O=C(N1CCOCC1)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641687	pIC50=7.59
OCCCOc1cc(Nc2nccc(n2)c3nccs3)cc(c1)C(F)(F)F	CHEMBL475254	pKi=7.59
CC1CCCN1c2cccc(Nc3cc(nn4ccnc34)c5cccc(CO)c5)n2	CHEMBL2177734	pIC50=7.6
CCN(CC)CC(O)CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5ccccn5)ccc3[nH]2	CHEMBL3641619	pIC50=7.6
CN1C=Nc2cc(nc(N[C@@H]3CCOC3)c2C1=O)c4ccc(cc4)C5CCNCC5	CHEMBL3641385	pIC50=7.6
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(OC6CCC6)ccn5)ccc3[nH]2	CHEMBL3643733	pIC50=7.6
CN1CCN(CC1)C(=O)c2cc3cc(Nc4nccc(n4)c5cc(O[C@@H]6CCOC6)ccn5)ccc3[nH]2	CHEMBL3641592	pIC50=7.6
CN1CCN(CC1)C(=O)c2sc3ccc(Nc4nccc(n4)c5ccccn5)cc3c2C	CHEMBL3641501	pIC50=7.6
COc1cc(cc(Cl)c1OC)c2cc3ncccc3c(OC[C@H]4CNC(=O)C4)n2	CHEMBL3695951	pIC50=7.6
COc1ccnc(c1)c2ccnc(Nc3ccc4[nH]c(cc4c3)C(=O)N5CCC5)n2	CHEMBL3641558	pIC50=7.6
