OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO	dipyridamole	pIC50=5.49	pIC50=5.49	pIC50=5.49
CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc12	CHEMBL50378	pKi=6.0
CCCc1nc(C)c2c(NS(=O)(=O)C)nc3ccc(OC)nc3n12	CHEMBL1085374	pIC50=6.0
COc1ccnc2c1nnc3c(C)nc(c4cccnc4C)n23	CHEMBL2070646	pIC50=6.01
Cl.COc1ccc(CNc2nnc(N3CCC(O)CC3)c4ccc(cc24)C#N)cc1Cl	CHEMBL545712	pIC50=6.01
CCOC(=O)c1sc(Nc2nc(NCc3ccc(cc3)S(=O)(=O)N)c4c(ncn4CC)n2)nc1C	CHEMBL100503	pIC50=6.02
COc1cc(OC(F)F)cc2c1nnc3c(C)nc(c4ccncc4C)n23	CHEMBL2070669	pIC50=6.03
Cc1nc2cccnc2n3c(nnc13)c4cc(OC5CCC(O)CC5)ccc4Cl	CHEMBL3693298	pIC50=6.04
Brc1ccc2NC(=O)C(=C(\C=C\c3ccccn3)c2c1)c4cccs4	CHEMBL3665540	pKi=6.05
COc1ccccc1c2nc(C)c3nnc4c(OC)cc(F)cc4n23	CHEMBL2070657	pIC50=6.05
COc1cc(cc2c1nnc3c(C)nc(c4cnccc4C)n23)C(F)(F)F	CHEMBL2070667	pIC50=6.06
CCC(CC)c1nn(CC)c2C(=O)NCC(=Nc12)c3ccc(cc3)C(=O)O	CHEMBL2387019	pIC50=6.08
CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc12	CHEMBL296435	pIC50=6.1
COc1cc(OC)c2nnc3c(C)nc(c4cnccc4C)n3c2c1	CHEMBL2070652	pIC50=6.11
COc1cc(cc2c1nnc3c(C)nc(c4cccc(F)c4C)n23)C(F)(F)F	CHEMBL2070668	pIC50=6.14
COc1cc(F)cc2c1nc(C)c3c(C)nc(c4sc(C)nc4C)n23	CHEMBL1916115	pIC50=6.21
Cc1ccccc1c2nc(C)c3c(C)nc4c(OCC(F)(F)F)cc(F)cc4n23	CHEMBL1916120	pIC50=6.21
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C(C)(C)O)C(F)(F)F	CHEMBL3693367	pIC50=6.21
COc1cc(OC)c2nnc3c(C)nc(c4ccncc4C)n3c2c1	CHEMBL2070653	pIC50=6.23
COc1ccc(cc1c2ccccc2F)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387433	pIC50=6.23
Cc1nc2ccc(nc2n3c(nnc13)c4cc(ccc4F)C5(O)CCOC5)C(F)(F)F	CHEMBL3693356	pIC50=6.23
CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)NCCCCCCO	CHEMBL3401745	pIC50=6.25
COc1cc(OC)c2nnc3c(C)nc(c4ccccc4C(F)(F)F)n3c2c1	CHEMBL2070650	pIC50=6.28
COc1cc(cc2c1nc(C)c3c(C)nc(c4ccncc4C)n23)N5CCOCC5	CHEMBL1916126	pIC50=6.3
COc1ccc(cc1c2ccccc2SC)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387431	pIC50=6.3
Cc1cccc(Cl)c1c2nnc3c(C)nc4ncccc4n23	CHEMBL3692711	pIC50=6.3
COc1cc(cc2c1nc(C)c3c(C)nc(c4ccnc(F)c4)n23)c5ccnc(F)c5	CHEMBL3741064	pIC50=6.32
COc1ccc(cc1c2ccc(F)cc2F)C3=Nc4c(C(=O)NC3)n(CCCO)nc4C(C)(C)C	CHEMBL2387432	pIC50=6.32
Cc1cccc(Cl)c1c2nnc3c(C)nc4cnccc4n23	CHEMBL3692712	pIC50=6.33
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5CCOCC5O)ccc4F)C(F)(F)F	CHEMBL3693377	pIC50=6.33
Cc1nc2cccnc2n3c(nnc13)c4cc(ccc4F)C5(O)CCC5	CHEMBL3693343	pIC50=6.36
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5COCC5O)ccc4F)C(F)(F)F	CHEMBL3693369	pIC50=6.37
CC(Oc1ccc(Cl)c(c1)c2nnc3c(C)nc4cccnc4n23)C5CCOCC5	CHEMBL3693297	pIC50=6.38
CC(C)Oc1cncc(c1)c2nnc3c(C)nc4ccc(CN5CCOCC5)cc4n23	CHEMBL3331520	pIC50=6.39
COc1cc(Cl)c2nc(C)c3c(C)nc(c4ccncc4C)n3c2c1	CHEMBL1916131	pIC50=6.39
COc1cc(cc2c1nc(C)c3c(C)nc(c4ccc(F)nc4)n23)c5ccc(F)nc5	CHEMBL3741850	pIC50=6.4
Cc1nc2ccc(nc2n3c(nnc13)c4cc(OC5COCCC5O)ccc4F)C(F)(F)F	CHEMBL3693376	pIC50=6.41
COc1cc(cc2c1nnc3c(C)nc(c4ccncc4C)n23)C(F)(F)F	CHEMBL2070666	pIC50=6.46
CCC(CC)c1nn(CCCO)c2C(=O)NCC(=Nc12)c3ccc(cc3)n4ccnc4C	CHEMBL2387137	pIC50=6.48
Cc1cnccc1c2nc(C)c3c(C)nc4c(Cl)cc(cc4n23)C(F)(F)F	CHEMBL1916132	pIC50=6.49
Cc1nc(c2cnn(C)c2c3ccccc3)c4c(ncnn14)N5CCC5	CHEMBL3655789	pIC50=6.49
Cc1nc2ccncc2n3c(nnc13)c4cc(ccc4Cl)N5CCOCC5	CHEMBL3425535	pIC50=6.51
CCOc1cc(F)cc2c1nc(C)c3c(C)nc(c4ccccc4C)n23	CHEMBL1916119	pIC50=6.52
COc1cc(F)cc2c1nc(C)c3c(C)nc(c4cnccc4C)n23	CHEMBL1916112	pIC50=6.52
COc1ccc2nc(C)c3c(C)nc(c4cn[nH]c4)n3c2n1	CHEMBL1915908	pIC50=6.52
Cc1ccc(nc1)c2c(cnn2C)c3nc(C)n4ncnc(N5CC(F)(F)C5)c34	CHEMBL3655796	pIC50=6.54
CCOC(=O)c1ccc2c(c1)nc(C)c3nnc(c4ccccc4)n23	CHEMBL2313244	pIC50=6.55
COc1ccc2nc(C)c3c(C)nc(c4cccn4C)n3c2n1	CHEMBL1915907	pIC50=6.56
CCCc1nc(C)c2c(C)nc3ccc(OC)nc3n12	CHEMBL1086110	pIC50=6.57
COc1cc(F)cc2c1nnc3c(C)nc(c4sccc4C)n23	CHEMBL2070664	pIC50=6.57
CCNC(=O)c1ccc2nc(C)c3nnc(c4ccccn4)n3c2c1	CHEMBL2313251	pIC50=6.58
CC(C)(C)c1nn(CCO)c2C(=O)NCC(=Nc12)c3ccc(F)cc3	CHEMBL2387020	pIC50=6.59
