CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	triptorelin	pEC50=9.025	pEC50=9.025	pEC50=9.025
CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	nafarelin	pKd=9.699	pKd=9.699	pKd=9.699
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	leuprorelin	pIC50=9.5229	pIC50=9.5229	pIC50=9.5229	pIC50=9.1
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	abarelix	pKi=9.30000019	pKi=9.30000019	pKi=9.30000019
[H][C@]1(CC(=O)NC(=O)N1)C(=O)NC1=CC=C(C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](CC2=CN=CC=C2)NC(=O)[C@@H](CC2=CC=C(Cl)C=C2)NC(=O)[C@@H](CC2=CC3=C(C=CC=C3)C=C2)NC(C)=O)C(=O)N[C@H](CC2=CC=C(NC(N)=O)C=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(N)=O)C=C1	degarelix	pKi=8.77000046	pKi=8.77000046	pKi=8.77000046
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	buserelin
CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	gonadorelin	pIC50=8.0	pIC50=8.0	pIC50=8.0
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	goserelin
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1=CN(CC2=CC=CC=C2)C=N1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	histrelin
CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	cetrorelix	pKi=8.8	pKi=8.8	pKi=8.8
CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	ganirelix
CCC(CC)OC(=O)C1=CN(Cc2ccccc2F)c3cc(c(CN(C)Cc4ccccc4)n3C1=O)c5ccc(N)cc5	CHEMBL130487	pKi=7.0
CCOC(=O)C1=CN(Cc2ccccc2C#N)c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(OC)cc5	CHEMBL211588	pIC50=7.0
CCOC(=O)C1=CN(Cc2ccccc2F)c3c(C#N)c(c(CN(C)CCc4ccccn4)n3C1=O)c5ccc(OCC(C)C)cc5	CHEMBL334063	pKi=7.0
CCOC(=O)C1=CN(Cc2ccccc2[N+](=O)[O-])c3sc(c(CN(C)Cc4ccccc4)c3C1=O)c5ccc(OC)cc5	CHEMBL206964	pIC50=7.0
CN(Cc1ccccc1)Cc2c(sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c23)c5ccccc5)c6ccc(NC(=O)c7ccccc7)cc6	CHEMBL280212	pIC50=7.0
CN(c1cccc(C)c1)S(=O)(=O)c2ccc(Cl)c(c2)N3C(=O)Nc4sccc4C3=O	CHEMBL3668005	pIC50=7.0
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C(=C(C1=O)c3ccc4OCOc4c3)C)c5ccccc5	CHEMBL178281	pKi=7.0
COc1c(C)cc(cc1C)c2[nH]c3ccc(cc3c2[C@H](C)CNCCc4ccccc4)C(C)(C)C(=O)N(CC(C)C)CC(C)C	CHEMBL371722	pIC50=7.0
COc1ccc(CN2CCC3=C(C2)C(=O)N(CCN(C)CCc4ccccn4)C(=O)N3Cc5c(F)cccc5F)cc1	CHEMBL235051	pKi=7.0
COc1ccc(cc1)c2nc3N(Cc4ccccc4F)C(=C(C(=O)n3c2CN(C)CCc5ccccn5)c6cc(Cl)cc(Cl)c6)C	CHEMBL304548	pKi=7.0
COc1ccccc1CN2C(=C(C(=O)N(C[C@H](N)c3ccccc3)C2=O)c4ccccc4F)C	CHEMBL366865	pKi=7.0
CN[C@@H](CN1C(=O)N(Cc2c(F)cccc2C(F)(F)F)C(=C(C1=O)c3cccc(OCCN(C)CC(=O)O)c3F)C)c4ccccc4	CHEMBL452198	pKi=7.01
CONC(=O)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL22055	pIC50=7.02
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(CCN(C)Cc4ccccn4)C2=O	CHEMBL112611	pKi=7.02
C[C@H](CNC(=O)N1CCC(C1)c2ccccc2)c3c([nH]c4sc(cc34)C(C)(C)C(=O)N5CCCC5)c6cc(C)cc(C)c6	CHEMBL400390	pIC50=7.02
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@@H](N)C4CCCC4)C2=O)c1F	CHEMBL119185	pKi=7.03
NC(CN1C(=O)N2C(CSC2=C(C1=O)c3ccccc3Cl)c4ccccc4F)c5ccccc5	CHEMBL181945	pKi=7.03
CCOC(=O)C1=CN(Cc2ccccc2F)c3c(F)c(c(CN(C)Cc4occc4)n3C1=O)c5ccc(OCC(C)C)cc5	CHEMBL117346	pKi=7.04
Cc1cc2c(cc1Cc3oc(cc3)C(=O)NCc4cccc(CN)c4)C(C)(C)CCC2(C)C	CHEMBL421418	pKi=7.04
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N([C@H](C)CNCc4ccccc4F)C2=O	CHEMBL111980	pKi=7.05
Cc1ncoc1CN2CCN(CC2)c3cccc4[nH]c(nc34)c5ccc(cc5)C(C)(C)C	CHEMBL492587	pIC50=7.05
N[C@@H](CN1C(=O)N(Cc2c(F)cccc2F)C(=O)N(C1=O)c3ccccc3F)c4ccccc4	CHEMBL182284	pKi=7.05
CC(C)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)Cc5ccccc5)c6ccccc6	CHEMBL330834	pKi=7.06
CC1CN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CCC1C(=O)N7CCOCC7	CHEMBL399857	pIC50=7.06
COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](C)NCc4sccc4C)C2=O)c1F	CHEMBL283381	pKi=7.06
Cl.COc1cccc(C2=C(C)N(Cc3c(F)cccc3F)C(=O)N(C[C@H](C)NC4CCC4)C2=O)c1F	CHEMBL3085404	pKi=7.06
CN(CCN1C(=O)N(Cc2c(F)cccc2F)C3=C(CN(Cc4ccccc4C)CC3)C1=O)CCc5ccccn5	CHEMBL236332	pKi=7.07
COc1cccc(N2C(=O)N(C[C@H](N)c3ccccc3)C(=O)N(Cc4ccccc4C#N)C2=O)c1F	CHEMBL175443	pKi=7.07
COc1cccc(c1)C2=C(C)N(Cc3c(F)cccc3F)C(=O)N([C@H](C)CNCc4cccc(F)c4)C2=O	CHEMBL111933	pKi=7.07
Cc1ccccc1COc2ccc(Cl)c(c2)N3C(=O)Nc4csc(C(=O)O)c4C3=O	CHEMBL3668007	pIC50=7.07
COc1cccc(c1)N2C(=O)N(CCC(N)c3ccc(F)cc3)C(=O)N(Cc4c(F)cccc4F)C2=O	CHEMBL175869	pKi=7.08
