CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1	levomilnacipran	pKi=7.03526926	pKi=7.03526926	pKi=7.03526926	pIC50=7.4
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=6.31875896	pKi=6.31875896	pKi=6.31875896
CC(N)CC1=CC=CC=C1	amfetamine
CN[C@@H](C)[C@@H](O)C1=CC=CC=C1	pseudoephedrine
NC(=N)NCC1COC2(CCCCC2)O1	guanadrel
CNC(NC)=NCC1=CC=CC=C1	betanidine
Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1	amoxapine	pKi=7.88605665	pKi=7.88605665	pKi=7.88605665	pIC50=7.89
[H][C@@]1(C)N(C)CCO[C@@]1([H])C1=CC=CC=C1	phendimetrazine
CCN(CC)C(C)C(=O)C1=CC=CC=C1	diethylpropion
[H]C1(CCCCN1)C(C(=O)OC)C1=CC=CC=C1	methylphenidate	pKi=6.18	pKi=6.18	pKi=6.18	pKi=6.18
CCOc1ccccc1OCC2CNCCO2	viloxazine	pKd=6.81	pKd=6.81	pKd=6.81	pKd=6.81
C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1	benzphetamine
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1	bupropion	pKi=5.16	pKi=5.16	pKi=5.16	pIC50=6.35
CC[N+](C)(C)CC1=C(Br)C=CC=C1	bretylium
CNCC[C@@H](Oc1ccccc1C)c2ccccc2	atomoxetine	pKd=8.69	pKd=8.69	pKd=8.69	pIC50=8.29
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4	mazindol	pKd=9.3	pKd=9.3	pKd=9.3	pKi=7.75
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3	duloxetine	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=6.29
CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1	desvenlafaxine	pKi=6.2747	pKi=6.2747	pKi=6.2747
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	venlafaxine	pKd=5.9747	pKd=5.9747	pKd=5.9747	pIC50=6.17
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2	trimipramine	pKi=5.61000013	pKi=5.61000013	pKi=5.61000013
CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1	sibutramine	pKi=5.2635	pKi=5.2635	pKi=5.2635
CNCCCC1C2=CC=CC=C2C=CC2=C1C=CC=C2	protriptyline	pKi=8.39	pKi=8.39	pKi=8.39	pIC50=7.77
CC(C)(N)CC1=CC=CC=C1	phentermine
CC1NCCOC1C1=CC=CC=C1	phenmetrazine	pEC50=7.2976	pEC50=7.2976	pEC50=7.2976
CNCCC=C1c2ccccc2CCc3ccccc13	nortriptyline	pKd=8.3595	pKd=8.3595	pKd=8.3595	pKi=8.2
CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4	nefazodone	pKd=6.4437	pKd=6.4437	pKd=6.4437	pKd=6.44
CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1	milnacipran	pKi=7.6	pKi=7.6	pKi=7.6	pIC50=7.11
CNCCCC12CCC(c3ccccc13)c4ccccc24	maprotiline	pKd=8.27	pKd=8.27	pKd=8.27	pIC50=7.52
CN(C)CCCN1c2ccccc2CCc3ccccc13	imipramine	pKd=7.4318	pKd=7.4318	pKd=7.4318	pIC50=7.13
NC(=N)NCCN1CCCCCCC1	guanethidine
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKd=7.53	pKd=7.53	pKd=7.53	pIC50=7.54
[H][C@@]1(CCCCN1)[C@H](C(=O)OC)C1=CC=CC=C1	dexmethylphenidate
CNCCCN1c2ccccc2CCc3ccccc13	desipramine	pKd=9.0809	pKd=9.0809	pKd=9.0809	pKi=6.24
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pKd=7.4559	pKd=7.4559	pKd=7.4559	pKi=6.48
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	clomipramine	pKd=7.4202	pKd=7.4202	pKd=7.4202	pIC50=7.15
CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1	nomifensine	pKi=7.67	pKi=7.67	pKi=7.67	pIC50=6.2
CN(CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2)CC(=O)C1=CC=C(Cl)C=C1	lofepramine	pKi=8.2676	pKi=8.2676	pKi=8.2676
CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12	dosulepin	pKd=7.3372	pKd=7.3372	pKd=7.3372
C[C@H](N)CC1=CC=CC=C1	dexamfetamine	pKi=7.0	pKi=7.0	pKi=7.0	pIC50=6.2
C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN	lisdexamfetamine
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	CHEMBL3754166	pKi=6.0
C=CCN(CCc1c[nH]c2ccccc12)CC=C	CHEMBL3752576	pKi=6.0
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)CCCC(C)C	alfacalcidol	pIC50=6.0
CC(N)C1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL1684042	pIC50=6.0
CCO[C@@]1(CCCC[C@@H]1CN(C)C)c2cccc(OC)c2	CHEMBL403388	pIC50=6.0
CN([C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13)C(C)(C)C	CHEMBL148104	pKi=6.0
CN1C2CCC1C3COC(=O)CCSCCC(=O)Nc4ccc(cc4)C3C2	CHEMBL378243	pIC50=6.0
CN1CC(c2ccc3ncccc3c2)c4ccccc4C1	CHEMBL3323109	pIC50=6.0
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(C)cc3)c4ncc(s4)c5cccc(c5)[N+](=O)[O-]	CHEMBL226984	pKi=6.0
CNC(C)Cc1ccc2OCOc2c1	CHEMBL43048	pEC50=6.0
CNC1CN(c2ccc(Cl)c(Cl)c2)c3ccccc3C1	CHEMBL1643517	pIC50=6.0
CNC[C@@H]1OCc2ccccc2[C@H]1Oc3ccccc3C	CHEMBL443952	pIC50=6.0
COCC[C@@H]1[C@@]2(C)CNC[C@]12c3ccc(Cl)c(Cl)c3	CHEMBL2021581	pKi=6.0
COC[C@@]12CCNC[C@@]1(C2)c3ccc(Cl)c(Cl)c3	CHEMBL1172850	pKi=6.0
COc1ccc(CC(C)(C)NCC(O)COc2cccc(Cl)c2C#N)cc1	CHEMBL523475	pIC50=6.0
Cc1ccccc1O[C@H]2[C@@H](CN)OCc3ccccc23	CHEMBL525532	pIC50=6.0
Cc1ccn(CC23CNCC[C@@]2(C3)c4ccc(Cl)c(Cl)c4)n1	CHEMBL1818451	pKi=6.0
Cl.CNC1CCCC(C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23	CHEMBL2036273	pIC50=6.0
Clc1ccc(cc1)C(C2CCCC2)C3CCCCN3	CHEMBL375118	pIC50=6.0
Clc1ccc(cc1Cl)C2CNC(=O)C2c3ccc(Cl)c(Cl)c3	CHEMBL2430684	pIC50=6.0
Fc1ccc(cc1)C(N[C@H]2C[C@H]3CC[C@@H](C2)N3)c4ccc(F)cc4	CHEMBL3085027	pKi=6.0
Fc1cccc(Oc2c(F)cccc2Cl)c1O[C@H]3CCNC3	CHEMBL1645616	pKi=6.0
Fc1ccccc1Oc2ccccc2OC3CCNCC3	CHEMBL1645606	pKi=6.0
N#Cc1ccc(CN(C2CCNCC2)c3ccc4[nH]ccc4c3)cc1	CHEMBL564285	pKi=6.0
CCC(CC)C(C1CCCCN1)c2ccc(Cl)cc2	CHEMBL219334	pKi=6.01
CCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	CHEMBL566886	pIC50=6.01
CN1C2CCC1C3COC(=O)CCC4(CCC(=O)Nc5ccc(cc5)C3C2)c6ccccc6c7ccccc47	CHEMBL378483	pIC50=6.01
CNCCCN1Cc2ccccc2N(c3ccc(F)c(F)c3)S1(=O)=O	CHEMBL1087921	pIC50=6.01
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(CO)cc13	CHEMBL206697	pIC50=6.01
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL809	pIC50=6.01
CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN3CCC[C@@H](Cc4ccc(F)cc4)C3)c1	CHEMBL250689	pKi=6.02
CCN(CC)C(=O)C1(CC1CNCC(OC)OC)c2ccccc2	CHEMBL256021	pIC50=6.02
CN(C)Cc1ccccc1Sc2ccc(CCF)cc2N	CHEMBL188964	pKi=6.02
CNC(CC(C)C)C1(CCCCC1)c2ccc(Cl)c(Cl)c2	CHEMBL1684046	pIC50=6.02
CNCc1cnc(C)cc1Oc2ccccc2C	CHEMBL270366	pKi=6.02
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(CNS(=O)(=O)C)cc13	CHEMBL206598	pIC50=6.02
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(SC)cc3)N2CCCF	CHEMBL575199	pKi=6.02
COc1ccc(F)cc1CCC2CCC(CCNCCCCCN3N=C([C@H]4CC=CC[C@H]4C3=O)c5ccc(OC)c(OC)c5)O2	CHEMBL505431	pIC50=6.02
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	ethinylestradiol	pIC50=6.02
