CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=CN=C(C2=CC=CC=C2)C(=N1)C1=CC=CC=C1	selexipag	pKi=7.69896984	pKi=7.69896984	pKi=7.69896984
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C\C(C2)=C\CCCC(O)=O	iloprost	pEC50=7.75	pEC50=7.75	pEC50=7.75	pIC50=7.57
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O	epoprostenol
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C1=C(O2)C(CCCC(O)=O)=CC=C1	beraprost	pIC50=8.37	pIC50=8.37	pIC50=8.37
[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=CC=CC(OCC(O)=O)=C1C2	treprostinil	pKi=7.48999977	pKi=7.48999977	pKi=7.48999977
Cc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL9172	pKi=7.0
OC(=O)COc1cccc2CC(CN3N=CC(=C(C3=O)c4ccccc4)c5ccccc5)CCc12	CHEMBL3398222	pEC50=7.0
CN1C[C@@H](COc2ccc(C(=O)n3c(C)c(CC(=O)O)c4ccccc34)c(C)c2C)Oc5ccccc15	CHEMBL1813273	pKi=7.01
CN1C[C@@H](COc2cc(C)c(cc2C)C(=O)n3c(C)c(CC(=O)O)c4cc(F)ccc34)Oc5ccccc15	CHEMBL1813281	pKi=7.03
CN1C[C@@H](COc2cc(C)c(cc2C)C(=O)n3c(C)c(CC(=O)O)c4ccccc34)Oc5ccccc15	CHEMBL1813274	pKi=7.03
OC(=O)COc1cccc2C[C@@H](CN3N=C(C=CC3=O)C(c4ccccc4)c5ccccc5)CCc12	CHEMBL94751	pKi=7.03
CN1C[C@@H](COc2ccc(C(=O)n3c(C)c(CC(=O)O)c4ccccc34)c(Cl)c2)Oc5ccccc15	CHEMBL1813121	pKi=7.04
CN1C[C@@H](COc2ccc(cc2Cl)C(=O)n3c(C)c(CC(=O)O)c4ccccc34)Oc5ccccc15	CHEMBL1813124	pKi=7.04
OC(=O)COc1cccc2CC(CN3N=CC(=C(C3=O)c4ccccc4)c5cccc(F)c5F)CCc12	CHEMBL3398228	pIC50=7.06
COc1ccc(cc1F)C2=C(C=NN(CC3CCc4c(C3)cccc4OCC(=O)O)C2=O)c5ccccc5	CHEMBL3398234	pEC50=7.07
OC(=O)COc1cccc2CC(CN3N=CC(=C(C3=O)c4ccccc4)c5cccc(Cl)c5)CCc12	CHEMBL3398225	pEC50=7.07
COc1ccc(Sc2ccc(NC3=NCCCN3)cc2)cc1	CHEMBL10024	pKi=7.1
CS(=O)(=O)Nc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL9371	pKi=7.1
Clc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL9883	pKi=7.1
OC(=O)COc1cccc2C(=CCCc12)CCON=C(c3ccccc3)c4ccccc4	CHEMBL3398237	pEC50=7.1
OC(=O)COc1cccc2c(CCSCC(c3ccccc3)c4ccccc4)coc12	CHEMBL361939	pKi=7.1
[Na+].CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC2Oc3c(CCCC(=O)[O-])cccc3[C@H]12	CHEMBL94694	pKi=7.1
CC(CNC(=O)c1ncoc1Cc2ccc(cc2)c3cccc(NC(=O)C)c3)c4ccccc4	CHEMBL234391	pIC50=7.11
[Na+].[O-]C(=O)COc1cccc(CN2CCC[C@@H]2c3oc(c4ccccc4)c(n3)c5ccccc5)c1	CHEMBL439357	pKi=7.12
CN1C[C@@H](COc2ccc(cc2C)C(=O)n3c(C)c(CC(=O)O)c4ccccc34)Oc5ccccc15	CHEMBL1813123	pKi=7.14
COc1cccc(C2=C(C(=O)N(CC3CCc4c(C3)cccc4OCC(=O)O)N=C2)c5ccccc5)c1F	CHEMBL3398229	pIC50=7.19
COc1ccc(Sc2ccc(NC3=NC(C)CN3)cc2)cc1	CHEMBL273530	pKi=7.2
COc1cccc(c1)C2=CC(=O)N(CC3CCc4c(C3)cccc4OCC(=O)O)N=C2c5ccc(F)cc5	CHEMBL3398221	pEC50=7.21
OC(=O)COc1cccc2CC(CN3N=CC(=C(C3=O)c4ccc(F)cc4)c5cccc(F)c5F)CCc12	CHEMBL3398235	pIC50=7.21
OC(=O)COc1cccc2C[C@H](CN3N=CC(=C(C3=O)c4ccc(F)cc4)c5cccc(F)c5F)CCc12	CHEMBL3398236	pIC50=7.21
COc1cccc(c1)C2=CC(=O)N(CC3CCc4c(C3)cccc4OCC(=O)O)N=C2c5ccccc5	CHEMBL3398208	pEC50=7.22
OC(=O)COc1cccc2CC(CN3N=C(C(=CC3=O)c4cccc(Cl)c4)c5ccccc5)CCc12	CHEMBL3398211	pEC50=7.22
OC(=O)COc1cccc2CC(CN3N=CC(=C(C3=O)c4ccccc4)c5cccc(F)c5)CCc12	CHEMBL3398224	pEC50=7.22
[Na+].[O-]C(=O)COc1cccc(C[C@@H]2CCCC=C2c3oc(c4ccccc4)c(n3)c5ccccc5)c1	CHEMBL132589	pKi=7.22
C[C@@H](CNC(=O)c1ncoc1Cc2ccc(cc2)c3cccc(NC(=O)C)c3)c4ccccc4	CHEMBL232578	pIC50=7.28
CCOC(=O)c1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL9846	pKi=7.3
COc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL10241	pKi=7.3
FC(F)(F)c1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL8935	pKi=7.3
CN1C[C@@H](COc2ccc(cc2)C(=O)n3c(C)c(CC(=O)O)c4cc(Cl)ccc34)Oc5ccccc15	CHEMBL1813117	pKi=7.31
O[C@@H](COc1ccccc1)\C=C\[C@H]2[C@H](O)C[C@@H]3O[C@@H](CCCC(=O)O)CC[C@H]23	CHEMBL3805134	pEC50=7.33
[Na+].[O-]C(=O)COc1cccc(C[C@@H]2CCC=C2c3oc(c4ccccc4)c(n3)c5ccccc5)c1	CHEMBL363350	pKi=7.39
CCOc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1	CHEMBL9552	pKi=7.4
OC(=O)COc1cccc2CC(Cn3cc(cn3)C(c4ccccc4)c5ccccc5)CCc12	CHEMBL11765	pIC50=7.4
CCCC1(CCC1)[C@H](O)C\C=C\[C@H]2[C@H](O)CC(=O)[C@@H]2CCCCCCC(=O)OC	CHEMBL271896	pIC50=7.43
CN1C[C@@H](COc2ccc(cc2)C(=O)n3c(C)cc4c(CC(=O)O)cccc34)Oc5ccccc15	CHEMBL364841	pKi=7.43
