Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C4CCC(F)(F)CC4)C(=O)O)c(C)c1	CHEMBL519796	pIC50=6.0
CCOC(=O)N1CCC(CC1)(NC(=O)c2cc3ccccc3cc2NC(=O)Nc4c(C)cc(C)cc4C)C(=O)O	CHEMBL519787	pIC50=6.01
Fc1ccc(NC(=O)N2CCN(CCCCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2)cc1Cl	CHEMBL375832	pIC50=6.01
Oc1cccc(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)c1	CHEMBL196993	pIC50=6.01
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](COCC(C)(C)C)C(=O)O)c(C)c1	CHEMBL475833	pIC50=6.02
OCCN(C1CCCCCCCCCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL178699	pIC50=6.02
CC(C)OCC(O)CN(C1CCCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2	CHEMBL361767	pIC50=6.03
Clc1ccc(NC(=O)N2CCN(CCCCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2)cc1Cl	CHEMBL221442	pIC50=6.03
OC(=O)c1ccc(NC(=O)NC(=O)c2ccccc2Cl)c(Cl)c1	CHEMBL196678	pIC50=6.03
OC1CCN(CC1)C(=O)[C@H](Cc2ccc(F)cc2)NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL99889	pIC50=6.04
OCC(O)c1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1	CHEMBL495384	pIC50=6.05
Oc1cccc2cc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)ccc12	CHEMBL458091	pIC50=6.05
COc1cc(ccc1NC(=O)NC(=O)c2ccccc2Cl)C(=O)O	CHEMBL372113	pIC50=6.07
C[C@@H]1CC[C@H](CC1)[C@H](NC(=O)c2cc3ccccc3cc2NC(=O)Nc4c(Cl)cc(Cl)cc4Cl)C(=O)O	CHEMBL480732	pIC50=6.07
Cc1cccc(Cl)c1NC(=O)Nc2cc(F)c(F)cc2C(=O)N[C@@H](C3CCCCC3)C(=O)O	CHEMBL461500	pIC50=6.07
OC[C@H]1CN(CCCc2ccccc2)C[C@@H](O)[C@@H]1O	CHEMBL213661	pIC50=6.07
COc1cc(CO)ccc1NC(=O)NC(=O)c2ccc(F)cc2Cl	CHEMBL373238	pIC50=6.08
COc1cc2C(O)C(F)(F)CCc2cc1NC(=O)c3cc4cc(Cl)ccc4[nH]3	CHEMBL455988	pIC50=6.09
Clc1cc2cc([nH]c2s1)C(=O)NC3Cc4ccccc4C3	CHEMBL218492	pIC50=6.09
O[C@H]1CCc2cc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)ccc2[C@@H]1O	CHEMBL457029	pIC50=6.1
CCCC(CCC)(NC(=O)c1cc2ccccc2cc1NC(=O)Nc3c(C)cc(C)cc3C)C(=O)O	CHEMBL472319	pIC50=6.14
Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC4(CC4)C(=O)O)c(C)c1	CHEMBL480367	pIC50=6.14
Fc1ccc(NC(=O)N2CCCN(CCCCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2)cc1Cl	CHEMBL220954	pIC50=6.14
CCCCc1cc(C)c(NC(=O)Nc2cc(F)ccc2C(=O)N[C@@H](C3CCCCC3)C(=O)O)c(C)c1	CHEMBL475508	pIC50=6.15
Clc1ccc(NC(=O)N2CCN(CCCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2)cc1Cl	CHEMBL221226	pIC50=6.15
Nc1cc(NC(=O)NC(=O)c2ccc(F)cc2Cl)ccc1C(=O)O	CHEMBL199099	pIC50=6.15
