COc1ccc(cc1)c2c(onc2C(=O)NC3CCN(CC4CC4)CC3)c5cc(Cl)c(O)cc5O	CHEMBL3354656 	pIC50=7.55
COc1ccc(cc1)c2c(onc2C(=O)NC3CCN(Cc4ccccc4)CC3)c5cc(Cl)c(O)cc5O	CHEMBL3354227 	pIC50=7.6
COc1ccc(CN2CCC(CC2)NC(=O)c3noc(c4cc(Cl)c(O)cc4O)c3c5ccc(OC)cc5)cc1	CHEMBL3354654 	pIC50=7.77
CC(=O)N1CCN(CC1)S(=O)(=O)c2cnc(c(C)c2)c3ccc(cc3)N(Cc4ccccc4)C(=O)c5ccc(O)cc5O	CHEMBL3730418 	pIC50=8.0
CC(=O)N1CCN(CC1)S(=O)(=O)c2cnc(c(C)c2)c3ccc(cc3)N(Cc4cccnc4)C(=O)c5ccc(O)cc5O	CHEMBL3730260 	pIC50=8.0
CC(=O)N1CCN(CC1)S(=O)(=O)c2cnc(c(C)c2)c3ccc(cc3)N(Cc4ccsc4)C(=O)c5ccc(O)cc5O	CHEMBL3733299 	pIC50=8.0
CC(=O)NCCNS(=O)(=O)c1cnc(c(C)c1)c2ccc(cc2)N(Cc3ccccc3)C(=O)c4ccc(O)cc4O	CHEMBL3732487 	pIC50=8.0
CC(=O)NCCNS(=O)(=O)c1cnc(c(C)c1)c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3730383 	pIC50=8.0
CCc1cnc(C)nc1c2ccc(cc2)N(Cc3cccnc3)C(=O)c4ccc(O)cc4O	CHEMBL3729149 	pIC50=8.0
CN(C)C(=O)c1ccc(cc1)N(Cc2ccccc2)C(=O)c3cc(Cl)c(O)cc3O	CHEMBL3733058 	pIC50=8.0
CN(C)C(=O)c1ccc(cc1)N(Cc2cccnc2)C(=O)c3cc(Cl)c(O)cc3O	CHEMBL3729418 	pIC50=8.0
CN(C)C(=O)c1ccc(cc1)N(Cc2ccsc2)C(=O)c3ccc(O)cc3O	CHEMBL3729016 	pIC50=8.0
CN(C)CCNS(=O)(=O)c1cnc(c(C)c1)c2ccc(cc2)N(Cc3ccsc3)C(=O)c4ccc(O)cc4O	CHEMBL3730015 	pIC50=8.0
CN(C)Cc1cccc(CN(C(=O)c2ccc(O)cc2O)c3ccc(cc3)c4nc(Cl)ncc4C)c1	CHEMBL3728145 	pIC50=8.0
CN(CC(=O)NCc1ccc(CN(C(=O)c2ccc(O)cc2O)c3ccc(cc3)c4nc(Cl)ncc4C)cc1)C(=O)c5ccccc5	CHEMBL3733181 	pIC50=8.0
CN(Cc1ccc2ccccc2c1)C(=O)c3ccc(cc3)N(Cc4cccnc4)C(=O)c5ccc(O)cc5O	CHEMBL3732928 	pIC50=8.0
CN(Cc1ccc2nccnc2c1)C(=O)c3ccc(cc3)N(Cc4ccccc4)C(=O)c5cc(C)c(O)cc5O	CHEMBL3732285 	pIC50=8.0
CN(Cc1ccc2nccnc2c1)C(=O)c3ccc(cc3)N(Cc4ccccc4)C(=O)c5ccc(O)cc5O	CHEMBL3731789 	pIC50=8.0
CN(Cc1ccc2nccnc2c1)C(=O)c3ccc(cc3)N(Cc4cccnc4)C(=O)c5ccc(O)cc5O	CHEMBL3730155 	pIC50=8.0
CN(Cc1ccc2nccnc2c1)C(=O)c3ccc(cc3)N(Cc4ccsc4)C(=O)c5cc(C)c(O)cc5O	CHEMBL3732819 	pIC50=8.0
CN(Cc1ccc2nccnc2c1)C(=O)c3ccc(cc3)N(Cc4ccsc4)C(=O)c5ccc(O)cc5O	CHEMBL3728227 	pIC50=8.0
