OC(=O)C1=CC2=C(C=C1)N=C(O2)C1=CC(Cl)=CC(Cl)=C1	tafamidis
OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	diclofenac	pKd=6.0
O=C1NC(=O)\C(=C\c2cccc3ccccc23)\S1	CHEMBL1348329	pIC50=6.08
FC(F)(F)c1cccc(\C=C\2/SC(=O)NC2=O)c1	CHEMBL183906	pIC50=6.09
Oc1cc(cc(c1O)[N+](=O)[O-])C(=O)c2ccccc2F	CHEMBL1256291	pIC50=6.12
Oc1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]	CHEMBL168276	pIC50=6.13
Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2	CHEMBL28	pIC50=6.19
O=C1C2C(Oc3[nH]c4ccccc4c3C2(C#N)C#N)c5ccccc15	CHEMBL3695462	pIC50=6.23
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F	CHEMBL898	pKd=6.24
Cc1ccc(O)c(Nc2ccccc2C(=O)O)c1Cl	CHEMBL3695461	pIC50=6.3
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	CHEMBL509	pKd=6.32
CC1(C)NC(=O)C(=C(SCc2ccccc2)S1)C#N	CHEMBL1835582	pIC50=6.36
CCOc1ccccc1c2onc(n2)c3ccncc3	CHEMBL1581319	pIC50=6.48
COc1c(Br)cc(\C=C\2/SC(=O)NC2=O)cc1Br	CHEMBL591504	pIC50=6.52
Cc1n[nH]c(C)c1CCCOc2ccccc2F	CHEMBL3695460	pIC50=6.53
OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F	CHEMBL63323	pIC50=6.54
COc1ccc(\C=N\n2c(S)nnc2C(F)(F)F)cc1O	CHEMBL3695459	pIC50=6.56
Cc1c(Cl)cccc1Nc2ccccc2C(=O)O	CHEMBL121626	pKd=6.82
Clc1ccc(Cl)c(C(=O)Nc2nnc[nH]2)c1Cl	CHEMBL394034	pKd=6.92
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1	CHEMBL457	pKd=7.0
COc1cc(C=O)ccc1Oc2ccccc2	CHEMBL241453	pKd=7.06
Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccc(O)c(O)c3	CHEMBL151	pKd=7.16
Oc1ccccc1c2oc(S)nn2	CHEMBL240165	pKd=7.38
OC(=O)c1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1	CHEMBL240808	pKd=7.57
OC(=O)c1ccc(Oc2ccccc2)c(O)c1	CHEMBL241454	pKd=7.57
Oc1cc(C=O)ccc1Oc2ccc(Cl)cc2Cl	CHEMBL240804	pKd=7.86
Oc1cc(CCl)ccc1Oc2ccc(Cl)cc2Cl	CHEMBL240805	pKd=8.24
OCc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1	CHEMBL240806	pKd=9.52
COc1cc(ccc1Oc2ccc(Cl)cc2Cl)C(=O)O	CHEMBL438498	pKd=9.7
