CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O	alprostadil	pEC50=6.8	pEC50=6.8	pEC50=6.8
[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O	epoprostenol	pKi=4.80000019	pKi=4.80000019	pKi=4.80000019
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	dinoprostone	pKi=8.04	pKi=8.04	pKi=8.04	pKi=7.75
CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O	limaprost
CC(C)c1oc2c(Cn3nc(cc3C)C(=O)NN4CCCCC4)cc(Cl)cc2c1	CHEMBL1915250	pIC50=7.0
CCOc1ccc2c(nn(c3nc(cs3)C(=O)O)c2c1)c4ccccc4	CHEMBL3127160	pIC50=7.0
CCc1ccc(c2cc(Cl)ccc2OCc3ccccc3)n1c4cccc(c4)C(=O)O	CHEMBL379143	pIC50=7.0
COc1ccc(COc2ccccc2C3=C(CCC3)c4cccc(c4)C(=O)O)cc1	CHEMBL233858	pIC50=7.0
Cc1c(nn(c1c2ccc(F)cc2)c3nc(cs3)C(=O)O)c4ccccc4	CHEMBL3092141	pIC50=7.0
Cc1cc(NC(=O)C2CCNCC2)nn1Cc3cc(Cl)cc4cc(oc34)c5ccccc5	CHEMBL1915258	pIC50=7.0
Cc1ccc(c2cc(Br)ccc2OCc3c(F)cccc3C(F)(F)F)n1c4cccc(c4)C(=O)O	CHEMBL208891	pIC50=7.0
Cc1ccc(c2cc(Br)ccc2OCc3ccc(Cl)c(Cl)c3)n1c4cccc(c4)C(=O)O	CHEMBL378464	pIC50=7.0
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(NC(=O)c3ccc(CN(C)C)cc3)cc2C	CHEMBL481519	pIC50=7.0
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(NC(=O)c3ccc(cc3)C4CCCN4)cc2C	CHEMBL494466	pIC50=7.0
Cl.CC(C)COc1ccc(Cl)cc1Cn2nc(NC(=O)c3ccc4CN(CCc4c3)C(C)C)cc2C	CHEMBL492840	pIC50=7.0
Cl.CCNCc1ccc(cc1)C(=O)Nc2cc(C)n(Cc3cc(Cl)ccc3OCC(C)C)n2	CHEMBL481870	pIC50=7.0
O=C(NCCc1cccs1)NS(=O)(=O)c2ccccc2c3ccc(CN4C(=O)c5ccccc5CCc6ccccc46)cc3	CHEMBL328697	pKi=7.0
OC(=O)c1cccc(c1)C2=C(CCC2)c3cc(Br)ccc3OCc4ccc(Cl)c(Cl)c4	CHEMBL234069	pIC50=7.0
OC(=O)c1cccc(c1)C2=C(CCC2)c3cc(ccc3OCc4ccccc4)C#N	CHEMBL234924	pIC50=7.0
OC(=O)c1cccc(c1)c2ncccc2c3cc(Cl)ccc3OCc4ccccc4	CHEMBL206096	pIC50=7.0
OC(=O)c1cccc(c1)n2c(ccc2C(F)(F)F)c3cc(Cl)ccc3OCc4ccc(F)cc4F	CHEMBL208660	pIC50=7.0
[Na+].CC(C)C(=O)c1cn(c2nc(cs2)C(=O)[O-])c3cc(Cl)ccc13	CHEMBL404309	pIC50=7.0
[Na+].CC(C)Cc1cn(c2ncc(s2)C(=O)[O-])c3cc(Cl)ccc13	CHEMBL401698	pIC50=7.0
[Na+].CCCCOc1ccc(Cl)cc1c2ccccc2c3cccc(n3)C(=O)[O-]	CHEMBL499155	pIC50=7.0
[Na+].Cc1cccc(c2cc(Cl)ccc2OCc3ccccc3)c1c4cccc(c4)C(=O)[O-]	CHEMBL458008	pIC50=7.0
[Na+].[O-]C(=O)c1cccc(Cc2cc(Cl)ccc2OCC3CCCCC3)n1	CHEMBL468723	pIC50=7.0
[Na+].[O-]C(=O)c1cccc(Cc2cc(Cl)ccc2OCc3ccc(F)cc3)n1	CHEMBL511733	pIC50=7.0
