NC(N)=N	guanidine
NC1=CC=NC=C1	fampridine
NC1=CC=NC=C1N	amifampridine
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3C(=O)c4ccccc4)n2	CHEMBL2070982	pEC50=5.09
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4nccc5ccccc45)n2	CHEMBL2070977	pEC50=5.1
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3C(=O)c4cccc(F)c4)n2	CHEMBL2070981	pEC50=5.21
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4C(F)(F)F)n2	CHEMBL2070957	pEC50=5.32
COc1ccc(cc1)c2csc(NC(=O)C3COCCN3S(=O)(=O)c4ccc(C)cc4)n2	CHEMBL2070987	pEC50=5.36
COc1ccc(cc1)c2csc(NC(=O)C3CCCN3S(=O)(=O)c4ccc(C)cc4)n2	CHEMBL2070985	pEC50=5.54
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(cc4)C(C)C)n2	CHEMBL2070955	pEC50=5.59
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4OC)n2	CHEMBL2070960	pEC50=5.75
COc1ccc(cc1)c2csc(NC(=O)C3CCCCN3S(=O)(=O)c4ccccc4)n2	CHEMBL1352968	pEC50=5.77
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(cc4)C(F)(F)F)n2	CHEMBL2070959	pEC50=5.77
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(cc4)C#N)n2	CHEMBL2070965	pEC50=5.79
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4)n2	CHEMBL2070830	pEC50=5.83
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(Cl)c4)n2	CHEMBL2070969	pEC50=5.85
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4C)n2	CHEMBL2070832	pEC50=5.86
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccnc4)n2	CHEMBL2070978	pEC50=5.87
Cc1ccc(cc1)S(=O)(=O)N2CCCC[C@@H]2C(=O)Nc3nc(cs3)c4ccc5occc5c4	CHEMBL2071004	pEC50=5.88
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(F)c4)n2	CHEMBL2070966	pEC50=5.94
COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC	CHEMBL74355	pKi=5.98
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(F)cc4)n2	CHEMBL2070967	pEC50=5.99
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(c4)C(F)(F)F)n2	CHEMBL2070958	pEC50=6.0
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(C)c4)n2	CHEMBL2070952	pEC50=6.05
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(c4)C#N)n2	CHEMBL2070964	pEC50=6.06
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4cccc(OC)c4)n2	CHEMBL2070961	pEC50=6.09
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc5OCOc5c4)n2	CHEMBL2070962	pEC50=6.11
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccccc4Cl)n2	CHEMBL2070968	pEC50=6.14
CCCc1ccc(cc1)S(=O)(=O)N2CCCC[C@@H]2C(=O)Nc3nc(cs3)c4ccc(OC)cc4	CHEMBL2070954	pEC50=6.16
COc1ccc(cc1)c2csc(NC(=O)C3CSCCN3S(=O)(=O)c4ccc(C)cc4)n2	CHEMBL2070988	pEC50=6.22
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(Cl)cc4)n2	CHEMBL2070970	pEC50=6.38
COc1ccc(cc1)c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(C)cc4)n2	CHEMBL2070953	pEC50=6.59
