NC(=O)OCC(COC(N)=O)C1=CC=CC=C1	felbamate	pIC50=4.284	pIC50=4.284	pIC50=4.284
CC12CC3CC(C)(C1)CC(N)(C3)C2	memantine	pIC50=5.26	pIC50=5.26	pIC50=5.26
CC(=O)NCCCS(O)(=O)=O	acamprosate
CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1	ketamine	pKi=6.38000011	pKi=6.38000011	pKi=6.38000011
NC12CC3CC(CC(C3)C1)C2	amantadine	pKi=4.98000002	pKi=4.98000002	pKi=4.98000002
N=C(NCc1ccccc1)c2ccccc2	CHEMBL350615	pKi=5.0
Cc1ccc(COC(=O)N2CCC(COc3ncccn3)CC2)cc1	CHEMBL217915	pKi=5.13
OC1CN=C(NC1c2ccccc2)c3ccc(OC(F)(F)F)cc3	CHEMBL247716	pKi=5.13
Clc1cccc(CNC(=N)c2ccccc2)c1	CHEMBL159498	pKi=5.38
FC(F)(F)Oc1ccc(cc1)C2=NCCCC(N2)c3ccccc3	CHEMBL391389	pKi=5.38
Clc1cccc(CNC(=N)c2ccccc2Cl)c1	CHEMBL349709	pKi=5.41
CS(=O)(=O)c1ccc(cc1)C(=N)NCc2ccccc2	CHEMBL159847	pKi=5.46
Cc1ccc(CC(=O)N2CCC(CCNc3ncccn3)CC2)cc1	CHEMBL218478	pKi=5.5
N#C\N=C(/NCc1ccccc1)\NN2CCC(CNc3ncccn3)CC2	CHEMBL438994	pKi=5.51
Fc1ccc2[nH]c(nc2c1CN3CCOCC3)c4ccccc4	CHEMBL2010888	pIC50=5.6
CN(CC1CCN(CC1)C(=O)OCc2ccc(C)cc2)c3ncccn3	CHEMBL218463	pKi=5.68
Fc1cccc(c1)C(=N)NCc2cccc(Cl)c2	CHEMBL351010	pKi=5.7
N=C(NCc1ccccc1)c2ccc(cc2)c3ccccc3	CHEMBL349067	pKi=5.75
Oc1ccc2[nH]c(Cc3ccccc3)nc2c1CN4CCCC4	CHEMBL2010879	pIC50=5.8
O=C(OCc1ccc(cc1)C#C)N2CCC(CNc3ncccn3)CC2	CHEMBL217992	pKi=5.9
O=C(NCc1ccccc1)N2CCC(CNc3ncccn3)CC2	CHEMBL218460	pKi=5.93
COc1ccc(C\N=C(/N)\c2ccc(OC(F)(F)F)cc2)cc1	CHEMBL160013	pKi=5.96
CCC1CCCCN1Cc2c(F)ccc3[nH]c(nc23)c4ccccc4	CHEMBL2010887	pIC50=6.0
Clc1ccc(cc1)C(=N)NCc2ccccc2	CHEMBL161977	pKi=6.01
CC(C)NCc1c(F)ccc2[nH]c(nc12)c3ccccc3	CHEMBL2010886	pIC50=6.1
Clc1cccc(CNC(=N)c2cccc(Cl)c2)c1	CHEMBL162081	pKi=6.1
Oc1ccc2[nH]c(nc2c1CNCc3occc3)c4cccc(F)c4F	CHEMBL2013206	pIC50=6.1
O=C(CN1CCC(Cc2ccccc2)CC1)c3c[nH]c4ccccc34	CHEMBL444384	pIC50=6.11
CC(C)(C)c1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1	CHEMBL217940	pKi=6.14
CN1C(=O)N(C)c2cc3CC(CCCc3cc12)NCCCc4ccccc4	CHEMBL3797704	pKi=6.16
