NC1=CC(O)=C(C=C1)C(O)=O	aminosalicylic acid
OC(=O)CC1=CC=C(C=C1)C1=CC=CC=C1	felbinac	pIC50=6.04866248	pIC50=6.04866248	pIC50=6.04866248	pIC50=6.05
OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1	oxaprozin	pIC50=6.06752624	pIC50=6.06752624	pIC50=6.06752624	pIC50=6.07
CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1	loxoprofen	pIC50=5.19	pIC50=5.19	pIC50=5.19
C[C@H](C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	dexketoprofen	pIC50=8.72	pIC50=8.72	pIC50=8.72	pIC50=8.35
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3	phenylbutazone	pIC50=5.52	pIC50=5.52	pIC50=5.52
CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1	oxyphenbutazone
CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1	tolmetin	pIC50=6.27	pIC50=6.27	pIC50=6.27	pIC50=7.39
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	suprofen	pIC50=5.96	pIC50=5.96	pIC50=5.96	pIC50=6.25
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O	piroxicam	pIC50=5.18	pIC50=5.18	pIC50=5.18
COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O	naproxen	pIC50=5.16	pIC50=5.16	pIC50=5.16	pIC50=6.46
Nc1ccc(O)c(c1)C(=O)O	mesalazine
Cc1cccc(Nc2ccccc2C(=O)O)c1C	mefenamic acid	pIC50=4.78	pIC50=4.78	pIC50=4.78	pIC50=6.94
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=6.66	pIC50=6.66	pIC50=6.66	pIC50=6.66
OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	ketorolac	pIC50=9.72	pIC50=9.72	pIC50=9.72	pIC50=7.89
CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	ketoprofen	pIC50=7.33	pIC50=7.33	pIC50=7.33	pIC50=6.48
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3	indomethacin	pIC50=7.21	pIC50=7.21	pIC50=7.21	pIC50=6.3
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O	ibuprofen	pIC50=5.12	pIC50=5.12	pIC50=5.12	pIC50=6.54
CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	flurbiprofen	pIC50=8.74	pIC50=8.74	pIC50=8.74	pIC50=7.68
CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1	fenoprofen	pIC50=5.36	pIC50=5.36	pIC50=5.36	pIC50=6.84
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F	diflunisal	pIC50=4.4	pIC50=4.4	pIC50=4.4
OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	diclofenac	pIC50=7.52	pIC50=7.52	pIC50=7.52	pIC50=6.82
NC1=C(C=CC=C1CC(O)=O)C(=O)C1=CC=C(Br)C=C1	bromfenac	pIC50=8.29	pIC50=8.29	pIC50=8.29
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
NC(=O)CC1=C(N)C(=CC=C1)C(=O)C1=CC=CC=C1	nepafenac	pIC50=6.6	pIC50=6.6	pIC50=6.6
CC(=O)OC1=CC=CC=C1C(O)=O	acetylsalicylic acid	pIC50=5.77	pIC50=5.77	pIC50=5.77
CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1	tiaprofenic acid	pIC50=5.9	pIC50=5.9	pIC50=5.9
OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F	flufenamic acid	pIC50=5.52	pIC50=5.52	pIC50=5.52
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1	fenbufen
OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
O[Bi]1OC(=O)C2=CC=CC=C2O1	bismuth subsalicylate
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O	acemetacin
OCC(O)COC(=O)C1=C(NC2=CC=NC3=C(C=CC=C23)C(F)(F)F)C=CC=C1	floctafenine	pIC50=6.26760626	pIC50=6.26760626	pIC50=6.26760626
CC(C(=O)NC1=CC(C)=CC=N1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	piketoprofen
CC(C)(C)c1cc(\C=C\2/NC(=S)NC2=O)cc(c1O)C(C)(C)C	CHEMBL15945	pIC50=6.0
CC(C)(C)c1cc(cc2c1OCC2(C)C)C(=O)CC(C)(C)Cl	CHEMBL14420	pIC50=6.0
CC(O)CN1c2ccccc2Sc3ccccc13	CHEMBL151658	pIC50=6.0
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3cc(F)cc(F)c3	CHEMBL106302	pIC50=6.0
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3ccc(F)c(F)c3	CHEMBL110401	pIC50=6.0
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3ccc4[nH]ccc4c3	CHEMBL322276	pIC50=6.0
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3cccc(F)c3	CHEMBL322132	pIC50=6.0
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3ncccc3Cl	CHEMBL322807	pIC50=6.0
CC\C(=C/c1ccc(cc1)C(F)(F)F)\c2cc(O)cc(O)c2	CHEMBL449735	pIC50=6.0
COC(=O)c1cc(c2ccc(cc2)S(=O)(=O)N)c(s1)c3ccc(F)cc3	CHEMBL303870	pIC50=6.0
COCCNC(=O)c1cc(c2OCC(C)(C)c2c1)C(C)(C)C	CHEMBL419947	pIC50=6.0
COc1cccc(C2=CC(=O)c3ccccc3O2)c1N	CHEMBL35482	pIC50=6.0
COc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1	CHEMBL1079875	pIC50=6.0
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(CC3CCCCC3)N=C2)c4ccc(F)cc4	CHEMBL158148	pIC50=6.0
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(Cc3cccs3)N=C2)c4ccc(F)cc4	CHEMBL349564	pIC50=6.0
CS(=O)(=O)c1ccc(cc1)C2=C(Oc3ccc(F)cc3)C(=O)N(Cc4ccccc4)N=C2	CHEMBL157730	pIC50=6.0
Cc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1	CHEMBL1077403	pIC50=6.0
Cc1ccnc(c1)C(=O)c2[nH]c3ccc(OC(F)(F)F)cc3c2CC(=O)O	CHEMBL1950014	pIC50=6.0
Clc1ccc(cc1)c2nn(c3CCCCCc23)c4ccccc4	CHEMBL155658	pIC50=6.0
C\C(=C/c1cc(O)cc(O)c1)\c2ccc(cc2)C(F)(F)F	CHEMBL474128	pIC50=6.01
FC(F)(F)c1cc(c2ccccc2)n(n1)c3ccccc3	CHEMBL28662	pIC50=6.01
Fc1ccc(cc1)c2sccc2c3ccc(C=O)cc3	CHEMBL302950	pIC50=6.01
Cc1c(c2ccc(Cl)cc2)n(nc1C(F)(F)F)c3ccc(cc3)S(=O)(=O)N	CHEMBL29133	pIC50=6.03
Cl.CS(=O)(=O)Nc1ccncc1NC2CCCCCC2	CHEMBL1204025	pIC50=6.03
CS(=O)(=O)c1ccc(cc1)n2nncc2c3ccc(F)cc3	CHEMBL457332	pIC50=6.04
FC(F)(F)S(=O)(=O)Nc1ccncc1Nc2cccc(Br)c2	CHEMBL1079335	pIC50=6.04
NS(=O)(=O)c1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(F)c(F)c4	CHEMBL314225	pIC50=6.04
CCOC(=O)C1CCN(CC1)C(=O)CCc2cc(c3ccc(C)cc3)n(n2)c4ccc5ccccc5n4	CHEMBL1830479	pIC50=6.05
COc1ccc(cc1)N2C(=O)OC=C2c3ccc(cc3)S(=O)(=O)N	CHEMBL70478	pIC50=6.05
COc1ccc(cc1)c2cscc2c3ccc(cc3)S(=O)(=O)C	CHEMBL98903	pIC50=6.05
CSc1ccc(cc1)c2c(Cl)ncn2c3ccc(cc3)S(=O)(=O)C	CHEMBL115410	pIC50=6.05
CCc1ccc2[nH]c(C(=O)c3cc(C)ccn3)c(CC(=O)O)c2c1	CHEMBL1950013	pIC50=6.06
CS(=O)(=O)c1ccc(cc1)c2cc(Br)sc2c3ccc(F)cc3	CHEMBL42485	pIC50=6.06
OC(=O)C1=Cc2c(Cl)c(Cl)c(Cl)cc2OC1C(F)(F)F	CHEMBL1288592	pIC50=6.06
Cc1ccnc(c1)C(=O)c2[nH]c3cc(F)ccc3c2CC(=O)O	CHEMBL1950009	pIC50=6.07
CN(C)c1ccc(cc1)c2cnnn2c3ccc(cc3)S(=O)(=O)C	CHEMBL457331	pIC50=6.08
COc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)F	CHEMBL282085	pIC50=6.08
COc1ccc(cc1)c2cnnn2c3ccc(cc3)S(=O)(=O)C	CHEMBL514418	pIC50=6.08
NS(=O)(=O)c1ccc(cc1)C2=C(CC3(CCC3)C2)c4ccc(F)cc4	CHEMBL171335	pIC50=6.08
NS(=O)(=O)c1ccc(cc1)n2nc(c(F)c2c3ccccc3)C(F)(F)F	CHEMBL29766	pIC50=6.08
Oc1ccc(\C=C\C(=O)OCCc2ccccc2)cc1O	CHEMBL319244	pIC50=6.08
Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1	CHEMBL165	pIC50=6.08
CS(=O)(=O)c1ccc(cc1)n2nncc2c3ccccc3	CHEMBL458647	pIC50=6.09
FC(F)(F)c1onc(c2oc(Cl)cc2)c1c3ccccc3	CHEMBL2380864	pIC50=6.09
CC(=CCc1c(O)cc2Oc3cc(O)c(O)c(CC=C(C)C)c3C(=O)c2c1O)C	CHEMBL260553	pIC50=6.1
CC(C)(C)c1cc(cc2c1OCC2(C)C)C(=O)\C=C\CC3CC3	CHEMBL13988	pIC50=6.1
Cc1c(Br)cc(c2ccc(cc2)S(=O)(=O)C)n1c3ccc(F)cc3	CHEMBL40245	pIC50=6.1
Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)N	CHEMBL420628	pIC50=6.1
Cc1ccc2c(CSc3c2n(nc3C(F)(F)F)c4ccc(cc4)S(=O)(=O)N)c1	CHEMBL328906	pIC50=6.1
Nc1ccc(NC(=O)c2ccc(cc2)C(F)(F)F)nc1	CHEMBL409023	pIC50=6.1
COc1c(cc(cc1C(C)(C)C)c2nnc(SC)s2)C(C)(C)C	CHEMBL280326	pIC50=6.11
Cc1ccc(cc1)C2=C(C(=O)OC2)c3ccc(F)cc3	CHEMBL3357099	pIC50=6.11
Cc1ccc(cc1)c2cnnn2c3ccc(cc3)S(=O)(=O)C	CHEMBL512917	pIC50=6.11
FC(F)(F)S(=O)(=O)Nc1ccncc1NC2CCCCCC2	CHEMBL1079073	pIC50=6.12
NS(=O)(=O)c1ccc(cc1)n2nc(C#N)c3SCc4cc(F)ccc4c23	CHEMBL95022	pIC50=6.12
CC(=O)c1ccc(cc1)c2ccsc2c3ccc(F)cc3	CHEMBL66821	pIC50=6.13
COc1ccc2c(c1)c3CC(CCc3n2C(=O)c4ccc(Cl)cc4)C(=O)O	CHEMBL2323522	pIC50=6.13
CS(=O)(=O)c1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(F)cc4F	CHEMBL314297	pIC50=6.13
OC(=O)C1=Cc2cc(Cl)cc(Cl)c2OC1C(F)(F)F	CHEMBL1288555	pIC50=6.13
OC(=O)C1=Cc2cc(Cl)cc(c2OC1C(F)(F)F)c3ccc(F)cc3	CHEMBL1669032	pIC50=6.13
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL118	pIC50=6.14
OC1=C(c2ccccc2C(=O)N1Cc3ccccc3)S(=O)(=O)c4ccccc4	CHEMBL276052	pIC50=6.14
CS(=O)(=O)c1ccc(cc1)C2=C(C#Cc3ccccc3)C(=O)CC2	CHEMBL278336	pIC50=6.15
Cc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1C	CHEMBL3113231	pIC50=6.15
CCCCNc1nc(cc(n1)C(F)(F)F)c2ccc(cc2)S(=O)(=O)N	CHEMBL538418	pIC50=6.16
CCc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1	CHEMBL1080405	pIC50=6.16
COc1cc(OC)cc(\C=C\c2ccc(O)cc2)c1	CHEMBL83527	pIC50=6.16
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3ccc(Cl)c(F)c3	CHEMBL23175	pIC50=6.16
CS(=O)(=O)c1ccc(cc1)n2nncc2c3ccc(Cl)cc3	CHEMBL455837	pIC50=6.16
CSc1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1	CHEMBL18797	pIC50=6.16
OC(=O)C1=Cc2c(Cl)c(Cl)ccc2OC1C(F)(F)F	CHEMBL1288533	pIC50=6.16
OC(=O)C1=Cc2cc(Cl)cc(Cl)c2O[C@@H]1C(F)(F)F	CHEMBL1230348	pIC50=6.16
CCSc1nnc(s1)c2nc(c(O)c(n2)C(C)(C)C)C(C)(C)C	CHEMBL17218	pIC50=6.17
Oc1c(Cl)cc(Cl)cc1C(=O)Nc2ccc(Cl)c(Cl)c2	CHEMBL291338	pIC50=6.18
CC(C)(C)c1cc(cc2c1OCC2(C)C)C(=O)CSCC3CC3	CHEMBL417254	pIC50=6.19
CCOc1cccc(n1)c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc34)cc2	CHEMBL1922661	pIC50=6.21
CS(=O)(=O)Nc1ccncc1Oc2ccc(Cl)cc2Cl	CHEMBL224136	pIC50=6.21
Cc1csc(Sc2cc3C(=O)CCc3cc2NS(=O)(=O)C)n1	CHEMBL37414	pIC50=6.21
CC(=CCc1cc(\C=C\c2cc(O)cc(O)c2)ccc1O)C	CHEMBL457145	pIC50=6.22
CC(C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1F	CHEMBL1275972	pIC50=6.22
CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)N)cc(c1O)C(C)(C)C	CHEMBL275835	pIC50=6.22
CC(C)c1nc2sc(c3ccc(cc3)S(=O)(=O)C)c(c4ccccc4)n2n1	CHEMBL348115	pIC50=6.22
CC(COC(=O)C(C)c1cccc(c1)C(=O)c2ccccc2)O[N+](=O)[O-]	CHEMBL497858	pIC50=6.22
CN1C(=O)\C(=C(\O)/Nc2ccc(Cl)cc2Cl)\c3cc(Cl)ccc3C1=O	CHEMBL177808	pIC50=6.22
COc1cc(O)c(CC(CC=C(C)C)C(=C)C)c2O[C@@H](CC(=O)c12)c3ccc(O)cc3O	CHEMBL243796	pIC50=6.22
COc1cc(O)c(C[C@@H](CC=C(C)C)C(=C)C)c(O)c1C(=O)\C=C\c2ccc(O)cc2O	CHEMBL243362	pIC50=6.22
Cc1c(CC(=O)NCCO[N+](=O)[O-])cc(c2ccc(cc2)S(=O)(=O)C)n1c3ccc(F)cc3	CHEMBL3104556	pIC50=6.22
Cc1cccc(c1)c2c(sc3nc(nn23)C(F)(F)F)c4ccc(cc4)S(=O)(=O)C	CHEMBL421826	pIC50=6.22
Cc1oc(c2ccc(cc2)S(=O)(=O)N)c(n1)c3ccc(Cl)s3	CHEMBL350422	pIC50=6.22
NC1=NC2=C(NC=N2)C(=S)N1	thioguanine	pIC50=6.22
NS(=O)(=O)c1ccc(cc1)n2cnc(Cl)c2c3cc(Cl)cc(Cl)c3	CHEMBL419407	pIC50=6.22
CN(C)c1ccc(cc1Cl)c2c(F)c(F)ccc2c3ccc(cc3)S(=O)(=O)N	CHEMBL363270	pIC50=6.23
CN(C)c1ccc(cc1Cl)c2cc(F)c(F)cc2c3ccc(cc3)S(=O)(=O)N	CHEMBL52872	pIC50=6.23
C\C(=C/1\SC(=NC1=O)N=C(N)N)\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C	CHEMBL278246	pIC50=6.23
CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1cccc(c1)C(=O)c2ccccc2	CHEMBL497859	pIC50=6.24
CC(C(=O)OCCO[N+](=O)[O-])c1ccc(cc1)C(=O)c2cccs2	CHEMBL497507	pIC50=6.24
CC(C)S(=O)(=O)C1=C(O)N(Cc2ccc(F)c(F)c2)C(=O)c3ccccc13	CHEMBL275376	pIC50=6.24
CC(COC(=O)C(C)c1ccc(cc1)C(=O)c2cccs2)O[N+](=O)[O-]	CHEMBL526643	pIC50=6.24
COc1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(cc4)S(=O)(=O)C	CHEMBL89089	pIC50=6.24
Cc1ccc(cc1Cl)c2nc(cn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL298476	pIC50=6.24
Cc1nn(c2ccc(cc2)S(=O)(=O)N)c(c1Cl)c3ccccc3	CHEMBL283086	pIC50=6.24
Nc1onc(c2oc(Cl)cc2)c1c3ccccc3	CHEMBL3114664	pIC50=6.24
COc1ccc(Nc2cnccc2NS(=O)(=O)C)cc1	CHEMBL1078683	pIC50=6.25
Cc1ccccc1Nc2cnccc2NS(=O)(=O)C	CHEMBL1078374	pIC50=6.25
CCCNC(=O)c1cc(c2OCC(C)(C)c2c1)C(C)(C)C	CHEMBL122065	pIC50=6.26
CS(=O)(=O)c1ccc(cc1)C2=C(C(=C)C2)c3ccccc3	CHEMBL91118	pIC50=6.27
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nnc(N)s2	CHEMBL417073	pIC50=6.28
CC(S)CN1c2ccccc2Sc3ccccc13	CHEMBL149032	pIC50=6.3
CCc1cc(OC(F)(F)F)cc2C=C(C(Oc12)C(F)(F)F)C(=O)O	CHEMBL1290565	pIC50=6.3
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)C23CCCC3)c4ccccc4	CHEMBL90988	pIC50=6.3
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)CC2)c3ccc(F)cc3	CHEMBL22812	pIC50=6.3
C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1	CHEMBL441414	pIC50=6.3
Cc1onc(c2oc(Cl)cc2)c1c3ccccc3	CHEMBL363228	pIC50=6.3
NS(=O)(=O)c1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(cc4)C(F)(F)F	CHEMBL330314	pIC50=6.3
Oc1ccc2cc(oc2c1)c3cc(O)cc(O)c3	CHEMBL512578	pIC50=6.3
C1CCc2c(C1)c(nn2c3ccccc3)c4ccccc4	CHEMBL433892	pIC50=6.31
Fc1ccc2\C(=C\c3ccc(cc3)c4ccccc4)\C=C(CC(=O)NS(=O)(=O)C(F)(F)F)c2c1	CHEMBL2063559	pIC50=6.31
NS(=O)(=O)c1ccc(cc1)c2oc3ccccc3c2c4ccc(F)cc4	CHEMBL77714	pIC50=6.31
CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1ccc(cc1)C(=O)c2cccs2	CHEMBL497677	pIC50=6.32
CC(C)(O)[C@H](O)Cc1cc(\C=C\c2cc(O)cc(O)c2)ccc1O	CHEMBL446319	pIC50=6.32
COc1ccc(cc1F)C2=C(CC3(CC3)C2)c4ccc(cc4)S(=O)(=O)N	CHEMBL88532	pIC50=6.32
CS(=O)(=O)Nc1ccncc1Nc2ccccc2Cl	CHEMBL1079878	pIC50=6.32
Cc1ccccc1Nc2cnccc2NS(=O)(=O)C(F)(F)F	CHEMBL1081856	pIC50=6.32
Cc1cc(Cl)cc2C=C(C(Oc12)C(F)(F)F)C(=O)O	CHEMBL1288565	pIC50=6.33
CC(C(=O)OCCO[N+](=O)[O-])c1cccc(c1)C(=O)c2ccccc2	CHEMBL444396	pIC50=6.35
CCCc1cc2O[C@H](C(=Cc2cc1Cl)C(=O)O)C(F)(F)F	CHEMBL1630249	pIC50=6.36
CCS(=O)(=O)c1nc(c2ccc(Cl)cc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347676	pIC50=6.36
Fc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1	CHEMBL3113239	pIC50=6.36
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nsc(O)n2	CHEMBL279308	pIC50=6.37
COc1ccc(cn1)c2cccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc34)c2	CHEMBL538708	pIC50=6.38
CS(=O)(=O)c1ccc(cc1)c2[nH]c(nc2c3ccc(Cl)cc3)S(=O)(=O)C	CHEMBL2347670	pIC50=6.38
COC(=O)c1nn(c2ccc(cc2)S(=O)(=O)N)c(c1Cl)c3ccc(Cl)cc3	CHEMBL28491	pIC50=6.39
CS(=O)(=O)Nc1ccncc1Oc2ccccc2	CHEMBL148542	pIC50=6.39
FC(F)(F)S(=O)(=O)Nc1ccncc1Sc2ccccc2	CHEMBL224612	pIC50=6.39
NS(=O)(=O)c1ccc(cc1)C#Cc2cc(Cl)cc3C=C(C(Oc23)C(F)(F)F)C(=O)O	CHEMBL1290434	pIC50=6.39
CCCCC(=O)c1cc(c2SCCC(C)(C)c2c1)C(C)(C)C	CHEMBL276800	pIC50=6.4
CCS(=O)(=O)c1nc(c2ccc(F)cc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347675	pIC50=6.4
COc1ccc(cc1Br)C2=C(CC3(CC3)C2)c4ccc(cc4)S(=O)(=O)N	CHEMBL313313	pIC50=6.4
Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4cc(Cl)ccc34	CHEMBL212777	pIC50=6.4
NS(=O)(=O)c1ccc(cc1)n2nc(c3SCc4ccccc4c23)C(F)(F)F	CHEMBL329919	pIC50=6.4
CCSc1nc(c2ccc(Cl)cc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347673	pIC50=6.41
CN1C(=C(C(=O)Nc2ccc(Cl)cc2)c3cc(Cl)ccc3S1(=O)=O)O	CHEMBL369492	pIC50=6.41
CS(=O)(=O)c1ccc(cc1)c2[nH]c(nc2c3ccc(F)cc3)S(=O)(=O)C	CHEMBL2346675	pIC50=6.41
NS(=O)(=O)c1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(Cl)c(Cl)c4	CHEMBL313387	pIC50=6.42
CC1(C)C(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)c3ccc(F)cc3	CHEMBL91832	pIC50=6.43
CN1C(=O)\C(=C(\O)/Nc2ccccc2)\c3ccccc3C1=O	CHEMBL368468	pIC50=6.43
Cc1ccccc1c2c(Cl)ccc3OC(C(=Cc23)C(=O)O)C(F)(F)F	CHEMBL1630238	pIC50=6.43
CCS(=O)(=O)c1nc(c2ccccc2)c([nH]1)c3ccc(cc3)S(=O)(=O)C	CHEMBL2347674	pIC50=6.44
COc1ccc(cc1)C2=C(C(=O)OC2)c3ccc(F)cc3	CHEMBL3357104	pIC50=6.44
FC(F)(F)S(=O)(=O)Nc1ccncc1Oc2ccc(Cl)cc2	CHEMBL225113	pIC50=6.44
CC(C)Cc1cc2O[C@H](C(=Cc2cc1Cl)C(=O)O)C(F)(F)F	CHEMBL1630251	pIC50=6.46
CCN(CC)CCOc1ccc(cc1)\C(=C(\Cl)/c2ccccc2)\c3ccccc3	CHEMBL954	pIC50=6.46
Cc1csc(Sc2cc3C(=O)OCc3cc2NS(=O)(=O)C)n1	CHEMBL43520	pIC50=6.46
OCc1ccc(cc1)c2ccsc2c3ccc(F)cc3	CHEMBL293229	pIC50=6.46
CC(C)S(=O)(=O)C1=C(O)N(Cc2ccccc2)C(=O)c3ccccc13	CHEMBL18373	pIC50=6.47
CS(=O)(=O)c1ccc(cc1)c2[nH]c(nc2c3ccccc3)S(=O)(=O)C	CHEMBL2347669	pIC50=6.47
CSc1ccc(cc1)c2ccsc2c3ccc(F)cc3	CHEMBL63286	pIC50=6.47
Cc1onc(c2oc(Br)cc2)c1c3ccccc3	CHEMBL2380876	pIC50=6.48
NS(=O)(=O)c1ccc(cc1)C2=C(CC3(CC3)C2)c4ccc(F)cc4	CHEMBL17184	pIC50=6.48
COc1cc(OC(F)(F)F)cc2C=C(C(Oc12)C(F)(F)F)C(=O)O	CHEMBL1290683	pIC50=6.5
