CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.06000042	pKi=9.06000042	pKi=9.06000042	pIC50=9.8
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methanthelinium
Br.CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(O)c3ccccc3	CHEMBL1319362	pIC50=7.0
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pKi=7.0
Cl.COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1F	CHEMBL2435361	pEC50=7.0
CC(C1=C(CN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL434684	pKi=7.01
CCOC(=O)c1c(CC)n(Cc2ccccc2)c3ccc4OC5N(CCc6cc(OC)ccc56)Cc4c13	CHEMBL106219	pKi=7.01
CNCCC=C1c2ccccc2CCc3ccccc13	CHEMBL445	pIC50=7.02
OCCCCCCCCCCCCCC1CCN(CCCN2C(=O)CCc3ccccc23)CC1	CHEMBL3354077	pKi=7.02
[I-].C[N+](C)(C)C[C@@H]1C[S+]([O-])[C@](O1)(C2CCCCC2)c3ccccc3	CHEMBL557808	pKi=7.02
CN1CCC[C@@H]1[C@@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL496915	pKi=7.03
CCN1CCC(CNC(=O)[C@H]2CCCN2C(=O)[C@@H]3C[C@@H](O)CN3C(=O)CC(c4ccc(F)cc4)(c5ccc(F)cc5)c6ccc(F)cc6)CC1	CHEMBL213709	pKi=7.04
CCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12	CHEMBL59898	pIC50=7.04
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	CHEMBL415	pIC50=7.04
CC[C@H](C)C(C(=O)OCCCN(CC)CC)c1ccccc1	CHEMBL2377392	pKi=7.05
CO\N=C(/C#N)\[C@H]1CN2CCC1CC2	CHEMBL134641	pIC50=7.05
OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C1=C(O)C=CC(O)=C1C2=O	mitoxantrone	pKi=7.05
CCC(=O)OC1CC2CCCC1N2	CHEMBL310558	pKi=7.07
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](CN3CC[C@H](C3)N4Cc5ccccc5NC4=O)C2	CHEMBL3633184	pEC50=7.07
CN(C)CCC1=C(c2ccccc2C1)C(C)(C)c3ccccn3	CHEMBL423831	pKi=7.09
CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O	dimenhydrinate	pKi=7.1
COc1nsnc1OCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL218755	pKi=7.1
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1	thioridazine	pIC50=7.1
Cl.CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCOC(=O)C	CHEMBL538793	pKi=7.1
CN1CCCC1c2oc(cc2)C(C3CCCCC3)c4ccccc4	CHEMBL576707	pKi=7.11
Cl.Cl.OC(CCCN1CCC(CC1)C2CCN(CCCC(O)(c3ccccc3)c4ccccc4)CC2)(c5ccccc5)c6ccccc6	CHEMBL403773	pKi=7.13
O=C(CCCNC(=O)CNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NCC4CCCN(CC5CCCCC5)C4	CHEMBL177040	pKi=7.13
[Cl-].C[N+](C)(C)CCOC(=O)N	CHEMBL14	pEC50=7.13
CCCCCCOc1nsnc1C2=CCCN(C)C2	CHEMBL21536	pKi=7.14
COc1ccc(Cn2c(C)c(C(=O)OCC=C)c3c4CN5CCc6cc(OC)ccc6C5Oc4ccc23)cc1	CHEMBL104332	pKi=7.14
COc1ccc2C3Oc4ccc5[nH]c(C)c(C(=O)OCc6ccccc6)c5c4CN3CCc2c1	CHEMBL104574	pKi=7.14
CN(C)C[C@@H]1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042554	pKi=7.15
CCN1CCC(=C(C1)C(=O)OCCc2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL262198	pIC50=7.16
CCCCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12	CHEMBL106505	pKi=7.17
CCOc1noc2CCCNCc12	CHEMBL69305	pEC50=7.17
CN(C)CCCCOC(=O)C(C)(C1CCCCC1)c2ccccc2	CHEMBL285440	pKi=7.18
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(O)(c3ccccc3)c4ccccc4	CHEMBL569729	pKi=7.19
COc1nsnc1OCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL373888	pKi=7.2
CCN1CCC(=C(C1)C(=O)OC2CCCCC2)c3ccccc3.OC(=O)C(=O)O	CHEMBL332980	pIC50=7.21
COc1ccc2C3Oc4ccc5[nH]c(C)c(c6onc(C)n6)c5c4CN3CCc2c1	CHEMBL104803	pKi=7.21
[Br-].CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c3ccccc3)CCCCC1	CHEMBL1909073	pIC50=7.21
Cc1cccc(C(=O)N2CCC(CC2)N3CCC(Cc4ccc(cc4)S(=O)(=O)c5cccc(Cl)c5)CC3)c1N	CHEMBL12098	pKi=7.22
O=C(CCCNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NCCC(=O)NCC4CCCN(CC5CCCCC5)C4	CHEMBL369062	pKi=7.22
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL539120	pKi=7.23
CNCCCC12CCC(c3ccccc13)c4ccccc24	CHEMBL21731	pKi=7.24
CN1CCC[C@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL571341	pKi=7.26
O=C(OCCN1CCCC1)N2c3ccccc3Sc4ccccc24	CHEMBL481153	pKi=7.27
CN(C)CCOC(c1ccccc1)c2ccccc2	diphenhydramine	pKi=7.28
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(Cl)cc2)(c3ccc(Cl)cc3)c4ccc(Cl)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCNCC6	CHEMBL378872	pKi=7.28
CC(=O)OCC[N+](C)(C)C	acetylcholine	pEC50=7.31
CO\N=C(/C#N)\C12CCCN(CC1)C2	CHEMBL135645	pIC50=7.31
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC6)C7CCCC7	CHEMBL212645	pKi=7.32
[O-][N+](=O)c1ccc(cc1)C(=O)OC2CC3CCCC2N3	CHEMBL315428	pKi=7.32
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1	desloratadine	pKi=7.33
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)C3CCN(CC3)C4CCCCC4	CHEMBL2115126	pKi=7.35
CN1CCC[C@@H]1[C@@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL493979	pKi=7.37
O=C(CNC(=O)[C@@H]1CCCN1C(=O)CC(c2ccccc2)(c3ccccc3)c4ccccc4)NC[C@H]5CCCN(CC6CCCCC6)C5	CHEMBL2112961	pKi=7.37
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pIC50=7.38
CN(C)CCCN1c2ccccc2Sc3ccccc13	promazine	pKi=7.38
CN1C2CCCC1C(C2)OC(=O)OCC(Cl)(Cl)Cl	CHEMBL314493	pKi=7.38
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCNCC6	CHEMBL215180	pKi=7.38
CN1CCC(CNC(=O)[C@H]2CCCN2C(=O)[C@@H]3C[C@@H](O)CN3C(=O)CC(c4ccc(F)cc4)(c5ccc(F)cc5)c6ccc(F)cc6)CC1	CHEMBL214342	pKi=7.39
COc1ccccc1CNCCCCCCN2CCC(CCC3CCN(CCCCCCNCc4ccccc4OC)CC3)CC2	CHEMBL242345	pKi=7.39
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NC[C@@H]6CCCNC6	CHEMBL438822	pKi=7.41
COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc2ccccc2OC	CHEMBL27673	pKi=7.42
OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3	diphenidol	pKi=7.42
[I-].C[N+]1(C)CCCC1c2oc(cc2)C(c3ccccc3)c4ccccc4	CHEMBL583027	pKi=7.42
CN1[C@H]2C[C@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	scopolamine	pKi=7.43
[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1	CHEMBL221753	pKi=7.44
CN1CCC=C(C1)c2nsnc2OCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354068	pEC50=7.45
CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1	pirenzepine	pKi=7.46
Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3	CHEMBL490	pKi=7.47
CC(=O)OC1CC2CCCC1N2	CHEMBL64000	pKi=7.48
CN1CCC[C@H]1[C@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL493980	pKi=7.48
O=C1CCCN1CC#CCN2CCCC2	CHEMBL7634	pEC50=7.48
[I-].C[N+]1(C)CCC[C@H]1c2oc(cc2)[C@@](O)(C3CCCCC3)c4ccccc4	CHEMBL568870	pKi=7.48
O=C1CCc2ccccc2N1CCCN3CCC(CCCCCCCCCC4CCN(CCCN5C(=O)CCc6ccccc56)CC4)CC3	CHEMBL3354078	pKi=7.49
OC(CCN1CCCCC1)([C@H]2C[C@H]3C[C@@H]2C=C3)c4ccccc4	CHEMBL3085495	pKi=7.49
Cl.CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCO	CHEMBL545077	pKi=7.5
CN1CCC=C(C1)c2nsnc2OCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354067	pEC50=7.51
O=C(CCNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NCCC(=O)NC[C@H]4CCCN(CC5CCCCC5)C4	CHEMBL2112959	pKi=7.51
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC7CCC7)CC6	CHEMBL215189	pKi=7.51
C#CCOc1noc2CCCNCc12	CHEMBL69306	pEC50=7.52
O=C(CCCCCNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NC[C@H]4CCCN(CC5CCCCC5)C4	CHEMBL2112956	pKi=7.52
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCCC6CCNCC6	CHEMBL214029	pKi=7.54
CN1CCC=C(C1)c2nsnc2OCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354066	pKi=7.58
COC(=O)C1=CCCN(C)C1	CHEMBL7303	pKi=7.59
[Br-].CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1	CHEMBL2107687	pIC50=7.59
