N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	levothyroxine	pIC50=8.52000046	pIC50=8.52000046	pIC50=8.52000046
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O	liothyronine	pKi=10.1	pKi=10.1	pKi=10.1	pEC50=7.82
N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	dextrothyroxine
Oc1ccc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)cc1C4CC4	CHEMBL260482	pEC50=7.0
CC(C)C1=CC(=NNC1=O)Cc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O	CHEMBL3261336	pEC50=7.05
CC(C)c1cc(Cc2c(C)cc(OCC(=O)O)cc2C)cc(C#Cc3ccc(N)cc3)c1O	CHEMBL110158	pKd=7.05
CC(C)c1cc(ccc1O)C(CC=C)c2c(C)cc(OCC(=O)O)cc2C	CHEMBL97613	pKd=7.05
Cc1cc(Cc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O	CHEMBL485927	pKi=7.05
CC(C)c1cc(Cc2c(C)cc(OCCP(=O)(O)O)cc2C)ccc1O	CHEMBL447378	pKi=7.06
CCN(CC)c1cccc(COc2c(Br)cc(CCC(=O)O)cc2Br)c1	CHEMBL250513	pIC50=7.06
CCOc1ccc2c(ccnc2c1)c3c4CCCn4nc3c5cccc(C)n5	CHEMBL120587	pIC50=7.06
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3ccc(O)cc3)c(Cl)c1	CHEMBL236864	pIC50=7.06
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3ccccc3O)c2)c(Br)c1	CHEMBL235166	pIC50=7.08
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4cccc(O)c4)c3	CHEMBL2312274	pKi=7.09
Cc1cccc(n1)c2nn3CCCc3c2c4ccnc5ccccc45	CHEMBL119976	pIC50=7.11
Cc1cc(cc(Cl)c1Oc2ccc(O)c(c2)S(=O)(=O)N3CCOCC3)N4N=CC(=O)NC4=O	CHEMBL124145	pIC50=7.12
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccc(O)c3)c(Cl)c1	CHEMBL236863	pIC50=7.12
CCc1cccc(n1)c2nn3CCCc3c2c4ccnc5ccccc45	CHEMBL122583	pIC50=7.15
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCCc3ccccn3)c(Br)c1	CHEMBL238179	pIC50=7.17
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3ccc(cc3)C(F)(F)F)c(Cl)c1	CHEMBL398571	pIC50=7.17
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cncnc3)c(Cl)c1	CHEMBL237936	pIC50=7.17
Oc1ccc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)cc1Br	CHEMBL258886	pKd=7.17
CC(C)c1cc(Cn2c(C)c(CCCCC(=O)O)c3ccccc23)ccc1O	CHEMBL3126376	pEC50=7.21
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1S(=O)(=O)N4C5CCC4CC6(CCCO6)C5	CHEMBL125946	pEC50=7.21
OC(=O)CCc1cc(Br)c(OCc2cccc(Br)c2)c(Br)c1	CHEMBL250104	pIC50=7.22
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3cccc(c3)c4ccccc4)c2)c(Br)c1	CHEMBL394199	pIC50=7.22
CC(C)c1cc(ccc1O)C(=O)c2c(C)cc(NC(=O)CC(=O)O)c3CCCc23	CHEMBL2035885	pKi=7.23
CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O	CHEMBL263630	pEC50=7.24
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4ccc(O)cc4)c3	CHEMBL2312275	pKi=7.24
CC(C)c1cc(Cn2ccc3c(NC(=O)C(=O)O)ccc(C)c23)ccc1O	CHEMBL3126369	pIC50=7.27
CCc1cc(Oc2c(C)cc(NC(=O)CC(=O)O)c3CCCc23)ccc1O	CHEMBL2312277	pKi=7.27
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CCc4ccccc4O)c3	CHEMBL2312273	pKi=7.27
Clc1ccc2c(ccnc2c1)c3c4CCCn4nc3c5ccccn5	CHEMBL121554	pIC50=7.27
CC(C)c1cc(Oc2c(Cl)cc(CP(=O)(O)O)cc2Cl)ccc1O	CHEMBL486358	pKi=7.28
Cc1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O	CHEMBL264152	pKd=7.28
