NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1	pemetrexed	pIC50=6.4685	pIC50=6.4685	pIC50=6.4685	pKi=6.47
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O	capecitabine
FC1=CNC(=O)NC1=O	fluorouracil
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O	floxuridine
CCc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Br)cc3	CHEMBL371666	pIC50=6.0
CN(CCN(CC1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)C(=O)NC1=O)c3c(C)nc(N)nc3O)c4ccc(cc4)C(=O)NC(CCC(=O)O)C(=O)O	CHEMBL2368784	pIC50=6.0
CN(Cc1ccc2NC(=NC(=O)c2c1)C)c3ccc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL225071	pIC50=6.0
CN(Cc1cnc2NC(=NC(=O)c2n1)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL158990	pKi=6.0
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(Cl)cc3	CHEMBL142176	pIC50=6.0
Cc1nc(N)nc2[nH]cc(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c12	CHEMBL439973	pIC50=6.0
Cc1sc2N=C(N)NC(=O)c2c1Sc3cc(Cl)cc(Cl)c3	CHEMBL492839	pIC50=6.0
Nc1nc(O)c2c(CCc3ccc(Br)cc23)n1	CHEMBL306308	pIC50=6.0
Nc1nc(O)c2c(ccc3ccc(Cl)cc23)n1	CHEMBL306775	pIC50=6.0
ONC1=NC(=O)N(C=C1)[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2	CHEMBL1161227	pKd=6.0
CC1=Nc2ccc(CN(CCCO)c3ccc(cc3F)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL104670	pIC50=6.01
Cc1nc(O)c2c(Sc3ccncc3)cccc2n1	CHEMBL163096	pKi=6.02
CCN(Cc1ccc2N=C(C)NC(=O)c2c1)c3nnc(s3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	CHEMBL1097931	pIC50=6.03
CN(Cc1ccc2N=C(C)NC(=O)c2c1)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(C)c3	CHEMBL320470	pIC50=6.03
Cc1ccccc1[S+]([O-])c2ccc(cc2C(F)(F)F)N(CC#C)Cc3ccc4nc(C)nc(O)c4c3	CHEMBL157702	pKi=6.04
Cc1ncc([N+](=O)[O-])n1CCSc2oc(nn2)c3ccnc(N)c3	CHEMBL2348566	pIC50=6.04
OCC1=Nc2ccc(CN(CC=C)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2C(=O)N1	CHEMBL105045	pIC50=6.04
COC(=O)[C@@H](NP(=O)(O)OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O)C3C=Nc4ccccc34	CHEMBL1791078	pIC50=6.05
COc1cc(cc(OC)c1OC)c2oc(SCCn3c(C)ncc3[N+](=O)[O-])nn2	CHEMBL2348559	pIC50=6.05
Cc1[nH]c2nc(N)nc(O)c2c1Sc3ccc(F)c(F)c3	CHEMBL371913	pIC50=6.05
