CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=5.3	pKi=5.3	pKi=5.3
CCCCCCCCCCOS(=O)(=O)N	CHEMBL153094	pKi=6.06
CC(=O)Nc1nnc(s1)S(=O)(=O)N	acetazolamide	pIC50=6.08
CC1=CC(=C\C(=N/O)\O1)C	CHEMBL1956578	pKi=6.15
NCCCCCCN	CHEMBL303004	pKi=6.22
O=C1Nc2ccccc2C=C1	CHEMBL186422	pKi=6.24
CN(C)CCN(C)CCN(C)CCN(C)C	CHEMBL1214194	pKi=6.28
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1	imatinib	pKi=6.28
NCCCCCN	CHEMBL119296	pKi=6.3
O\N=C\1/Oc2ccccc2C=C1	CHEMBL1956579	pKi=6.32
CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)=C1)C(F)(F)F	nilotinib	pKi=6.35
NCCNc1cccc2ccccc12	CHEMBL1214195	pKi=6.38
COC[C@@H](NC(=O)C)C(=O)NCc1ccccc1	CHEMBL58323	pKi=6.43
NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)S(=O)(=O)CCO	CHEMBL2333417	pKd=7.48
CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N	methazolamide	pKi=8.96
