NC(N)=N	guanidine
NC1=CC=NC=C1	fampridine
NC1=CC=NC=C1N	amifampridine
CC(C)(CNC(=O)c1cccnc1O)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289418	pIC50=5.0
CC(C)NC(=O)c1cc(\C=C\c2ccc(OCc3ccccc3)cc2)ccc1c4ccc(Cl)cc4	CHEMBL110004	pIC50=5.0
CC(C)NC(=O)c1cc(\C=C\c2cccc(Cl)c2)ccc1c3ccc(Cl)cc3	CHEMBL112852	pIC50=5.0
COc1c(OCc2ccccc2)c(C(=O)C)c(OC)c3ccoc13	CHEMBL77572	pKd=5.0
CCCNC(=O)c1cc(\C=C\c2ccc(F)cc2)ccc1c3ccc(Cl)cc3	CHEMBL421891	pIC50=5.01
COc1ccc(cc1)N(CCCNC(=O)c2ccc(F)cc2)C3=NS(=O)(=O)c4ccccc34	CHEMBL1290616	pIC50=5.01
CCCCNC(=O)c1cc(\C=C\c2ccccc2F)ccc1c3ccc(Cl)cc3	CHEMBL111539	pIC50=5.1
COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1	verapamil	pIC50=5.1
CCN(CC)CC\N=C\1/C=CN(Cc2ccccc2Cl)c3cc(Cl)ccc13	CHEMBL53790	pIC50=5.12
CC(C)C(=O)C1N(C(=O)c2occc2)c3ccccc3c4ccccc14	CHEMBL497085	pIC50=5.13
CC(C)N(CCCNC(=O)c1ccc(F)cc1)C2=NS(=O)(=O)c3ccccc23	CHEMBL1289296	pIC50=5.14
COc1c(Oc2ccc(Oc3c(OC)c4occc4c(OC)c3C(=O)C)c(C)c2C)c(C(=O)C)c(OC)c5ccoc15	CHEMBL306038	pKd=5.15
O=C1c2ccccc2C(=O)c3c(OCCCCOc4ccccc4)cccc13	CHEMBL549316	pIC50=5.16
Fc1ccc(cc1)C(=O)NCCCN(C2=NS(=O)(=O)c3ccccc23)c4cccc(c4)C(F)(F)F	CHEMBL1290506	pIC50=5.17
CC1=CC(=O)c2c(O1)cc3OC(=O)C=Cc3c2OCCCCOc4ccccc4	CHEMBL559268	pIC50=5.22
CCCCNC(=O)c1cc(\C=C\Cc2ccccc2)ccc1c3ccc(Cl)cc3	CHEMBL109643	pIC50=5.22
Clc1ccc(cc1)S(=O)(=O)N2CC(=O)c3ccccc3c4ccccc24	CHEMBL522750	pIC50=5.22
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4	CHEMBL104	pIC50=5.22
CC(C)(CNC(=O)C1CCCCN1)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290171	pIC50=5.23
CC1CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1	CHEMBL2205334	pIC50=5.24
CCCNC(=O)c1cc(\C=C\Cc2ccccc2)ccc1c3ccc(Cl)cc3	CHEMBL325794	pIC50=5.24
Cc1ccc(cc1)S(=O)(=O)N2CC(=O)c3ccccc3c4ccccc24	CHEMBL498086	pIC50=5.24
CC(C)NC(=O)c1cc(\C=C\Cc2ccccc2)ccc1c3ccc(Cl)cc3	CHEMBL109698	pIC50=5.25
Fc1ccc(cc1)C(=O)NCCCN(C2CCCC2)C3=NS(=O)(=O)c4ccccc34	CHEMBL1289185	pIC50=5.29
CC(=O)N1C(c2ccccc2c3ccccc13)c4c[nH]c5ccccc45	CHEMBL497084	pIC50=5.3
CC1=CC(=O)c2c(O1)cc3OCOc3c2OCCCCOc4ccccc4	CHEMBL559267	pIC50=5.3
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	diphenoxylate	pIC50=5.3
COc1c(OCc2ccc(COc3c(OC)c4occc4c(OC)c3C(=O)C)c(c2)C(=O)O)c(C(=O)C)c(OC)c5ccoc15	CHEMBL77493	pKd=5.3
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4cccn4	CHEMBL498270	pIC50=5.3
OCCCN(C1=NS(=O)(=O)c2ccccc12)c3ccccc3	CHEMBL1289414	pIC50=5.3
O=S1(=O)N=C(N(CCCC#N)c2ccccc2)c3ccccc13	CHEMBL1290733	pIC50=5.32
Fc1ccc(cc1)N(CCCNC(=O)c2ccc(F)cc2)C3=NS(=O)(=O)c4ccccc34	CHEMBL1290394	pIC50=5.33
N#CC(CCN1CCC(=CC1)c2ccccc2)(c3ccccc3)c4ccccc4	CHEMBL2205328	pIC50=5.38
O=C(C1CCC1)C2N(C(=O)c3occc3)c4ccccc4c5ccccc25	CHEMBL502831	pIC50=5.38
CCCNC(=O)c1cc(\C=C\CCc2ccccc2)ccc1c3ccc(Cl)cc3	CHEMBL111753	pIC50=5.4
COc1c(OCCOCCOc2c(OC)c3occc3c(OC)c2C(=O)C)c(C(=O)C)c(OC)c4ccoc14	CHEMBL74306	pKd=5.4
Cc1ccc(cc1)C(=O)N2CC(=O)c3ccccc3c4ccccc24	CHEMBL522408	pIC50=5.4
NC(=N)NNC(=O)c1cc(\C=C\c2ccc(F)cc2)ccc1c3ccc(Cl)cc3	CHEMBL109739	pIC50=5.41
CC(C)NC(=O)c1cc(\C=C\c2ccc(Cl)c(F)c2)ccc1c3ccc(Cl)cc3	CHEMBL109336	pIC50=5.43
COC1=C(C[C@@H]2C(=C)CC[C@H]3[C@@]4(C)CC=CO[C@@H]4CC[C@]23C)C(=O)C(=C(C)O1)C	CHEMBL515037	pIC50=5.43
Clc1cccc(c1)S(=O)(=O)N2CC(=O)c3ccccc3c4ccccc24	CHEMBL496892	pIC50=5.44
O=S1(=O)N=C(N(CCCc2ccccc2)c3ccccc3)c4ccccc14	CHEMBL1289528	pIC50=5.45
COc1c(OCCCCOc2c(OC)c3occc3c(OC)c2C(=O)C)c(C(=O)C)c(OC)c4ccoc14	CHEMBL78267	pKd=5.46
O=C(NCCCN(C1=NS(=O)(=O)c2ccccc12)c3ccccc3)C4=CCOC=C4	CHEMBL1289965	pIC50=5.46
CN1CCCCC1C(=O)NCC(C)(C)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290172	pIC50=5.47
Clc1cccc(c1)C(=O)N2CC(=O)c3ccccc3c4ccccc24	CHEMBL497250	pIC50=5.47
CCNC(=O)c1cc(\C=C\CCc2ccccc2)ccc1c3ccc(Cl)cc3	CHEMBL418444	pIC50=5.5
CNC(=O)NCC(C)(C)CN(C1=NS(=O)(=O)c2cc(F)ccc12)c3ccccc3	CHEMBL1290738	pIC50=5.51
COc1c(OCc2ccc(COc3c(OC)c4occc4c(OC)c3C(=O)C)cc2)c(C(=O)C)c(OC)c5ccoc15	CHEMBL75159	pKd=5.51
COc1c(OCCCCCCCOc2c(OC)c3occc3c(OC)c2C(=O)C)c(C(=O)C)c(OC)c4ccoc14	CHEMBL78004	pKd=5.52
COc1cccc(\C=C(/C)\C(=O)c2c(O)c(OC)c3occc3c2OC)c1	CHEMBL257244	pEC50=5.52
Fc1ccc(cc1)C(=O)NCCCN(C2=NS(=O)(=O)c3ccccc23)c4ncccn4	CHEMBL1289067	pIC50=5.53
CNC(=O)c1cc(\C=C\c2ccc(OCc3ccccc3)c(OCc4ccccc4)c2)ccc1c5ccc(Cl)cc5	CHEMBL112516	pIC50=5.54
Fc1ccc(cc1)C(=O)NCCN(C2=NS(=O)(=O)c3ccccc23)c4ccccc4	CHEMBL1289741	pIC50=5.54
O=C(NCCCN(C1=NS(=O)(=O)c2ccccc12)c3ccccc3)c4cccnc4	CHEMBL1289527	pIC50=5.56
O=C(NCCCN(C1=NS(=O)(=O)c2ccccc12)c3ccccc3)NN4CCOCC4	CHEMBL1290277	pIC50=5.57
COCCCN(C1=NS(=O)(=O)c2ccccc12)c3ccccc3	CHEMBL1289413	pIC50=5.58
N#CC(CCN1CCC(CC1)c2ccccc2)(c3ccccc3)c4ccccc4	CHEMBL2205321	pIC50=5.58
Cn1cccc1CC(=O)NCC(C)(C)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1290064	pIC50=5.59
COC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccccc4	CHEMBL2205320	pIC50=5.6
COC1=C(C[C@H]2C(=C)CC[C@@H]3[C@]2(C)CC[C@H]4OC(=CC[C@]34C)C(C)(C)O)C(=O)C(=C(C)O1)C	CHEMBL460814	pIC50=5.6
