CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)[C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O	ceruletide
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc3ccc(NC(=O)Nc4ccccc4Cl)cc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc5ccc(C)cc5)C(=O)N	CHEMBL302150	pIC50=7.0
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc3cccc(NC(=O)Nc4ccccc4C)c3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc5ccc(C)cc5)C(=O)N	CHEMBL303635	pIC50=7.0
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccc(F)cc5	CHEMBL345786	pIC50=7.0
CC(CNC(=O)c1ccc(Cl)cc1NS(=O)(=O)c2cccc3nsnc23)c4ccc(Cl)cc4	CHEMBL566360	pKi=7.0
OC(=O)[C@H](Cc1ccc(Cl)c(Br)c1)NC(=O)c2ccc(Br)cc2NS(=O)(=O)c3cccc4nccnc34	CHEMBL584525	pKi=7.0
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cc6ccccc6cc5C(=O)O	CHEMBL1774040	pIC50=7.02
CC(C)N(Cc1ccccc1)C(=O)CN2C(=O)[C@@H](Cc3c[nH]c4ccccc34)c5nnc(c6ccccc6)n5c7ccccc27	CHEMBL1269258	pIC50=7.03
O=C(CN1C(=O)C(Cc2c[nH]c3ccccc23)c4nnc(c5ccccc5)n4c6ccccc16)N7CCCCC7Cc8ccccn8	CHEMBL2017829	pIC50=7.03
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3noc4ccccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL91986	pIC50=7.05
CC(C)N(C(=O)CN1C(=O)C(Cc2n[nH]c3ccccc23)C(=O)N(c4ccccc4)c5ccccc15)c6ccccc6	CHEMBL88545	pIC50=7.06
Cc1cccc(CC2CCCCN2C(=O)CN3C(=O)[C@@H](Cc4n[nH]c5ccccc45)c6nnc(c7ccccc7)n6c8ccccc38)c1	CHEMBL2017834	pIC50=7.06
CC(C)C1CCCCN1C(=O)CN2C(=O)C(Cc3c[nH]c4ccccc34)c5nnc(c6ccccc6)n5c7ccccc27	CHEMBL2017826	pIC50=7.1
CC(CNC(=O)c1ccc(Br)cc1NS(=O)(=O)c2cccc3nsnc23)c4ccccc4	CHEMBL570163	pKi=7.1
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(NC(=O)Nc3ccccc3)C(=O)N(c4ccccc4)c5ccccc25	CHEMBL108130	pIC50=7.1
C[C@@H](CNC(=O)c1ccc(Br)cc1NS(=O)(=O)c2cccc3nsnc23)c4ccccc4	CHEMBL584063	pKi=7.1
Clc1ccc(C(=O)NCCc2ccc(Cl)c(Cl)c2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL570521	pKi=7.1
Fc1ccc(NC(=O)N[C@H]2C(=O)N(CC(=O)N3CCCC3)c4ccccc4N(C5CCCCC5)C2=O)cc1	CHEMBL320141	pKi=7.1
Fc1ccc(NC(=O)N[C@H]2C(=O)N(CC(=O)N3CCCC3)c4ccccc4N(C5CCCCCC5)C2=O)cc1	CHEMBL95200	pKi=7.1
OC(=O)[C@@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34	CHEMBL566359	pKi=7.1
CC(C)N(C(=O)CN1C(=O)C(C)(CC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccccc5	CHEMBL88239	pIC50=7.12
CC(C)(C)C(=O)CN1C(=O)N(CCCC(=O)Nc2cccc(c2)C3=NC(=O)ON3)C(=O)N(C4CCCCC4)c5ccccc15	CHEMBL258782	pKi=7.14
Cc1cc(C)cc(C[C@H]2CCCCN2C(=O)CN3C(=O)[C@@H](Cc4n[nH]c5ccccc45)c6nnc(c7ccccc7)n6c8ccccc38)c1	CHEMBL2017835	pIC50=7.15
O=C(CN1C(=O)C(Cc2c[nH]c3ccccc23)c4nnc(c5ccccc5)n4c6ccccc16)N7CCC(Cc8ccccc8)C7	CHEMBL2017692	pIC50=7.16
O=C(CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)Nc5ccccc5	CHEMBL156605	pIC50=7.17
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6cc[nH]c6c5	CHEMBL1774038	pIC50=7.18
CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc3cccc(NC(=O)Nc4ccccc4C)c3)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](Cc5ccc(C)cc5)C(=O)N	CHEMBL302027	pIC50=7.2
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccc(cc5)N(C)C.OC(=O)C(F)(F)F	CHEMBL345869	pIC50=7.2
C[C@H](CNC(=O)c1ccc(Br)cc1NS(=O)(=O)c2cccc3nsnc23)c4ccccc4	CHEMBL566604	pKi=7.2
Cc1ccccc1NC(=O)NCCCC[C@@H](CNC(=O)CCC(=O)O)NC(=O)[C@@](C)(Cc2c[nH]c3ccccc23)NC(=O)OC4C5CC6CC(CC4C6)C5	CHEMBL332263	pIC50=7.22
OC(=O)C(Cc1ccccc1)NC(=O)c2ccccc2NC(=O)c3cc4ccccc4[nH]3	CHEMBL202861	pKi=7.22
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccccc5	CHEMBL321761	pIC50=7.26
COc1ccc(cc1)c2cnc(nc2c3ccccc3C)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773893	pIC50=7.26
COc1ccc(cc1)c2cnc(nc2c3cccc(F)c3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773878	pIC50=7.29
CC(C)(CNC(=O)c1ccc(Cl)cc1NS(=O)(=O)c2cccc3nsnc23)c4ccc(Cl)cc4	CHEMBL565511	pKi=7.3
COc1ccc(cc1)N(C)C(=O)CN2C(=O)C(NC(=O)Nc3ccccc3)C(=O)N(c4ccccc4)c5ccccc25	CHEMBL105775	pIC50=7.3
Fc1ccc(NC(=O)NC2C(=O)N(CC(=O)N3CCCC3)c4ccccc4N(C2=O)c5ccccc5F)cc1	CHEMBL421575	pKi=7.3
CC(C)N(Cc1ccccc1)C(=O)CN2C(=O)C(Nc3cccc(c3)C(=O)O)c4nnc(c5ccccc5)n4c6ccccc26	CHEMBL1269260	pIC50=7.31
CC(C)N(Cc1ccccc1)C(=O)CN2C(=O)C(c3n[nH]c4ccccc34)c5nnc(c6ccccc6)n5c7ccccc27	CHEMBL1269263	pIC50=7.31
COCCC1CCCCN1C(=O)CN2C(=O)C(Cc3c[nH]c4ccccc34)c5nnc(c6ccccc6)n5c7ccccc27	CHEMBL2017690	pIC50=7.31
O=C(CN1C(=O)C(Cc2c[nH]c3ccccc23)c4nnc(c5ccccc5)n4c6ccccc16)N7CCCCC7Cc8ccccc8	CHEMBL2017827	pIC50=7.35
CCOc1cccc(c1)n2cc(nc2c3ccc(CC)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL476725	pIC50=7.37
CCc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL476747	pIC50=7.37
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3n[nH]c4ccc(F)cc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL94005	pIC50=7.37
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3nn(C)c4ccccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL310466	pIC50=7.37
COc1cccc(c1)c2cc(nn2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cccc(Cl)c5	CHEMBL479063	pIC50=7.39
CC(C)N(C(=O)CN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c3ccccc3)c4ccccc14)c5ccc(O)cc5	CHEMBL443825	pIC50=7.4
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(C)(Cc3nn(C)c4ccccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL316104	pIC50=7.41
CC(C)N(Cc1ccccc1)C(=O)CN2C(=O)[C@@H](Cc3n[nH]c4ccccc34)c5nnc(c6ccccc6)n5c7ccccc27	CHEMBL2017831	pIC50=7.42
CCC1CCCCN1C(=O)CN2C(=O)C(Cc3c[nH]c4ccccc34)c5nnc(c6ccccc6)n5c7ccccc27	CHEMBL2017691	pIC50=7.43
CCC1(CC(=O)Nc2ccccc2)C(=O)N(CC(=O)N(C(C)C)c3ccccc3)c4ccccc4N(C1=O)c5ccccc5	CHEMBL262444	pIC50=7.44
CCCC[C@@H](C(=O)N[C@@H](CC(=O)OCc1ccccc1)[C@@H](Cc2ccccc2)C(=O)N)n3nnnc3[C@H](Cc4c[nH]c5ccccc45)NC(=O)OC(C)(C)C	CHEMBL410511	pIC50=7.44
O=C(CN1C(=O)[C@@H](Cc2n[nH]c3ccccc23)c4nnc(c5ccccc5)n4c6ccccc16)N7CCCCC7Cc8ccccc8	CHEMBL2017833	pIC50=7.44
CCOc1cccc(c1)n2cc(nc2c3cccc(F)c3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL515160	pIC50=7.46
COc1ccc(cc1)c2cnc(nc2c3ccccc3Cl)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773895	pIC50=7.46
COc1cccc(c1)c2ccc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL1773882	pIC50=7.46
COc1cccc(c1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773885	pIC50=7.46
COc1cccc(c1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL1773883	pIC50=7.48
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc3ccc(NC(=O)Nc4ccccc4C)cc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc5ccc(C)cc5)C(=O)N	CHEMBL408395	pIC50=7.5
CNc1cccc(NC(=O)N[C@@H]2N=C(c3ccccn3)c4ccccc4N(CC(=O)C(C)(C)C)C2=O)c1	CHEMBL324547	pKi=7.5
Clc1ccc(cc1)C(CNC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34)c5ccc(Cl)cc5	CHEMBL583343	pKi=7.5
CC(C)Oc1cccc(c1)n2cc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL478397	pIC50=7.52
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3n[nH]c4cc(F)ccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL90697	pIC50=7.53
CCOc1cccc(c1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773886	pIC50=7.6
COc1ccc(cc1)C(Cc2cc(c3ccc(C)cc3)n(n2)c4ccc(OC)cc4)C(=O)O	CHEMBL249153	pKi=7.6
COc1ccc(cc1)C(Cc2cc(c3ccc(Cl)cc3)n(n2)c4ccc(OC)cc4)C(=O)O	CHEMBL248752	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3ccc(C)cc3)cc2c4ccc(C)cc4	CHEMBL249560	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3ccc(C)cc3)cc2c4ccc(Cl)cc4	CHEMBL248754	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3ccc(Cl)cc3)cc2c4ccc(C)cc4	CHEMBL399056	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3ccc(Cl)cc3)cc2c4ccc(Cl)cc4	CHEMBL250576	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3cccc(C)c3)cc2c4ccc(C)cc4	CHEMBL249361	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3cccc(C)c3)cc2c4ccc(Cl)cc4	CHEMBL399055	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3cccc(Cl)c3)cc2c4ccc(C)cc4	CHEMBL248949	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3cccc(Cl)c3)cc2c4ccc(Cl)cc4	CHEMBL399915	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3cccc(OC)c3)cc2c4ccc(C)cc4	CHEMBL249151	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3cccc(OC)c3)cc2c4ccc(Cl)cc4	CHEMBL248552	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3ccccc3)cc2c4ccc(C)cc4	CHEMBL249763	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3ccccc3)cc2c4ccc(Cl)cc4	CHEMBL248948	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3ccccc3OC)cc2c4ccc(C)cc4	CHEMBL248950	pKi=7.6
COc1ccc(cc1)n2nc(CC(C(=O)O)c3ccccc3OC)cc2c4ccc(Cl)cc4	CHEMBL400670	pKi=7.6
C[C@@H](NC(=O)c1ccc(Cl)cc1NS(=O)(=O)c2cccc3nsnc23)[C@@H](O)c4cccc(Br)c4	CHEMBL571206	pKi=7.6
CC(C)N(Cc1ccccc1)C(=O)CN2C(=O)C(Nc3ccccc3)c4nnc(c5ccccc5)n4c6ccccc26	CHEMBL1269261	pIC50=7.61
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3n[nH]c4ccccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL293226	pIC50=7.64
Cc1ccc(cc1)c2nc(cn2c3cccc(O)c3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL476297	pIC50=7.66
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3n[nH]c4c(F)cccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL406790	pIC50=7.68
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(CCCCNC(=O)Nc3ccccc3C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc4ccc(C)cc4)C(=O)N	CHEMBL304524	pIC50=7.7
CC(C)N(C(=O)CN1C(=O)C(Nc2cccc(c2)C(=O)O)c3nnc(c4ccccc4)n3c5ccccc15)c6ccccc6	CHEMBL1269259	pIC50=7.71
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ncccc6c5	CHEMBL1774036	pIC50=7.72
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(C)(Cc3cn(C)c4ccccc34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL327909	pIC50=7.75
COc1ccc(cc1)c2cnc(nc2c3ccccc3)C(=O)N4CCN(CC4)c5cnc6ccccc6c5	CHEMBL1773892	pIC50=7.75
COc1ccc(cc1)N(C(C)C)C(=O)CN2C(=O)C(Cc3n[nH]c4cccc(F)c34)C(=O)N(c5ccccc5)c6ccccc26	CHEMBL328586	pIC50=7.76
COc1ccc(cc1)N(C2CCCC2)C(=O)CN3C(=O)C(Cc4n[nH]c5ccccc45)C(=O)N(c6ccccc6)c7ccccc37	CHEMBL327849	pIC50=7.77
COc1ccc(cc1)c2cnc(nc2c3ccc(C)cc3)C(=O)N4CCN(CC4)c5ccc6ccccc6c5	CHEMBL1774034	pIC50=7.77
