CCCN(CCC)C(=O)C(CCC(O)=O)NC(=O)C1=CC=CC=C1	proglumide
CN(Cc1ccccc1)C(=O)[C@H](CCC(=O)O)NC(=O)CCC(NC(=O)c2cc(Cl)cc(Cl)c2)C(=O)N3CCC4(CCCC4)CC3	CHEMBL30784	pIC50=7.0
CN([C@H](Cc1ccccc1)C(=O)O)C(=O)CCC(NC(=O)c2cc(Cl)cc(Cl)c2)C(=O)N3CCC4(CCCC4)CC3	CHEMBL281560	pIC50=7.0
Cc1ccc(c2nsnc12)S(=O)(=O)Nc3cc(Br)ccc3C(=O)N4CCCCC4	CHEMBL214235	pKi=7.0
Cc1ccc2nsnc2c1S(=O)(=O)Nc3cc(Br)ccc3C(=O)N4CCCCC4	CHEMBL217170	pKi=7.0
Cc1cccc(NC(=O)N[C@H](COC(=O)N2CCCC2)C(=O)N3CCC(CC3)C(=O)c4ccccc4)c1	CHEMBL418987	pIC50=7.0
SCc1ccc(C(=O)N2CCCCC2)c(NS(=O)(=O)c3cccc4nsnc34)c1	CHEMBL383919	pKi=7.0
C[C@@](Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@H](C[C@@H]6C(=O)O)Oc7ccccc7	CHEMBL262679	pKi=7.01
CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	CHEMBL122012	pKi=7.02
CN1C(=O)C(NC(=O)Nc2cccc(C)c2)N=C(c3cccnc3)c4ccccc14	CHEMBL335241	pIC50=7.04
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)N6C[C@@H](C[C@@H]6C(=O)O)Oc7ccccc7	CHEMBL339451	pKi=7.04
CC(C)C1=NN(CC(=O)Nc2cccc(c2)C(=O)O)C(=O)N(CC(=O)C(C)(C)C)c3ccccc13	CHEMBL389019	pKi=7.05
CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C)C(=O)N[C@H](CC(=O)O)NC(=O)C(Cc3ccccc3)C(=O)N	CHEMBL433901	pIC50=7.05
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)NCCc6cccc7ccccc67	CHEMBL95115	pKi=7.05
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(=O)\C=C\c3cccnc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL413548	pIC50=7.06
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3[C@@H]4C[C@H]5C[C@H](C[C@@H]3C5)C4)C(=O)NCCc6ccccc6	CHEMBL291033	pKi=7.06
CC(Cc1ccccc1)(NC(=O)OC2[C@@H]3C[C@H]4C[C@H](C[C@@H]2C4)C3)C(=O)N(CCc5ccccc5)CC(=O)O	CHEMBL319085	pKi=7.06
CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c4ccccc4)c5ccccc15	CHEMBL9506	pKi=7.06
COc1ccc(NC(=O)N[C@@H]2C[C@@H](C[C@@H](N(CC(=O)NC(C)(C)C)C2=O)c3ccccc3)c4ccccc4C)cc1	CHEMBL329286	pIC50=7.06
OC(=O)CC[C@@H](NC(=O)CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N2CCC3(CCCC3)CC2)C(=O)Nc4cccc5ccccc45	CHEMBL291001	pIC50=7.07
O=C(NC1C(=O)N(CC23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3)c5ccccc5N(C1=O)c6ccccc6)Nc7ccccc7	CHEMBL330977	pKi=7.08
