CN(CCCCCCN(C)C(=O)OC1=C[N+](C)=CC=C1)C(=O)OC1=C[N+](C)=CC=C1	distigmine
NC1=C2CCCCC2=NC2=CC=CC=C12	tacrine	pKi=7.14	pKi=7.14	pKi=7.14	pIC50=6.03
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	neostigmine	pIC50=7.59	pIC50=7.59	pIC50=7.59	pIC50=7.38
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	donepezil	pKi=7.8	pKi=7.8	pKi=7.8	pIC50=6.8
C[N+]1=CC=CC=C1C=NO	pralidoxime	pKd=4.59	pKd=4.59	pKd=4.59
CC[N+](C)(C)C1=CC=CC(O)=C1	edrophonium	pKi=8.79	pKi=8.79	pKi=8.79	pKi=6.1
CN(CCCCCCCCCCN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	demecarium
CN(C)C(=O)OC1=C[N+](C)=CC=C1	pyridostigmine	pIC50=6.44	pIC50=6.44	pIC50=6.44	pIC50=6.44
CC(C)OP(F)(=O)OC(C)C	fluostigmine	pKi=5.22	pKi=5.22	pKi=5.22	pIC50=6.92
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C	rivastigmine	pIC50=7.43	pIC50=7.43	pIC50=7.43	pIC50=6.04
CCOP(=O)(OCC)SCC[N+](C)(C)C	echothiophate
[H][C@]12N(C)CC[C@@]1(C)C1=CC(OC(=O)NC)=CC=C1N2C	physostigmine	pIC50=9.37	pIC50=9.37	pIC50=9.37	pIC50=6.3
[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=CC=C(OC)C(O2)=C13	galantamine	pKi=7.21	pKi=7.21	pKi=7.21	pIC50=6.0
COC1=CC(O)=C(C=C1OC)C(=O)NC1=NC(=CS1)C(=O)NCCN(C(C)C)C(C)C	acotiamide	pIC50=5.52287865	pIC50=5.52287865	pIC50=5.52287865
C[N+](C)(CCCCCC[N+](C)(C)C1C2=CC=CC=C2C2=C1C=CC=C2)C1C2=CC=CC=C2C2=C1C=CC=C2	hexafluronium
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1	ambenonium
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1	procainamide	pIC50=6.0
CN(CCCCOc1ccc2C3=C(CCCC3)C(=O)Oc2c1)Cc4ccccc4	CHEMBL3335050	pIC50=6.0
CN(CCOCCNC(=S)Nc1ccc(OC(F)(F)F)cc1)Cc2ccccc2	CHEMBL101028	pIC50=6.0
COC(=O)c1cc2c(N)c3CCCCc3nc2nc1C	CHEMBL1086184	pIC50=6.0
COC(=O)c1ccc(C[n+]2ccc(CCC(=O)C3Cc4cc(OC)c(OC)cc4S3)cc2)cc1	CHEMBL188011	pIC50=6.0
COC(=O)c1ccc(C[n+]2ccc(CCC(=O)c3cc4cc(OC)c(OC)cc4s3)cc2)cc1	CHEMBL87280	pIC50=6.0
CO[C@@]12C[C@H](O)[C@H](C)[C@@H]3CC(C)(C)CC3=C1C(=O)O[C@@H]2N[C@@]45CC(=C[C@@H](CC6=C4C=CC(=O)N6)/C/5=C\C)C	CHEMBL3338386	pIC50=6.0
COc1cc2CC(Oc3cccc(CN(C)C)c3)C(=O)c2cc1OC	CHEMBL181310	pKi=6.0
COc1cc2cc(sc2cc1OC)C(=O)C3CCC[N+](C)(CC#N)CC3	CHEMBL188338	pIC50=6.0
COc1cccc2cc(oc12)C(=O)NCCCCCCCNc3c4CCCc4nc5ccccc35	CHEMBL3754739	pIC50=6.0
C[C@H]1COC2=C1C(=O)C(=O)c3c2ccc4c(C)cccc34	CHEMBL227075	pIC50=6.0
Cc1c2[nH]c3ccc(O)cc3c2cc[n+]1C	CHEMBL375862	pIC50=6.0
Cc1cc(nnc1NCCN2CCCCC2)c3ccc4OCOc4c3	CHEMBL1085021	pIC50=6.0
Cl.CCCCCCCCCCCCNc1c2CCCCc2nc3ccc(OC)cc13	CHEMBL1257525	pIC50=6.0
Cl.CN(CCCCCCCN1C(=O)c2ccccc2C1=O)Cc3ccccc3	CHEMBL3402709	pIC50=6.0
Cl.CN(CCCOc1ccc2C(=C(C)C(=O)Oc2c1)C)Cc3ccccc3	CHEMBL3586574	pIC50=6.0
Cl.CN(Cc1ccc(COc2ccc3C(=CC(=O)Oc3c2)C)cc1)Cc4cccc(Cl)c4	CHEMBL3586600	pIC50=6.0
