CC(C)c1nn(c2ccc(cc2Cl)C(=O)N)c3nccc(c13)n4cnc(c4)c5ccc(cc5)C(=O)N	CHEMBL3661160	pIC50=6.0
CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL109480	pEC50=6.0
CN(C)CNC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cnc6ccccc6c5	CHEMBL3653874	pIC50=6.01
CO[C@H]1C[C@H](C)CC2=C(NCCCCNC(=O)\C=C\c3ccc(O)c(OC)c3)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL3354091	pIC50=6.01
Cc1c2CCCN3CC[C@@H](C3)Nc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779546	pIC50=6.01
CCc1ccc(cc1)S(=O)(=O)\N=C\2/C=C(Nc3ccc(cc3)C(=O)O)C(=O)c4ccccc24	CHEMBL3195410	pIC50=6.02
OC(=O)c1ccc(NC2=C\C(=N\S(=O)(=O)c3ccccc3)\c4ccccc4C2=O)cc1	CHEMBL1998302	pIC50=6.02
CC(C)NC(=O)c1ccc(cc1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5Cl)C(=O)N)C(C)C	CHEMBL3661158	pIC50=6.03
CCc1ccc(cc1)S(=O)(=O)\N=C\2/C=C(Nc3cccc(c3)C(=O)O)C(=O)c4ccccc24	CHEMBL3190880	pIC50=6.03
CCCc1ccc(OCc2oc(cc2)C(=O)N3CCSCC3)cc1	CHEMBL1451365	pIC50=6.04
Cc1c2CCCNCCNc3cc(ccc3C(=O)N)n2c4CC(C)(C)CC(=O)c14	CHEMBL1760602	pIC50=6.04
Cc1ccc(c(C)c1)S(=O)(=O)\N=C\2/C=C(Nc3cccc(c3)C(=O)O)C(=O)c4ccccc24	CHEMBL1969046	pIC50=6.04
ON(c1ccccc1)S(=O)(=O)Cc2ccccc2	CHEMBL1489355	pIC50=6.04
CO[C@H]1C[C@H](C)CC2=C(NCc3ccc(N)cc3)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL3327118	pIC50=6.05
Cc1c2CCN3CCC[C@@H]3CNc4cc(ccc4C(=O)N)n2c5CC(C)(C)CC(=O)c15	CHEMBL1779542	pIC50=6.05
CCNC(=O)c1n[nH]c(c2cc(Cl)c(O)cc2O)c1c3ccc(OC)cc3	CHEMBL365617	pIC50=6.06
CCOC(=O)c1csc(NC(=O)c2ccc(OCC)cc2)n1	CHEMBL1545123	pIC50=6.06
COc1cc(\C=N\Nc2ccc(Cl)c(c2)C(=O)O)ccc1OC(=O)c3ccc(F)cc3	CHEMBL3196762	pIC50=6.06
Cn1cc(cn1)c2cn(cn2)c3cccc4c(cc(nc34)C(F)(F)F)c5ccc(C(=O)N)c(Cl)c5	CHEMBL3653909	pIC50=6.06
Cc1ccc(cc1)S(=O)(=O)c2cc(C)nc(N)n2	CHEMBL1834091	pKd=6.07
CC(C)OCCNc1cc(ccc1C(=O)N)c2cc(nc3c(cccc23)c4cnc5ccccc5c4)C(F)(F)F	CHEMBL3653938	pIC50=6.08
CCNc1cc(ccc1C(=O)N)c2cccc3c(ccnc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653945	pIC50=6.08
Cc1c2CCCNCC(C)(C)Nc3cc(ccc3C(=O)N)n2c4CC(C)(C)CC(=O)c14	CHEMBL1760604	pIC50=6.08
Cc1cc(ccc1n2nc(c3c(ccnc23)c4cnc5ccccc5c4)C(F)(F)F)C(=O)N	CHEMBL3661098	pIC50=6.08
NC(=O)c1ccc(cc1N)c2ccnc3c(cccc23)n4cnc(c4)c5cccnc5	CHEMBL3653959	pIC50=6.08
O=P(Nc1nccs1)(c2ccccc2)c3nc4ccccc4s3	CHEMBL1410147	pIC50=6.08
CCNc1cc(ccc1C(=O)N)n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(c5)C(F)F	CHEMBL3661155	pIC50=6.09
COC(=O)c1c(O)cc(O)c(Cl)c1CCc2nccn2Cc3oncc3	CHEMBL3804936	pKd=6.09
O=C(CN1C(=O)c2ccccc2S1(=O)=O)c3ccc4OCCCOc4c3	CHEMBL1562575	pIC50=6.09
CC(C)(C)Nc1cc(ccc1C(=O)N)c2cc(nc3c(cccc23)n4cnc(c4)c5cnn(c5)C(F)F)C(F)(F)F	CHEMBL3653919	pIC50=6.1
CC(C)n1cc(cn1)c2cn(cn2)c3ccnc4c3c(nn4c5ccc(cc5N)C(=O)N)C(F)(F)F	CHEMBL3661193	pIC50=6.1
CN1CCN(CC1)c2ccc3onc(c4cc(Cl)c(O)cc4O)c3c2	CHEMBL402712	pIC50=6.1
CO[C@H]1C[C@H](C)CC2=C(NCCF)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL421647	pKd=6.1
COc1cc(\C=N\Nc2ccc(Cl)c(c2)C(=O)O)ccc1OC(=O)c3occc3	CHEMBL1977983	pIC50=6.1
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nc(CN4CCOCC4)cc5c(cccc35)c6cnc7ccccc7c6	CHEMBL3653868	pIC50=6.1
Nc1ncnc2c1nc(Sc3cc4OCOc4cc3Br)n2CCCc5cn(CCOCCOCCOCCOCCOCCOCCn6cc(CCCn7c(Sc8cc9OCOc9cc8Br)nc%10c(N)ncnc7%10)nn6)nn5	CHEMBL1213894	pIC50=6.1
CCNc1cc(ccc1C(=O)N)n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(CC)c5	CHEMBL3661154	pIC50=6.11
CCOC(=O)c1csc(NC(=O)c2oc3ccccc3c2)n1	CHEMBL1546905	pIC50=6.11
CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL278315	pKd=6.11
CC(C)Nc1cc(ccc1C(=O)N)n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cccnc5	CHEMBL3661148	pIC50=6.12
CCNc1cc(ccc1C(=O)N)c2nccc3c(ccnc23)n4cnc(c4)c5cnn(C)c5	CHEMBL3653900	pIC50=6.13
CSc1nc(N)nc(n1)c2ccccc2Cl	CHEMBL1834095	pIC50=6.13
Oc1ccc2c(CCc3c[nH]nc23)c1	CHEMBL441019	pKd=6.13
Cc1cc(NO)nc(n1)c2ccc(Br)cc2	CHEMBL1521872	pIC50=6.14
CC(C)c1ccc(NC(=O)C2=COC(=O)C(=C2)Br)cc1C	CHEMBL1583282	pIC50=6.16
CC(C)c1nn(c2ccc(C(=O)N)c(F)c2C)c3nccc(c13)n4cnc(c4)c5cnn(C)c5	CHEMBL3661138	pIC50=6.16
CC(C)c1nn(c2ccc(C(=O)N)c(N[C@@H]3CC[C@@H](O)CC3)c2)c4nccc(c5cnc6c(ccn6C)c5)c14	CHEMBL3656933	pIC50=6.16
CCc1c(F)c(ccc1n2nc(C(C)C)c3c(ccnc23)n4cnc(c4)c5cnn(C)c5)C(=O)N	CHEMBL3661139	pIC50=6.16
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(cc4)C(=O)N	CHEMBL3235330	pKi=6.16
COc1cccc(Cl)c1c2cc(C)nc(N)n2	CHEMBL1774833	pKi=6.16
NC(=O)c1ccc(cc1NC2CCC(O)CC2)c3nccc4c(cccc34)c5cncnc5	CHEMBL3653878	pIC50=6.16
CC(C)c1nn(c2ccc(C(=O)N)c(NC3CCC(O)CC3)c2)c4nccc(c14)n5cnc(c5)c6occc6	CHEMBL3661104	pIC50=6.17
CCc1cc(c(O)cc1O)c2n[nH]c(C(=O)O)c2c3ccc4OCOc4c3	CHEMBL178130	pKd=6.17
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc5C(=O)NCCc5c4	CHEMBL3235347	pKi=6.17
CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O	CHEMBL383824	pKi=6.17
CC(C)c1nn(c2ccc(cc2Cl)C(=O)N)c3nccc(c13)n4cnc(c4)c5ccc(cc5)C(=O)N(C)C	CHEMBL3661159	pIC50=6.18
COc1ccccc1NC(=O)C2=COC(=O)C(=C2)Br	CHEMBL1304017	pIC50=6.18
Oc1ccc(NC2=C\C(=N\S(=O)(=O)c3cccs3)\c4ccccc4C2=O)cc1	CHEMBL2000517	pIC50=6.18
COc1cncc(c1)c2cccc3c(nccc23)c4ccc(C(=O)N)c(NC5CCC(O)CC5)c4	CHEMBL3653865	pIC50=6.19
Nc1ncnc2c1nc(Sc3cc4OCOc4cc3Br)n2CCCc5cn(CCOCCOCCOCCOCCOCCn6cc(CCCn7c(Sc8cc9OCOc9cc8Br)nc%10c(N)ncnc7%10)nn6)nn5	CHEMBL1213892	pIC50=6.19
CC(=O)N[C@H]1C[C@@H]2CNc3cc(ccc3C(=O)N)n4c(CCCN2C1)c(C)c5C(=O)CC(C)(C)Cc45	CHEMBL1779540	pIC50=6.2
