COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl	bosutinib	pKd=8.47	pKd=8.47	pKd=8.47	pKd=8.47
Nc1ncnc2c1c(nn2C3CCCC3)c4cccc(O)c4F	CHEMBL1242111	pIC50=7.55
CN1CCC(CC1)Oc2cc(cc(c2)C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4c6cc(N)ncn6)c3	CHEMBL1076432	pIC50=7.57
CC(C)n1nc(c2ccc(O)c(F)c2)c3c(N)ncnc13	CHEMBL1241945	pIC50=7.59
CNC(=O)Nc1cc(CCOc2ccc(NC(=O)Nc3cc(nn3c4ccc(C)cc4)C(C)(C)C)c5ccccc25)ccn1	CHEMBL3781687	pIC50=7.59
COC(=O)Nc1cc(CCOc2ccc(NC(=O)Nc3cc(nn3c4ccc(C)cc4)C(C)(C)C)c5ccccc25)ccn1	CHEMBL3781532	pIC50=7.59
Cc1c(Nc2c(cnc3sc(\C=C\C(=O)N4CCCC4)cc23)C#N)ccc5[nH]ccc15	CHEMBL477817	pIC50=7.59
Nc1ncnc2c1c(nn2[C@H]3CCNC3)c4ccc(F)c(O)c4	CHEMBL1242657	pIC50=7.6
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4NC(=O)C=Nc34)c5ccccc25)n(n1)c6ccc(CO)cc6	CHEMBL3695589	pIC50=7.62
Cn1nc(c2ccc(Br)c(O)c2)c3c(N)ncnc13	CHEMBL1241299	pIC50=7.62
CC(C)n1nc(c2ccc(O)cc2C)c3c(N)ncnc13	CHEMBL1242024	pIC50=7.64
CC(C)n1nc(c2cccc(O)c2)c3c(N)ncnc13	CHEMBL1230790	pIC50=7.64
COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cc(cc(c4)C(F)(F)F)n5cnc(C)c5)ccc3C)cnc2[nH]1	CHEMBL3808884	pIC50=7.66
COc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCc4ccnc5NC(=O)C=Nc45)c6ccccc36)C(C)(C)C	CHEMBL3695594	pIC50=7.66
CN1CCN(CC1)c2ccc(cc2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)NCC6CCCCC6)cc5	CHEMBL1084234	pIC50=7.68
Nc1ncnc2c1c(nn2[C@H]3CCOC3)c4ccc(F)c(O)c4	CHEMBL1242748	pIC50=7.68
CC(C)n1nc(c2ccc3cc(O)ccc3c2)c4c(N)ncnc14	CHEMBL1242662	pIC50=7.7
CN1CCN(CC1)c2cc(cc(c2)C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4c6cc(N)ncn6)c3	CHEMBL1076436	pIC50=7.7
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pKd=7.7
Nc1ncnc2c1c(nn2[C@@H]3CCNC3)c4ccc(Cl)c(O)c4	CHEMBL1241677	pIC50=7.7
CCC(C)n1nc(c2ccc(C)c(O)c2)c3c(N)ncnc13	CHEMBL1242109	pIC50=7.72
