FC(F)OC(F)C(F)(F)F	desflurane
FC(F)OC(Cl)C(F)(F)F	isoflurane
FC(F)OC(F)(F)C(F)Cl	enflurane
FC(F)(F)C(Cl)Br	halothane
FCOC(C(F)(F)F)C(F)(F)F	sevoflurane
CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1	doxapram
CC(C)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5ccc(F)cc5	CHEMBL3700378	pIC50=5.09
COc1ccc(cc1)c2nn([C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5CCN(Cc25)C(=O)C	CHEMBL3703724	pIC50=5.16
CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2	CHEMBL631	pIC50=5.29
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5ccc(Cl)cc5	CHEMBL3703723	pIC50=5.53
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(F)c5	CHEMBL3703722	pIC50=5.65
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5ccc(F)c(c5)C#N	CHEMBL3700368	pIC50=5.67
Cc1cccc(c1)C(=O)Nc2cccc(NC(=O)c3ccncc3)c2	CHEMBL3187891	pIC50=5.67
COc1cc(ccc1F)c2nn([C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5CCN(Cc25)C(=O)C	CHEMBL3700367	pIC50=5.72
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5ccc(C)cc5	CHEMBL3700366	pIC50=5.82
COc1ccc(cc1)C(=O)Nc2cccc(NC(=O)c3cccc(C)c3)c2	CHEMBL3188671	pIC50=5.89
O=C(Nc1cccc(NC(=O)c2cccnc2)c1)c3ccccc3	CHEMBL1541525	pIC50=5.89
CC(=O)N1CCc2c(C1)c(nn2[C@@H]3c4cc(F)cc(F)c4C[C@@]3(C)O)c5cccc(c5)C#N	CHEMBL3700365	pIC50=5.9
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(Cl)c5	CHEMBL3700364	pIC50=5.93
CO[C@@H]1Cc2c(F)cc(F)cc2[C@H]1n3nc(c4CN(CCc34)C(=O)C)c5ccc(F)cc5	CHEMBL3700375	pIC50=5.93
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4cc(Cl)c(Cl)cc34)c5ccc(F)cc5	CHEMBL3700363	pIC50=6.0
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(c5)C#N	CHEMBL3700362	pIC50=6.06
CC(=O)N1CCc2c(C1)c(nn2[C@@H]3[C@@H](O)Cc4c(F)cc(F)cc34)c5cccc(OC(F)(F)F)c5	CHEMBL3700360	pIC50=6.1
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4ccc(Cl)cc34)c5ccc(F)cc5	CHEMBL3700361	pIC50=6.1
O=C(Nc1cccc(NC(=O)c2ccccc2)c1)c3cocc3	CHEMBL3188024	pIC50=6.1
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4c(F)cc(F)cc34)c5cccc(c5)C(F)(F)F	CHEMBL3700359	pIC50=6.11
CC(=O)N1CCc2c(C1)c(nn2[C@@H]3CCc4ccccc34)c5ccc(F)cc5	CHEMBL3700369	pIC50=6.15
CC(=O)N1CCc2c(C1)c(nn2[C@H]3[C@H](O)Cc4ccc(Cl)cc34)c5cccc(c5)C#N	CHEMBL3700358	pIC50=6.16
CC(=O)N1CCc2c(C1)c(nn2[C@@H]3[C@@H](O)Cc4c(F)cc(F)cc34)c5cccc(c5)C#N	CHEMBL3703721	pIC50=6.17
