CS(=O)(=O)N1C=C2CN(CC2=N1)[C@H]1CO[C@@H]([C@@H](N)C1)C1=C(F)C=CC(F)=C1	omarigliptin	pKi=9.09691048	pKi=9.09691048	pKi=9.09691048	pIC50=8.59
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=CC(F)=CC=C2C#N)C1=O	trelagliptin	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.39793968	pIC50=8.4
[H][C@]1(CN[C@@]([H])(C1)C(=O)N1CCSC1)N1CCN(CC1)C1=CC(C)=NN1C1=CC=CC=C1	teneligliptin	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43179798	pIC50=9.43
CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N	anagliptin	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42021656	pIC50=8.42
N[C@H](CN1CC(F)(F)CCC1=O)CC(=O)N1CCC2=C(N=C(N=C2C1)C(F)(F)F)C(F)(F)F	gemigliptin	pIC50=7.79587984	pIC50=7.79587984	pIC50=7.79587984
N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1	sitagliptin	pKi=7.774	pKi=7.774	pKi=7.774	pIC50=6.96
OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	vildagliptin	pKi=8.52	pKi=8.52	pKi=8.52	pIC50=6.92
[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)C12CC3CC(CC(O)(C3)C1)C2	saxagliptin	pKi=9.22	pKi=9.22	pKi=9.22	pIC50=7.3
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1	linagliptin	pIC50=10.0	pIC50=10.0	pIC50=10.0	pIC50=8.7
CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O	alogliptin	pIC50=9.0	pIC50=9.0	pIC50=9.0	pIC50=7.62
CC(C)(C)C[C@H](N)C(=O)N1CC[C@@H]2C[C@H]12	CHEMBL395184	pKi=6.0
CC1=CC(=O)N2N=C(C=CC2=N1)N3C[C@H](CN)[C@H](CC3=O)c4cc(F)ccc4F	CHEMBL3236114	pIC50=6.0
CN([C@@H]1CC[C@@H](CC1)[C@H](N)Cc2cc(F)ccc2F)C(=O)C	CHEMBL1683099	pIC50=6.0
COc1cc2CCN3C[C@@H]([C@H](N)C[C@H]3c2cc1OC)c4ccccn4	CHEMBL392083	pIC50=6.0
COc1ccccc1C2=CN=C(N3CCC[C@@H](N)C3)N(Cc4ccccc4C#N)C2=O	CHEMBL1650417	pIC50=6.0
C[C@@H]([C@H](N)C(=O)N1CCCC1)c2onc(n2)c3ccccc3Cl	CHEMBL375414	pIC50=6.0
C[S+](C)Cc1ccc2NC(=O)[C@@H]3CCCN3C(=O)[C@@H](N)CCCCNC(=O)CNC(=O)CNC(=O)c1c2.OC(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F	CHEMBL277390	pIC50=6.0
Cl.N[C@@H](CC(=O)N1CCCN1C(=O)Nc2ccccc2)Cc3cc(F)c(F)cc3F	CHEMBL557776	pIC50=6.0
Cn1cnc2ccc(c(CN)c12)c3ccccc3	CHEMBL255769	pIC50=6.0
N[C@@H](CC(=O)NC1(CCN(Cc2ccccc2)CC1)c3ccccc3)Cc4ccccc4F	CHEMBL471633	pIC50=6.0
N[C@@H]([C@@H]1CCN(C1)S(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(=O)N3CCC(F)(F)C3	CHEMBL231654	pIC50=6.0
N[C@H](Cc1cc(F)ccc1F)[C@@H]2CC[C@@H](CC2)N3CCC(F)(F)C3	CHEMBL1683113	pIC50=6.0
N[C@H]1CN(C[C@H]1c2ccc(Cl)c(Cl)c2)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)C5CC5	CHEMBL399409	pIC50=6.0
CC#CCn1c(nc2N(C)C(=O)N(C(C)C)C(=O)c12)N3CCC[C@@H](N)C3	CHEMBL3616913	pIC50=6.01
CC1(C)N[C@@H](C[C@@H]1C(=O)N2Cc3ccccc3C2)C(=O)N4CCC[C@H]4C#N	CHEMBL210522	pIC50=6.01
C[C@H]([C@H](N)C(=O)N1CCSC1)c2ccccc2	CHEMBL192983	pIC50=6.01
Cc1ccccc1C[C@@H](N)CC(=O)N2CCSC2	CHEMBL185351	pIC50=6.01
