N[C@@H](CS)CCCC(=O)O	CHEMBL102006	pKi=6.01
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@H](N)CCP(=O)(O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL149947	pKi=6.04
CC(C[C@H](N)CS)C(=O)O	CHEMBL103952	pKi=6.06
CN[C@H](CS)CCC(=O)O	CHEMBL27824	pKi=6.06
NC(CS)Cc1cccc(c1)C(=O)O	CHEMBL283227	pKi=6.08
NC(CS)CCCP(=O)(O)O	CHEMBL103306	pKi=6.29
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N	CHEMBL147410	pKi=6.33
NC(CS)CCP(=O)(O)O	CHEMBL441816	pKi=6.41
[Na+].N[C@H](CS)CCCS(=O)(=O)[O-]	CHEMBL330184	pKi=6.43
CC[C@H](C)[C@@H](NC(=O)[C@@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL149145	pKi=6.54
[Na+].N[C@H](CS)CCS(=O)(=O)[O-]	CHEMBL100575	pKi=6.54
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@H](CC(=O)O)C(=O)O	CHEMBL149339	pKi=6.55
NC(CS)CCC(C(=O)O)C(=O)O	CHEMBL102084	pKi=6.55
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL344321	pKi=6.57
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N1CCC([C@@H]1C(=O)O)C(=O)O	CHEMBL151630	pKi=6.62
NC(CCS(=O)(=O)N)C(S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O	CHEMBL1161304	pKi=6.82
CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N	CHEMBL348192	pKi=6.84
N[C@H](CS)CCC(=O)O	CHEMBL28124	pKi=6.85
N[C@H](CS)CCCC(=O)O	CHEMBL101147	pKi=6.89
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N1CCC([C@H]1C(=O)O)C(=O)O	CHEMBL357167	pKi=6.96
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)[C@H](N)CCS(=O)(=O)O)C(=O)N[C@@H](CS(=O)(=O)O)C(=O)O	CHEMBL436269	pKi=7.08
