CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=5.92	pKd=5.92	pKd=5.92
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=9.7	pKd=9.7	pKd=9.7	pIC50=8.4
Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)c5c(Cl)cccc5Cl	CHEMBL230686	pKi=7.53
C(CN1CCNCC1)Nc2ccnc3oc(c4ccc(OCCN5CCCCC5)cc4)c(c6ccccc6)c23	CHEMBL393596	pIC50=7.54
CN1CCN(CCNc2cc(ncn2)n3c(Nc4cc(NC(=O)c5cccc(c5)C(F)(F)F)ccc4C)nc6ccccc36)CC1	CHEMBL1076477	pIC50=7.54
CC(C)NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccc(F)cc3)\Nc4ccc(CN5CCC(CC5)C(C)(C)O)cc24	CHEMBL2172308	pKd=7.55
CCN(CC)CCOc1ccc(Nc2cc(ncn2)N(C)C(=O)Nc3c(C)cccc3Cl)cc1	CHEMBL210762	pIC50=7.55
CN(C)CCOc1ccc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)cc1	CHEMBL410892	pIC50=7.55
CN(C)Cc1cccc(c1)c2cc3c(Nc4ccc5[nH]ccc5c4C)c(cnc3s2)C#N	CHEMBL402818	pIC50=7.55
CN1CCN(CC1)c2cccc(c2)c3cnn4c(N)c(cnc34)c5ccc(NS(=O)(=O)c6cccc(Cl)c6Cl)cc5	CHEMBL1084974	pIC50=7.55
COc1cc(ccc1NC(=O)CCc2ccccc2)c3nn([C@@H]4CC[C@H](CC4)N5CCN(C)CC5)c6ncnc(N)c36	CHEMBL295601	pIC50=7.55
C(CN1CCNCC1)Nc2ncnc3oc(c4ccc(CN5CCOCC5)cc4)c(c6ccccc6)c23	CHEMBL248080	pIC50=7.57
COc1cc(Nc2ncc3C(=O)N(c4c(C)cccc4C)c5nc6ccccc6n5c3n2)cc(OC)c1OC	CHEMBL270777	pIC50=7.57
COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)Nc5ccccc5C)c2cc1OC	CHEMBL270058	pIC50=7.57
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3nc4ccccc4n3c5cc(NCCO)ncn5	CHEMBL1087638	pIC50=7.57
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(NC(=O)C4CC4c5ccccc5)sc3c2	CHEMBL68887	pIC50=7.57
Cc1cccc(Cl)c1NC(=O)c2ccc3nc(Nc4ccncn4)sc3c2	CHEMBL408849	pIC50=7.57
Cc1cccc(Cl)c1Nc2nc3c(ccc4c(C)c(C)nc(O)c34)[nH]2	CHEMBL117267	pIC50=7.57
Cc1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1CCO	CHEMBL27079	pIC50=7.57
CC(Nc1nccc(n1)n2cnc3ccccc23)C4CN(CCN4S(=O)(=O)c5ccccc5)C(=O)Nc6cccc7ccccc67	CHEMBL572079	pIC50=7.58
CN(C)c1ccc(Nc2ncc3C=C(N4N(CCC4=O)c3n2)c5c(Cl)cccc5Cl)cc1	CHEMBL214402	pIC50=7.59
COC(=O)c1ccc2nc(Nc3c(C)cccc3Cl)c4cncn4c2c1	CHEMBL321464	pIC50=7.59
COC(=O)c1cccc2c1nc(Nc3c(C)cccc3Cl)c4cncn24	CHEMBL313591	pIC50=7.59
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3nc4ccccc4n3c5cc(NCCCC6COCCN6)ncn5	CHEMBL1076471	pIC50=7.59
Cc1cccc(Cl)c1Nc2nc3c(F)cccc3n4cncc24	CHEMBL316425	pIC50=7.59
Cc1cccc(Cl)c1Nc2nc3ccc(F)cc3n4cncc24	CHEMBL322745	pIC50=7.59
Cc1nc(O)c2c(cc(CNCCO)c3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1C	CHEMBL27199	pIC50=7.59
Cc1nc(O)c2c(ccc3[nH]c(Nc4c(Cl)cccc4Cl)nc23)c1C	CHEMBL27085	pIC50=7.59
CN1CCN(CC1)c2ccc(cc2)c3cnn4c(N)c(cnc34)c5ccc(NC(=O)Nc6ccccc6Cl)cc5	CHEMBL1084233	pIC50=7.6
CN1CCN(CCCNc2cc(ncn2)n3c(Nc4cc(NC(=O)c5cccc(c5)C(F)(F)F)ccc4C)nc6ccccc36)CC1	CHEMBL1076478	pIC50=7.6
CNc1ncc(C(=O)Nc2cc(ccc2C)C(=O)Nc3cccc(c3)C(F)(F)F)c(Oc4ccccc4)n1	CHEMBL271099	pIC50=7.6
