[H][C@@]12C[C@@]([H])(C)[C@]34C=C(C)[C@]([H])(OC(=O)C(\C)=C/C)[C@@]3(O)[C@]([H])(O)C(CO)=C[C@]([H])(C4=O)[C@]1([H])C2(C)C	ingenol mebutate	pEC50=7.52287865	pEC50=7.52287865	pEC50=7.52287865
Oc1ccc2sc3C(=O)NCCSc3c2c1	CHEMBL1672571	pIC50=7.55
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pKd=7.57
Cn1c2ccccc2c3c4C(=O)NCc4c5c6ccccc6n(CCC#N)c5c13	CHEMBL302449	pIC50=7.57
CN1CCN(CC1)c2cc(cc(n2)c3ccnc(NC4CCCCC4)c3)C(=O)N	CHEMBL1215286	pIC50=7.6
NC(=O)c1cc(nc(c1)c2ccnc(Nc3ccccc3)c2)N4CCNCC4	CHEMBL1215000	pEC50=7.62
FC(F)(F)c1cc(nc(c1)c2ccnc(NC3CCCCC3)c2)N4CCNCC4	CHEMBL1215360	pIC50=7.7
NC(=O)C1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4	CHEMBL1214788	pIC50=7.7
CC(=O)C1CN(CCN1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4	CHEMBL1215795	pIC50=7.72
O=C(NCC#N)c1cccc(c1)c2cc(on2)c3ccc(CNC4CCOCC4)cc3	CHEMBL1683438	pIC50=7.72
N#Cc1cc(nc(c1)c2ccnc(NC3CCCCC3)c2)N4CCNCC4	CHEMBL1215078	pIC50=7.75
C1CCC(CC1)Nc2cc(ccn2)c3cc(cc(n3)N4CCNCC4)c5cn[nH]c5	CHEMBL1215151	pEC50=7.77
FC(F)c1cc(nc(c1)c2ccnc(NC3CCCCC3)c2)N4CCNCC4	CHEMBL1215361	pIC50=7.77
C1CCC(CC1)Nc2cc(ccn2)c3cc4ncccc4c(n3)N5CCNCC5	CHEMBL1215572	pIC50=7.82
OC1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4	CHEMBL1215793	pIC50=7.82
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35	CHEMBL603469	pKd=7.85
NC1CCCN(C1)c2cc(cc(n2)c3ccnc(NC4CCCCC4)c3)C(=O)N	CHEMBL1215285	pIC50=7.85
C1CCC(CC1)Nc2cc(ccn2)c3cc4cnccc4c(n3)N5CCN(CC5)C6CC6	CHEMBL1215709	pIC50=7.89
C1CCC(CC1)Nc2cc(ccn2)c3cc4ccccc4c(n3)N5CCNCC5	CHEMBL1215505	pIC50=7.92
C1CN(CCN1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4	CHEMBL1215711	pIC50=8.0
O=C(NC1CC1)Nc2c[nH]nc2c3nc4cc(CN5CCOCC5)ccc4[nH]3	CHEMBL495727	pIC50=8.0
CC(C)NCc1ccc(cc1)c2onc(c2)c3cccc(c3)C(=O)N[C@H](C)C#N	CHEMBL1683436	pIC50=8.05
C[C@H]1CN(CCN1)c2cc(cc(n2)c3ccnc(NC4CCCCC4)c3)C(=O)N	CHEMBL1215223	pIC50=8.1
Cn1ccc(Nc2cc(ccn2)c3cc(cc(n3)N4CCNCC4)C#N)n1	CHEMBL1215150	pIC50=8.1
CC(C)CN1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4	CHEMBL1215642	pIC50=8.22
C[C@@H]1CN(CCN1)c2cc(cc(n2)c3ccnc(NC4CCCCC4)c3)C(=O)N	CHEMBL1215222	pIC50=8.22
NC(=O)c1cc(nc(c1)c2ccnc(NC3CCCC3)c2)N4CCNCC4	CHEMBL1215076	pIC50=8.22
C[C@@H](NC(=O)c1cccc(c1)c2cc(on2)c3ccc(CNC4CCOCC4)cc3)C#N	CHEMBL1683440	pIC50=8.26
N#Cc1cc(nc(c1)c2ccnc(Nc3ccccc3)c2)N4CCNCC4	CHEMBL1215149	pIC50=8.3
NCC(=O)N1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4	CHEMBL1214787	pIC50=8.3
C1CCC(CC1)Nc2cc(ccn2)c3cc(cc(n3)N4CCNCC4)c5cc[nH]n5	CHEMBL1215152	pIC50=8.4
CCNc1cc(ccn1)c2cc(cc(n2)N3CCNCC3)C(=O)N	CHEMBL1215077	pIC50=8.4
OC1CCN(CC1)C(=O)C2CCN(CC2)c3nc(cc4cnccc34)c5ccnc(NC6CCCCC6)c5	CHEMBL1214786	pIC50=8.4
CC(C)NCc1ccc(cc1)c2cc(n[nH]2)c3cccc(c3)C(=O)N[C@H](C)C#N	CHEMBL1683435	pIC50=8.43
CC(C)NC(=O)C1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4	CHEMBL1214857	pIC50=8.52
CCNC(=O)C1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4	CHEMBL1214789	pIC50=8.52
CNC(=O)C1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4	CHEMBL1214710	pIC50=8.52
C[C@@H]1CN(C[C@H](C)N1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4	CHEMBL1215640	pIC50=8.52
C(C1CC1)N2CCN(CC2)c3nc(cc4cnccc34)c5ccnc(NC6CCCCC6)c5	CHEMBL1215643	pIC50=8.7
CC(C)CNC(=O)C1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4	CHEMBL1214858	pIC50=8.7
CN1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCCCC5)c4	CHEMBL1215641	pIC50=8.7
NC(=O)c1cc(N[C@@H]2CCNC2)nc(c1)c3ccnc(NC4CCCCC4)c3	CHEMBL1215220	pIC50=8.7
OCCNC(=O)C1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4	CHEMBL1214859	pIC50=8.7
CC(C)CN1CCN(CC1)c2nc(cc3cnccc23)c4ccnc(NC5CCOCC5)c4	CHEMBL1215712	pIC50=9.0
CC(C)Nc1cc(ccn1)c2cc(cc(n2)N3CCNCC3)C(=O)N	CHEMBL1215002	pIC50=9.0
Cn1ccc(Nc2cc(ccn2)c3cc(cc(n3)N4CCNCC4)C(=O)N)n1	CHEMBL1215074	pIC50=9.0
