CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.25	pKi=9.25	pKi=9.25	pIC50=9.3	pIC50=9.8
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C	fesoterodine	pKi=6.401	pKi=6.401	pKi=6.401
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.3	pKi=9.3	pKi=9.3
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=8.97	pKi=8.97	pKi=8.97	pIC50=8.43
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=9.5	pKi=9.5	pKi=9.5
O=C1CC[C@@](C2CCN(CC3=CC=CC=C3)CC2)(C(=O)N1)C1=CC=CC=C1	dexetimide	pKi=8.89999962	pKi=8.89999962	pKi=8.89999962
CC(C[N+](C)(C)C)OC(N)=O	bethanechol	pKi=4.0	pKi=4.0	pKi=4.0
CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC	gallamine	pKi=6.1481304	pKi=6.1481304	pKi=6.1481304
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C	tolterodine	pKi=8.57	pKi=8.57	pKi=8.57	pKi=8.4
O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1	solifenacin	pIC50=6.24	pIC50=6.24	pIC50=6.24
[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1	trospium
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methanthelinium
C1CN2CCC1C(=C2)c3coc4ccccc34	CHEMBL144385	pKi=7.0
CN(C)CC#CCOC1=NOCC1	CHEMBL3323285	pKi=7.0
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pKi=7.0
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.0
CO[C@@]1(CN2CCC1CC2)C#CC(O)(c3cccnc3)c4cccnc4	CHEMBL381469	pKi=7.0
C[C@H](N1CCN(C[C@@H]1C)C2CCN(CC2)C(=O)c3c(C)cccc3N)c4ccc(cc4)S(=O)(=O)c5ccc6OCOc6c5	CHEMBL69670	pKi=7.0
C[C@H](N1CCN(C[C@@H]1C)C2CCN(CC2)C(=O)c3c(N)cccc3Cl)c4ccc(cc4)S(=O)(=O)c5ccc6OCOc6c5	CHEMBL69642	pKi=7.0
Cc1c(NC2CC2)nc(nc1N3CCCCCC3)C4CC4	CHEMBL205654	pKd=7.0
O=C(OCCN1CCCC1)N2c3ccccc3Sc4ccccc24	CHEMBL481153	pKi=7.0
OC1(C(=O)N[C@H]2CN3CCC2CC3)c4ccccc4c5ccccc15	CHEMBL3401645	pIC50=7.0
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(Cl)cc2)(c3ccc(Cl)cc3)c4ccc(Cl)cc4)C(=O)N5CCC[C@@H]5C(=O)NC[C@@H]6CCCNC6	CHEMBL215894	pKi=7.0
[Cl-].C[N+](C)(C)CCOC(=O)N	CHEMBL14	pKi=7.0
C1CN2CCC1C(=C3c4ccccc4c5ccccc35)C2	CHEMBL273586	pKi=7.01
CCC(C1=C(CCN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL354678	pKi=7.01
CCN(CC)CCOCCOC(=O)C1(CCCC1)c2ccc(Cl)cc2	CHEMBL72219	pKi=7.01
Fc1cccc(c1)N(Cc2cc(F)c(F)c(F)c2)C(=O)O[C@H]3CN4CCC3CC4	CHEMBL1779046	pIC50=7.01
