C(C1=NCCN1)C1=CC=CC2=CC=CC=C12	naphazoline	pKi=7.67999983	pKi=7.67999983	pKi=7.67999983
CNC[C@H](O)C1=CC=C(O)C(O)=C1	epinephrine	pKi=6.55909092	pKi=6.55909092	pKi=6.55909092
NC(=N)N\N=C\c1c(Cl)cccc1Cl	guanabenz	pKi=7.82390874	pKi=7.82390874	pKi=7.82390874	pIC50=7.39
NC[C@H](O)c1ccc(O)c(O)c1	norepinephrine	pKi=7.18	pKi=7.18	pKi=7.18	pKi=7.18
[H]C1(CCCC2=CC=CC=C12)C1=NCCN1	tetryzoline
C[C@H](c1c[nH]cn1)c2cccc(C)c2C	dexmedetomidine	pEC50=8.82	pEC50=8.82	pEC50=8.82
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O	droxidopa
ClC1=CC=CC(Cl)=C1NC1=NCCN1	clonidine	pKi=8.42	pKi=8.42	pKi=8.42	pKi=8.06
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1	apraclonidine	pKi=8.54	pKi=8.54	pKi=8.54	pKi=8.54
CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1	lofexidine	pKi=8.36	pKi=8.36	pKi=8.36	pKi=8.36
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3	phentolamine	pKi=8.77	pKi=8.77	pKi=8.77	pKi=7.25
C(C1=NCCN1)C1=CC=CC=C1	tolazoline	pKi=6.64	pKi=6.64	pKi=6.64
ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	tizanidine
CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1	phenoxybenzamine	pIC50=6.28	pIC50=6.28	pIC50=6.28
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O	methyldopa
NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl	guanfacine	pEC50=7.1642	pEC50=7.1642	pEC50=7.1642	pKi=7.3
CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1	dipivefrine
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	brimonidine	pEC50=8.3872	pEC50=8.3872	pEC50=8.3872	pKi=8.17
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2	yohimbine	pKi=9.38	pKi=9.38	pKi=9.38	pEC50=8.07
CCOC(=O)[C@@](C)(N)CC1=CC(O)=C(O)C=C1	methyldopate
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	corbadrine
C(C1CN=CN1)C2=Cc3ccccc3CC2	CHEMBL407509	pKi=7.0
CCC1=C(C(C(=C(CCCCOC)N1)C(=O)NCCCN2CCC(CC2)(c3ccccc3)c4ccccc4)c5ccc(cc5)[N+](=O)[O-])C(=O)N	CHEMBL99864	pKi=7.0
CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34	pergolide	pKi=7.0
COc1ccc(CCCN2CCC(CCC(=O)c3cc(Cl)c(N)c4OCCOc34)CC2)cc1OC	CHEMBL69733	pKi=7.0
C[C@@H](Oc1ccccc1CC=C)C2=NCCN2	CHEMBL1276139	pKi=7.0
Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl	aripiprazole	pKi=7.0
Nc1nc(NCC2CCC(CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc4ccccc14	CHEMBL192266	pIC50=7.0
CCOc1ccccc1OC(C)C2=NCCN2	CHEMBL1956196	pKi=7.01
CCS(=O)(=O)Nc1cccc2C(CCc12)c3c[nH]cn3	CHEMBL111771	pKi=7.01
CN(C)c1nc(N[C@@H]2CC[C@@H](CC2)NC(=O)c3cccc(c3)[N+](=O)[O-])nc4ccccc14	CHEMBL181383	pIC50=7.01
COc1cc2OCC3C(CN4CCN(Cc5cc6ccccc6s5)CC4)ON=C3c2cc1OC	CHEMBL94435	pKi=7.01
C[C@H](Oc1ccccc1c2cccc(O)c2)C3=NCCN3	CHEMBL1278085	pKi=7.01
Nc1nc(NC[C@@H]2CC[C@@H](CNS(=O)(=O)c3cccc4ccccc34)CC2)nc5ccccc15	CHEMBL17645	pIC50=7.01
Brc1ccccc1OCC2=NCCN2	CHEMBL2431279	pKi=7.02
COc1cccc2[C@@H]3CN(CCN4C(=O)Nc5c(sc6cccnc56)C4=O)C[C@@H]3CCc12	CHEMBL40650	pKi=7.02
COc1ccccc1N2CCN(CCCCN3N=CC(=O)N(C)C3=O)CC2	CHEMBL2413154	pKi=7.02
Clc1cccc(Cl)c1Nc2ncc[nH]2	CHEMBL1022	pKi=7.02
O=C(OCCN1CCCC1)N2c3ccccc3Sc4ccccc24	CHEMBL481153	pKi=7.02
C1CN=C(N1)C(Oc2ccccc2)c3ccccc3	CHEMBL494885	pKi=7.03
CN1CCc2ccc3[C@@H](N)c4cccc5C[C@@H]1c2c3c45	CHEMBL27251	pKi=7.03
COc1cc2OC[C@H]3[C@H](CN4CCN(Cc5ccc6ccccc6c5)CC4)ON=C3c2cc1OC	CHEMBL92860	pKi=7.03
O=C(NCCN1CCCN(C[C@H]2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5	CHEMBL524153	pKi=7.03
CC(Nc1ccccc1c2ccccc2)C3=NCCN3	CHEMBL130884	pKi=7.04
C[C@H](Oc1ccccc1c2ccccc2)C3=NCCN3	CHEMBL396013	pKi=7.04
[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1	CHEMBL334255	pKi=7.04
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pIC50=7.05
COc1cc2NCC3C(CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL390718	pKi=7.06
COc1ccc2CC3(CCc2c1)CN=CN3	CHEMBL336970	pKi=7.06
CN(C)c1nc(NCC2CCC(CNS(=O)(=O)C)CC2)nc3ccccc13	CHEMBL195123	pIC50=7.07
CN(c1cccc2C(CCCc12)c3c[nH]cn3)S(=O)(=O)C	CHEMBL111463	pKi=7.07
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=N1	mirtazapine	pIC50=7.07
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	CHEMBL3754166	pKi=7.08
CC(C)Oc1ccccc1OC(C)C2=NCCN2	CHEMBL14208	pKi=7.08
CC(Oc1ccccc1OC2CC2)C3=NCCN3	CHEMBL1956197	pKi=7.08
COc1ccccc1N2CCN(CCN3C(=O)Nc4scc(c5cccc(C)c5)c4C3=O)CC2	CHEMBL13856	pKi=7.08
CCCCOc1ncccc1C(=O)NCCN2CCCN(CC3COc4ccccc4O3)CC2	CHEMBL514837	pKi=7.09
C[C@@H](Oc1ccccc1c2cccc(c2)[N+](=O)[O-])C3=NCCN3	CHEMBL242693	pKi=7.09
