NC1=CC(F)=CC=C1NC(=O)C1=CC=C(CNC(=O)\C=C\C2=CC=CN=C2)C=C1	chidamide	pIC50=6.79587984	pIC50=6.79587984	pIC50=6.79587984
[H][C@]12CC(=O)N[C@]([H])(C(C)C)C(=O)N[C@]([H])(CSSCC\C=C\1)C(=O)N\C(=C/C)C(=O)N[C@@]([H])(C(C)C)C(=O)O2	romidepsin	pIC50=7.33
ONC(=O)CCCCCCC(=O)Nc1ccccc1	vorinostat	pKi=8.8	pKi=8.8	pKi=8.8	pIC50=6.04
CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1	panobinostat	pKi=9.19	pKi=9.19	pKi=9.19	pIC50=7.89
ONC(=O)C=CC1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC=C1	belinostat	pKi=9.07	pKi=9.07	pKi=9.07	pKi=7.66
CCCCCCCC(=O)SCC\C=C\[C@@H]1CC(=O)NCc2nc(cs2)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)O1	CHEMBL1173445	pIC50=6.0
Nc1ccc(cc1NC(=O)c2ccc(CNC(=O)OCc3cc(CN=[N+]=[N-])cc(c3)N=[N+]=[N-])cc2)c4cccs4	CHEMBL2057822	pIC50=6.0
Nc1ccc(cc1NC(=O)c2ccc(CNC(=O)OCc3cccc(c3)N=[N+]=[N-])cc2)c4ccccc4	CHEMBL2057820	pIC50=6.0
Nc1ccc2[nH]c(cc2c1)C(=O)NCc3ccc(cc3)C(=O)Nc4ccccc4N	CHEMBL3673110	pIC50=6.0
Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2	CHEMBL27759	pIC50=6.0
Nc1ccccc1NC(=O)c2ccc(CNC(=O)c3cc4cc(ccc4[nH]3)C(F)(F)F)cc2	CHEMBL3673108	pIC50=6.0
ONC(=O)CCCCCCC(=O)Nc1cnn(Cc2cc(CN=[N+]=[N-])cc(c2)N=[N+]=[N-])c1	CHEMBL1914708	pIC50=6.0
