CC(C)Nc1cc(COc2cccc(F)c2)nc(n1)c3ccccn3	CHEMBL3741045	pIC50=7.0
CCOC(CC(=O)O)c1ccc(OCc2cccc(OCOC)c2)cc1	CHEMBL3604043	pEC50=7.0
COc1cc(COc2ccc(CCC(=O)O)c(F)c2)cc(c1)c3c(C)cccc3C	CHEMBL2048612	pKi=7.0
CCOC(CC(=O)O)c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1Cl	CHEMBL3604038	pEC50=7.01
COc1ccc(F)c(c1)c2ccc(COc3ccc4CCC[C@]5(C[C@H]5C(=O)O)c4c3F)cc2[C@@H]6CCCC6(C)C	CHEMBL2385463	pEC50=7.01
Cc1ccc(COc2ccc(cc2)[C@H](CC(=O)O)c3nccn3C)cc1c4ccc(Cl)cc4C	CHEMBL3753188	pEC50=7.01
CCCOc1cc(COc2ccc(CCC(=O)O)c(F)c2)cc(c1)c3c(C)onc3C	CHEMBL3798213	pEC50=7.02
CS(=O)(=O)CCCOc1ccc(c(Cl)c1)c2cccc(c2)[C@@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381299	pEC50=7.02
Cc1nc(sc1COc2ccc3C(CC(=O)O)COc3c2)c4ccc(cc4)C(F)(F)F	CHEMBL3780211	pEC50=7.02
COc1cc(c(F)cn1)c2ccc(COc3cccc([C@@H](CC(=O)O)C4CC4)c3F)cc2[C@@H]5CCCC5(C)C	CHEMBL3264814	pEC50=7.03
Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2cccc(COc3ccc(OCC(=O)O)c(Cl)c3)c2	CHEMBL3353741	pEC50=7.03
COc1ccc(F)c(c1)c2ccc(COc3ccc4CCC[C@]5(C[C@H]5C(=O)O)c4c3)cc2[C@@H]6CCCC6(C)C	CHEMBL2385462	pEC50=7.04
Cc1onc(C)c1c2cc(COc3ccc(CCC(=O)O)c(F)c3)cc(OCC4CC4)c2	CHEMBL3798609	pEC50=7.04
CCCCOc1cc(COc2ccc(CCC(=O)O)c(F)c2)cc(c1)c3c(C)onc3C	CHEMBL3799443	pEC50=7.05
CCOC(CC(=O)O)c1ccc(OCc2cccc(OC)c2)cc1	CHEMBL3604042	pEC50=7.05
COc1ccc(F)c(c1)c2ccc(COc3cccc(c3)[C@@H](CC(=O)O)C4CC4)cc2CC(C)(C)C	CHEMBL3264813	pEC50=7.06
Cc1ccc(C)c(c1)c2cccc(c2)C3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381315	pEC50=7.06
Cc1nc(sc1COc2ccc3C(CC(=O)O)COc3c2)c4ccc(Cl)cc4	CHEMBL3781162	pEC50=7.07
OC(=O)CCc1ccc(cc1F)C#Cc2ccccc2CC#N	CHEMBL2386353	pKi=7.07
CC(=C(C)C#Cc1ccc(CCC(=O)O)cc1)C	CHEMBL3786972	pEC50=7.08
CCO[C@@H](CC(=O)O)c1ccc(OC2Cc3ccccc3C2)cc1	CHEMBL3427707	pEC50=7.08
Cc1cc(OC2CCS(=O)(=O)CC2)cc(C)c1c3cccc(COc4ccc5C(CC(=O)O)COc5c4)c3	CHEMBL2047154	pKi=7.08
Cc1cc(OCCCS(=O)(=O)C)c(F)c(C)c1c2cccc(c2)[C@@H]3COc4cc5[C@H](CC(=O)O)COc5cc4O3	CHEMBL2381297	pEC50=7.08
CC(=C)C#Cc1ccc(CCC(=O)O)c(F)c1	CHEMBL3787463	pEC50=7.09
COc1ccc(F)c(c1)c2ccc(COc3ccc4CC[C@]5(C[C@H]5C(=O)O)c4c3)cc2[C@@H]6CCCC6(C)C	CHEMBL2385460	pEC50=7.09
Cc1cccc(C)c1c2cccc(COc3ccc(CCC(=O)O)c(C)n3)c2	CHEMBL3288352	pEC50=7.09
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(c2)c3ccc(cc3)C(F)(F)F)cc1	CHEMBL1829173	pEC50=7.1
CC(C)Oc1cc(COc2ccc(CCC(=O)O)c(F)c2)cc(c1)c3c(C)onc3C	CHEMBL3797784	pEC50=7.1
CC1(COc2cc(COc3ccc(F)c(F)c3F)nc(n2)c4ccccn4)COC1	CHEMBL3740598	pIC50=7.1
COc1ccc(F)c(c1)c2ccc(COc3cccc(c3)[C@@H](CC(=O)O)C4CC4)cc2[C@@H]5CCCC5(C)C	CHEMBL3264816	pEC50=7.12
Cc1ccc(cc1)c2nc(C)c(COc3ccc4C(CC(=O)O)COc4c3)s2	CHEMBL3780334	pEC50=7.13
OC(=O)C[C@@H]1COc2cc3OC(COc3cc12)c4cccc(c4)c5ccc(F)cc5Cl	CHEMBL2381317	pEC50=7.13
OC(=O)C[C@@H]1COc2cc3OC(COc3cc12)c4cccc(c4)c5ccccc5C(F)(F)F	CHEMBL2381280	pEC50=7.13
Cc1nc(sc1COc2ccc(cc2)[C@H](CC(=O)O)c3nccn3C)c4ccc(cc4)C(F)(F)F	CHEMBL3286409	pEC50=7.14
OC(=O)C[C@@H]1COc2cc3OC(COc3cc12)c4cccc(c4)c5ccccc5F	CHEMBL2381318	pEC50=7.14
Cc1cccc(C)c1c2cccc(COc3ccc(CCC(=O)O)nc3)c2	CHEMBL3288345	pEC50=7.15
CCO[C@@H](CC(=O)O)c1ccc(O[C@H]2CCc3ccccc23)cc1	CHEMBL3427706	pEC50=7.16
CCOc1cc(COc2ccc(CCC(=O)O)c(F)c2)cc(c1)c3c(C)onc3C	CHEMBL3797383	pEC50=7.16
Cc1cc(Oc2ncc(cc2Cl)C(F)(F)F)ccc1CC3SC(=O)NC3=O	CHEMBL604126	pKi=7.16
Cc1nc(sc1COc2ccc(cc2)[C@H](CC(=O)O)c3occn3)c4ccc(cc4)C(F)(F)F	CHEMBL3287575	pEC50=7.16
Cc1nc(sc1COc2ccc3C(CC(=O)O)COc3c2)c4ccsc4	CHEMBL3780232	pEC50=7.16
Cn1ccnc1[C@@H](CC(=O)O)c2ccc(OCc3cccc(c3)c4ccc(Cl)cc4Cl)cc2	CHEMBL3752487	pEC50=7.16
OC(=O)CCc1ccc(cc1)C#Cc2ccccc2CC#N	CHEMBL2315528	pEC50=7.16
COc1cc(c(F)cn1)c2ccc(COc3cccc(c3)[C@@H](CC(=O)O)C4CC4)cc2[C@@H]5CCCC5(C)C	CHEMBL3264815	pEC50=7.17
