CCN(CCN(C)C)C(=O)CNCc1cc(ccn1)C(=O)O	CHEMBL3787669	pIC50=6.0
O=C1NC=Nc2c1ccnc2c3cscn3	CHEMBL3775636	pIC50=6.08
O=C1NC=Nc2c(CNCc3occc3)nccc12	CHEMBL3774765	pIC50=6.14
CC(=O)N1CC(C1)n2cc(nn2)c3cc(ccn3)C(=O)O	CHEMBL3621865	pIC50=6.2
OC(=O)c1ccnc(c1)c2ccccn2	CHEMBL3621852	pIC50=6.2
OC(=O)c1ccnc(c1)C(=O)O	CHEMBL316034	pIC50=6.3
NNC(=O)CCC(=O)O	CHEMBL2164246	pIC50=6.32
O=C1NC=Nc2c(CNCc3ccccc3)nccc12	CHEMBL3775615	pIC50=6.36
CN(C)CCc1cnn(c1)c2nccc3C(=O)NC=Nc23	CHEMBL3775454	pIC50=6.47
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCCCC4)cn3	CHEMBL3775500	pIC50=6.47
Nc1nc(cs1)c2nccc3C(=O)NC=Nc23	CHEMBL3774798	pIC50=6.48
CCN(CCN(C)C)C(=O)CNCc1cc(CNC(=O)C(F)(F)F)ccn1	CHEMBL3786409	pIC50=6.6
Oc1cc(OC2=Nc3cnccc3C(=O)N2)ccc1Cl	CHEMBL3770740	pIC50=6.7
N[C@@H]1C[C@H]1c2ccc(NC(=O)c3ccnc(c3)c4cc(ccn4)C(=O)O)cc2.OC(=O)C(F)(F)F	CHEMBL3108958	pIC50=6.72
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCCC4)cn3	CHEMBL3774710	pIC50=6.82
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(CC4)c5ccccc5)cn3	CHEMBL3774457	pIC50=6.85
CN(CCc1cnn(c1)c2nccc3C(=O)NC=Nc23)Cc4ccc(cc4)S(=O)(=O)C	CHEMBL3774701	pIC50=6.87
CC(C)c1ccc(OC2=Nc3cnccc3C(=O)N2)cn1	CHEMBL3769511	pIC50=6.9
Cc1ccsc1CNc2cnccc2C(=O)O	CHEMBL3775889	pIC50=6.9
Fc1cc(F)cc(c1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2	CHEMBL3774456	pIC50=6.9
