CC1=C(CS(=O)C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F	lansoprazole	pIC50=6.36000013	pIC50=6.36000013	pIC50=6.36000013	pIC50=6.36
O=C1N(Sc2ccccc12)c3ccccc3	CHEMBL45152	pIC50=6.03
COC(=O)c1cccc(c1)N2Sc3ccccc3C2=O	CHEMBL1369613	pIC50=6.08
Clc1ccc(cc1)N2Sc3c(ccc4C(=O)c5ccccc5C(=O)c34)C2=O	CHEMBL1704299	pIC50=6.09
OC(=O)c1ccccc1NS(=O)(=O)c2cccc(c2)N3Sc4ccccc4C3=O	CHEMBL1333250	pIC50=6.09
Fc1ccc2C(=O)N(Sc2c1)c3ccccc3	CHEMBL1703200	pIC50=6.1
Fc1ccc2SN(C(=O)c2c1)c3ccccc3	CHEMBL1406130	pIC50=6.1
CCN(CC)CCOC(=O)c1ccc(cc1)N2Sc3ccccc3C2=O	CHEMBL1709105	pIC50=6.12
[O-][N+](=O)c1cc(OCC(F)(F)F)c2C(=O)N(Sc2c1)c3ccc(F)cc3	CHEMBL1712661	pIC50=6.24
CCN(CC)S(=O)(=O)c1cccc(c1)N2Sc3ccccc3C2=O	CHEMBL1713178	pIC50=6.25
Fc1ccc2C(=O)N(Sc2c1)c3cc(Cl)c(Cl)cc3Cl	CHEMBL1722737	pIC50=6.25
Cc1c(Cl)cccc1N2Sc3cc(cc(OCC(F)(F)F)c3C2=O)[N+](=O)[O-]	CHEMBL1726776	pIC50=6.26
O=C1N(Sc2ccccc12)c3ccc(cc3)S(=O)(=O)N4CCOCC4	CHEMBL1728593	pIC50=6.26
Fc1ccc2C(=O)N(Sc2c1)c3ccc(Cl)cc3Cl	CHEMBL1734915	pIC50=6.27
CN(C)S(=O)(=O)c1cccc(c1)N2Sc3ccccc3C2=O	CHEMBL1339149	pIC50=6.3
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)N=[N+]=[N-])c3ccccc3	CHEMBL1731467	pIC50=6.3
O=C1N(Sc2ccccc12)c3ccc(cc3)S(=O)(=O)N4CCCC4	CHEMBL1392315	pIC50=6.31
Fc1ccc2C(=O)N(Sc2c1)c3cc(Cl)ccc3Cl	CHEMBL1733472	pIC50=6.42
Fc1ccc2C(=O)N(Sc2c1)c3cccc(Cl)c3Cl	CHEMBL1705022	pIC50=6.45
[O-][N+](=O)c1ccc2C(=O)N(Sc2c1)c3cc(ccc3Cl)C(F)(F)F	CHEMBL1727796	pIC50=6.6
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccc(OC(F)(F)Cl)cc3	CHEMBL1717022	pIC50=6.63
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccc(F)c(Cl)c3	CHEMBL1725457	pIC50=6.72
CN(C)C(=O)c1cccc(c1)N2Sc3ccccc3C2=O	CHEMBL1570441	pIC50=6.85
O=C1N([Se]c2ccccc12)c3ccccc3	CHEMBL51085	pIC50=6.96
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccc(F)cc3	CHEMBL1714665	pIC50=7.0
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccc(Br)cc3	CHEMBL1606007	pIC50=7.14
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3cccc(F)c3	CHEMBL1724427	pIC50=7.46
[O-][N+](=O)c1cc2SN(C(=O)c2c(c1)[N+](=O)[O-])c3ccccc3F	CHEMBL1732623	pIC50=7.63
