CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34	apomorphine	pKi=7.0999999	pKi=7.0999999	pKi=7.0999999
OCCN1CCN(CC\C=C/2\c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	flupentixol	pKi=8.10000038	pKi=8.10000038	pKi=8.10000038
CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1	cabergoline	pKi=7.69999981	pKi=7.69999981	pKi=7.69999981
CN(C)CC\C=C1\C2=CC=CC=C2SC2=C1C=C(Cl)C=C2	chlorprothixene	pKi=8.05	pKi=8.05	pKi=8.05	pKi=8.05
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC	lisuride	pKi=8.5	pKi=8.5	pKi=8.5
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.0
CN1CCCc2ccccc2Cc3ccc(O)cc3CCC1	CHEMBL389559	pKi=7.02
CN1CCCc2c(Cc3ccccc3CC1)[nH]c4ccccc24	CHEMBL216439	pKi=7.04
CN1CCc2ccccc2Cc3[nH]c4ccccc4c3C[C@H]1CO	CHEMBL1949729	pKi=7.04
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c(cccc34)C#N	CHEMBL604127	pKi=7.05
FC(F)(F)c1cccc(c1)N2CCN(CCCCN3Cc4ccccc4C3=O)CC2	CHEMBL240996	pKi=7.09
CN1CCc2ccccc2Cc3ccsc3CC1	CHEMBL201093	pKi=7.1
O=C1N(CCCCN2CCN(CC2)c3ccccc3)Cc4ccccc14	CHEMBL240774	pKi=7.1
COc1ccccc1N2CCN(CCCCN3Cc4ccccc4C3=O)CC2	CHEMBL393492	pKi=7.12
COc1ccc2CCN(C)CCCc3ccccc3Cc2c1	CHEMBL231374	pKi=7.13
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4Cl)c5ccccc25	CHEMBL212912	pKi=7.14
CN1CCCc2ccccc2Cc3cc(O)ccc3CC1	CHEMBL394779	pKi=7.16
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(C)cccc4N)c5ccccc25	CHEMBL213424	pKi=7.24
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3	haloperidol	pKi=7.24
COc1ccc2Cc3ccccc3CCN(C)CCCc2c1	CHEMBL389357	pKi=7.26
COc1ccc2Cc3ccccc3CCN(C)CCc2c1	CHEMBL380330	pKi=7.27
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(N)cccc4Cl)c5ccccc25	CHEMBL378669	pKi=7.28
COc1ccc2Cc3ccccc3CCCN(C)CCCc2c1	CHEMBL231171	pKi=7.28
C(CN1CCCCC1)Oc2ccccc2Cc3ccccc3	CHEMBL364565	pKi=7.37
CN1CCc2ccccc2Cc3cc(O)ccc3CC1	CHEMBL382010	pKi=7.37
Oc1ccc2C3Cc4ccccc4CN3CCc2c1	CHEMBL593897	pKi=7.39
COc1cccc(OC)c1C(=O)NN2c3ccc(Cl)cc3N=C(N4CCN(C)CC4)c5ccccc25	CHEMBL425069	pKi=7.42
Clc1ccc(cc1)N2CCN(CCCCN3Cc4ccccc4C3=O)CC2	CHEMBL240995	pKi=7.47
COc1ccc2Cc3[nH]c4ccccc4c3CCN(C)CCc2c1	CHEMBL396561	pKi=7.5
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(C)cccc4C)c5ccccc25	CHEMBL213336	pKi=7.51
CN1CCc2cc(Cl)c(O)cc2[C@@H]3[C@@H]1CCc4c3cccc4N5CCCC5=O	CHEMBL598949	pKi=7.57
CO\N=C\c1cccc2[C@H]3[C@H](CCc12)N(C)CCc4cc(Cl)c(O)cc34	CHEMBL599134	pKi=7.66
