CCOC(=O)C1=CC=C(N)C=C1	benzocaine
CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=C1C=CC=C2	indecainide
OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1	fosphenytoin
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC	cinchocaine
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	lidocaine	pKd=4.80000019	pKd=4.80000019	pKd=4.80000019
CCN1C(=O)NC(C1=O)C1=CC=CC=C1	ethotoin
NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1	phenazopyridine
CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1	mephenytoin
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	rufinamide
NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1	lamotrigine	pIC50=4.21	pIC50=4.21	pIC50=4.21
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C	tetracaine	pIC50=6.28	pIC50=6.28	pIC50=6.28	pIC50=6.19
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	ropivacaine
NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2	riluzole
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	phenytoin
NC(=O)N1C2=CC=CC=C2C(=O)CC2=C1C=CC=C2	oxcarbazepine
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pIC50=4.8861	pIC50=4.8861	pIC50=4.8861
CCOC(=O)NC1=CC=C2SC3=CC=CC=C3N(C(=O)CCN3CCOCC3)C2=C1	moracizine
CC(N)COC1=C(C)C=CC=C1C	mexiletine	pIC50=4.53	pIC50=4.53	pIC50=4.53
[H]C1(CCCCN1C)C(=O)NC1=C(C)C=CC=C1C	mepivacaine
CCCN(CC)C(CC)C(=O)NC1=C(C)C=CC=C1C	etidocaine
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C	disopyramide
NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2	carbamazepine
[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=CC=NC2=CC=C(OC)C=C12	quinidine	pIC50=5.16	pIC50=5.16	pIC50=5.16
CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2	propafenone	pIC50=5.48	pIC50=5.48	pIC50=5.48	pIC50=5.48
FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2	flecainide	pIC50=5.19	pIC50=5.19	pIC50=5.19	pIC50=5.19
COC1=C(OCC(O)CN2CCN(CC(=O)NC3=C(C)C=CC=C3C)CC2)C=CC=C1	ranolazine
CC(=O)O[C@H]1CC2=C(C=CC=C2)N(C(N)=O)C2=CC=CC=C12	eslicarbazepine acetate
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1	procainamide
CC(N)C(=O)NC1=C(C)C=CC=C1C	tocainide
CC(O)c1ccc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCCOCC(F)(F)F)nc4	CHEMBL2069414	pIC50=5.0
CC1(CCCN(C1)C(=O)NCc2ccc(cc2)c3cccc(Cl)c3)c4ccccc4	CHEMBL1080975	pIC50=5.0
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc9ccc(O)cc9)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc%10ccccc%10)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]%11CCCN%11C1=O)C(C)C	CHEMBL3800248	pIC50=5.0
COc1cccc(OCC(O)CN2CCC(CC2)N3Cc4ccccc4C3=O)c1	CHEMBL3634335	pIC50=5.0
COc1cnc(cn1)c2cccc(F)c2C(F)(F)CNC(=O)c3ccc(COCC(F)(F)F)nc3	CHEMBL2147317	pIC50=5.0
COc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(COCC(F)(F)F)nc4	CHEMBL2069423	pIC50=5.0
Fc1cc(Cl)ccc1c2cccc3cc(ccc23)S(=O)(=O)Nc4ncns4	CHEMBL3682646	pIC50=5.0
O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4oc5ccccc5n4	CHEMBL552402	pIC50=5.0
FC(F)(F)Oc1ccc(CNC(=O)C2N(CCOc3ccccn3)C(=O)c4ccccc24)cc1	CHEMBL2164358	pIC50=5.01
Cc1cc(Cl)ccc1c2cccc3cc(ccc23)S(=O)(=O)Nc4ncns4	CHEMBL3682644	pIC50=5.02
C(C[C@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4cccs4	CHEMBL2443278	pIC50=5.05
CCCC\N=C(\N)/NC(=O)c1ccc(C)cc1	CHEMBL432963	pIC50=5.05
CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(C)CC4	CHEMBL481008	pIC50=5.05
CNC(=O)c1ccc(c(N)n1)c2cc(Cl)cc(Cl)c2Cl	CHEMBL3589894	pIC50=5.05
C\N=C(/NCCCCc1ccccc1)\NC(=O)c2ccc(C)cc2	CHEMBL322055	pIC50=5.05
