CC1=C(OC2=C(C=CC=C2C1=O)C(=O)OCCN1CCCCC1)C1=CC=CC=C1	flavoxate
OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO	dipyridamole	pIC50=4.3	pIC50=4.3	pIC50=4.3
Nc1nc(nc2c1nnn2CC3CCOCC3)C4CC4	CHEMBL2070602	pIC50=6.03
Nc1nc(CO)nc2c1nnn2CC3CCCCO3	CHEMBL2070904	pIC50=6.11
CC[C@@H]1C[C@H](CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NC[C@@H]4CCCO4	CHEMBL1780108	pIC50=6.15
CN(C)CCNc1nc(nc2c1nnn2CC3CCCCO3)C(F)(F)F	CHEMBL2070590	pIC50=6.15
CC[C@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NC[C@H]4CCCO4	CHEMBL1780117	pIC50=6.17
Cn1cc(CCn2nnc3c(N)nc(nc23)C4CC4)cn1	CHEMBL2070915	pIC50=6.26
Cc1oc(nc1CN2CCCC(C2)C(=O)NCC3CCOCC3)c4ccccc4	CHEMBL1780099	pIC50=6.29
Nc1nc(Cn2ccnc2)nc3c1nnn3CC4CCCCO4	CHEMBL2070905	pIC50=6.29
CCCCN1CC(Cn2nnc3c(N)nc(nc23)C4CC4)OCC1=O	CHEMBL2070930	pIC50=6.34
Cc1ccn2cc(Cn3nnc4c(N)nc(nc34)C5CC5)nc2n1	CHEMBL2070928	pIC50=6.34
Cc1onc(c1)c2nc(N)c3nnn(CC4CCCCO4)c3n2	CHEMBL2070908	pIC50=6.41
Cc1cccc(CNC(=O)C2(F)CN(Cc3nc(oc3C)c4ccccc4)Cc5ccccc25)n1	CHEMBL1779977	pIC50=6.43
Nc1nc(nc2c1nnn2CC3CCCCO3)c4cccnc4	CHEMBL2070772	pIC50=6.48
Nc1nc(CC2CC2)nc3c1nnn3CC4CCCCO4	CHEMBL2070896	pIC50=6.5
COCc1nc(N)c2nnn(C[C@H]3CCCO3)c2n1	CHEMBL2070913	pIC50=6.55
Cc1oc(nc1CN2CCC[C@H](C2)C(=O)NC[C@@H]3CCCO3)c4ccccc4	CHEMBL1780115	pIC50=6.55
COc1ccc(Cn2nnc3c(N)nc(nc23)C(=O)N)cc1	CHEMBL2070767	pIC50=6.6
Nc1nc(Cc2ccsc2)nc3c1nnn3CC4CCCCO4	CHEMBL2070895	pIC50=6.6
Nc1nc(nc2c1nnn2CC3CCCCO3)C4CCCO4	CHEMBL2070911	pIC50=6.6
Nc1nc(nc2c1nnn2CC3CCCCO3)C4CCC4	CHEMBL2070774	pIC50=6.61
Nc1nc(nc2c1nnn2CC3CCCCO3)C4CCCCC4	CHEMBL2070599	pIC50=6.61
Cc1cccc(CNC(=O)C2CCCN(Cc3nc(oc3C)c4ccccc4)C2)n1	CHEMBL1779978	pIC50=6.62
CCCCc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070897	pIC50=6.64
Nc1nc(nc2c1nnn2CC3(CCOCC3)c4ccccc4)C5CC5	CHEMBL2070931	pIC50=6.65
Nc1nc(nc2c1nnn2C[C@@H]3CCN(Cc4nccs4)C3)C5CC5	CHEMBL2070610	pIC50=6.69
CC(C)Cc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070900	pIC50=6.73
Nc1nc(CC#N)nc2c1nnn2CC3CCCCO3	CHEMBL2070909	pIC50=6.74
CSCc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070902	pIC50=6.75
CC[C@@H]1C[C@H](CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NCC4CCOCC4	CHEMBL1780112	pIC50=6.78
Cc1oc(nc1CN2CCC[C@H](C2)C(=O)NC[C@H]3CCCO3)c4ccccc4	CHEMBL1780092	pIC50=6.78
Nc1nc(nc2c1nnn2CC3CCCCO3)c4ccccc4	CHEMBL2070598	pIC50=6.8
Nc1nc(nc2c1nnn2CC3CCCOC3)C4CC4	CHEMBL2070601	pIC50=6.82
CC(C)n1cc(Cn2nnc3c(N)nc(nc23)C4CC4)cn1	CHEMBL2070605	pIC50=6.87
Nc1nc(nc2c1nnn2CCSCc3occc3)C4CC4	CHEMBL2070924	pIC50=6.87
CC(=O)OCc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070903	pIC50=6.9
CCNC(=O)O[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1779991	pIC50=6.92
CCc1nc(Cn2nnc3c(N)nc(nc23)C4CC4)cs1	CHEMBL2070606	pIC50=7.03
CCc1cnc(nc1)N2CC[C@@H](Cn3nnc4c(N)nc(nc34)C5CC5)C2	CHEMBL2070609	pIC50=7.04
COCc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070596	pIC50=7.04
COc1ccc(Cn2nnc3c(N)nc(nc23)C#N)cc1	CHEMBL2070766	pIC50=7.04
CC(C)c1nc(NC(CN2CCCCC2)c3ccccc3)c4nnn(Cc5ccccc5)c4n1	CHEMBL2070589	pIC50=7.05
Nc1nc(Cc2cccs2)nc3c1nnn3CC4CCCCO4	CHEMBL2070775	pIC50=7.06
Nc1nc(nc2c1nnn2CC3CCCCO3)c4occc4	CHEMBL2070771	pIC50=7.07
Nc1nc(nc2c1nnn2Cc3ccc(Cl)cc3)C4CC4	CHEMBL2070603	pIC50=7.07
CC(C)S(=O)(=O)Cc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070597	pIC50=7.08
Cc1ncsc1CCn2nnc3c(N)nc(nc23)C4CC4	CHEMBL2070918	pIC50=7.1
Nc1nc(CC(=O)O)nc2c1nnn2CC3CCCCO3	CHEMBL2070906	pIC50=7.11
Nc1nc(nc2c1nnn2Cc3ccc(cc3)C(F)(F)F)C4CC4	CHEMBL2070929	pIC50=7.11
C[C@@H](C1CCCCC1)n2nnc3c(N)nc(nc23)C4CC4	CHEMBL2070923	pIC50=7.13
CC(C)CCc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070898	pIC50=7.14
COC(=O)Cc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070770	pIC50=7.15
Cc1oc(nn1)[C@@H]2C[C@H](CN(Cc3nc(oc3C)c4ccccc4)C2)C(=O)NCc5cccc(C)n5	CHEMBL1780093	pIC50=7.18
Cc1oc(nn1)[C@H]2C[C@@H](CN(Cc3nc(oc3C)c4ccccc4)C2)C(=O)NCc5cccc(C)n5	CHEMBL1780101	pIC50=7.18
COC[C@@H]1C[C@H](CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NC[C@H]4CCCO4	CHEMBL1780088	pIC50=7.19
Nc1nc(Cc2ccccc2)nc3c1nnn3CC4CCCCO4	CHEMBL2070899	pIC50=7.21
Cc1oc(nc1CN2CCC[C@H](C2)C(=O)NCc3cccc(N)n3)c4ccccc4	CHEMBL1780091	pIC50=7.24
Nc1nc(nc2c1nnn2Cc3nnc([nH]3)c4ccccc4)C5CC5	CHEMBL2070917	pIC50=7.26
Cc1cccn2cc(Cn3nnc4c(N)nc(nc34)C5CC5)nc12	CHEMBL2070934	pIC50=7.27
Nc1nc(nc2c1nnn2Cc3cnn(n3)c4ccccc4)C5CC5	CHEMBL2070921	pIC50=7.28
CC(Cc1cccc(C)n1)n2nnc3c(N)nc(nc23)C4CC4	CHEMBL2070926	pIC50=7.32
Cc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070594	pIC50=7.35
COC[C@@H]1C[C@H](CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NCC4CCOCC4	CHEMBL1780118	pIC50=7.36
Nc1nc(nc2c1nnn2CC3=Nc4ccccc4C(=O)N3)C5CC5	CHEMBL2070922	pIC50=7.36
COCC1CC(CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NC[C@H]4CCCO4	CHEMBL1777837	pIC50=7.37
Nc1nc(nc2c1nnn2CC3CN(Cc4ccccc4)CCO3)C5CC5	CHEMBL2070731	pIC50=7.39
C[C@@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4	CHEMBL1779983	pIC50=7.4
CCCc1nc(N)c2nnn(CC3CCCCO3)c2n1	CHEMBL2070768	pIC50=7.41
