C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O	alitretinoin	pEC50=7.13	pEC50=7.13	pEC50=7.13	pEC50=7.3
C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C	tretinoin	pEC50=6.7	pEC50=6.7	pEC50=6.7	pEC50=7.3
CCOC(=O)C1=CN=C(C=C1)C#CC1=CC=C2SCCC(C)(C)C2=C1	tazarotene	pEC50=7.4	pEC50=7.4	pEC50=7.4	pEC50=7.4
COC1=CC=C(C=C1C12CC3CC(CC(C3)C1)C2)C1=CC=C2C=C(C=CC2=C1)C(O)=O	adapalene	pKi=6.89	pKi=6.89	pKi=6.89
COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1	acitretin
CC1(C)CCC(C)(C)c2cc(ccc12)c3ccccc3c4ccc(cc4)C(=O)O	CHEMBL89253	pEC50=7.0
CC1(C)CC=C(c2ccc(O)cc2)c3cc(ccc13)C#Cc4ccc(cc4)C(=O)O	CHEMBL152740	pKd=7.01
CC1(C)CCC(C)(C)c2cc(ccc12)\C(=N\N)\c3ccc4cc(ccc4c3)C(=O)O	CHEMBL82609	pKd=7.02
COc1ccc(cc1C23CC4CC(CC(C4)C2)C3)\C(=C\c5ccc(cc5)C(=O)O)\C	CHEMBL146449	pKi=7.02
CC(C)(C)c1ccc(cc1)C2=CCC(C)(C)c3ccc(cc23)C#Cc4ccc(cc4)C(=O)O	CHEMBL423954	pKd=7.03
CC1(C)CCC(C)(C)c2cc(ccc12)C#Cc3ccc(cc3)C4=NOC(=O)N4	CHEMBL468608	pEC50=7.04
C\C(=C/c1ccc(cc1)C(=O)O)\c2cc3c(cc2Br)C(C)(C)CCC3(C)C	CHEMBL284167	pEC50=7.04
C\C(=C/c1ccc(cc1)C(=O)O)\c2ccc(O)c(c2)C(C)(C)C	CHEMBL348449	pKi=7.07
COC(=O)c1ccc(\C=C(/C)\c2ccc3SCCC(C)(C)c3c2)cc1	CHEMBL125587	pEC50=7.08
CC1(C)CC=C(c2ccc(F)cc2)c3cc(ccc13)C#Cc4ccc(cc4)C(=O)O	CHEMBL157272	pKd=7.09
C\C(=C/c1ccc(cc1)C(=O)O)\c2cc3c(cc2Cl)C(C)(C)CCC3(C)C	CHEMBL36464	pEC50=7.11
