[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate
O=C1N(C=C(C=C1C1=C(C=CC=C1)C#N)C1=CC=CC=N1)C1=CC=CC=C1	perampanel
CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1	ketamine
CC(C)S(=O)(=O)NC1Cc2ccc(cc2C1)c3ccsc3	CHEMBL1277272	pEC50=5.0
CC(C)S(=O)(=O)NCc1ccc(cc1)n2nc(c3CCCCc23)C(F)(F)F	CHEMBL1649678	pEC50=5.0
FC(F)(F)c1nn(c2CCCCc12)c3ccc(CN4CCCS4(=O)=O)cc3	CHEMBL1649680	pEC50=5.0
FC(F)(F)c1nn(c2CCCCc12)c3ccc(CNS(=O)(=O)C4CC4)cc3	CHEMBL1649679	pEC50=5.0
FC(F)(F)c1nn(c2CCCCc12)c3ccc(cc3)C(=O)N4CCCC4	CHEMBL1649659	pEC50=5.0
FC(F)(F)c1nn(c2CCOCc12)c3ccc(CN4CCCC4=O)cc3	CHEMBL1649681	pEC50=5.0
CCN(CC1=CC(=O)N2C(=N1)SC(=C2C3CC3)C)c4ccc(F)cc4	CHEMBL3799325	pEC50=5.01
CCN1CNS(=O)(=O)c2ncccc12	CHEMBL103741	pKd=5.01
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(CCc4ccccc4)ccc3c5nnn[nH]5	CHEMBL3085838	pKi=5.02
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(Cc4ccccc4)ccc3c5nnn[nH]5	CHEMBL3085837	pKi=5.02
CCN(CC1=CC(=O)N2C(=N1)SC(=C2C(=O)C)C)c3ccc(F)cc3	CHEMBL3798757	pEC50=5.03
NC(Cc1nonc1O)C(=O)O	CHEMBL1094129	pEC50=5.03
CCNC(=O)C1=C(C)SC2=NC(=CC(=O)N12)Cn3nc(cc3OCC)C(F)(F)F	CHEMBL3799759	pEC50=5.04
