NC(N)=N	guanidine
COC1=C(OC)C=C(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)C=C1	vernakalant	pIC50=4.87451887	pIC50=4.87451887	pIC50=4.87451887
NC1=CC=NC=C1	fampridine
NC1=CC=NC=C1N	amifampridine
CCCCOc1ccc(cc1)S(=O)(=O)NCCc2c[nH]c3ccccc23	CHEMBL2440392	pIC50=5.0
CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)CC)c2ccccc2	CHEMBL97793	pIC50=5.0
Clc1ccccc1OCCN2CCN(CC2)C(=O)c3cccs3	CHEMBL3262843	pIC50=5.01
Clc1ccc(cc1)S(=O)(=O)Nc2cccc3cccc(C(=O)NC4CCCCC4)c23	CHEMBL343456	pIC50=5.02
CC(C)(CNC(=O)c1cccnc1O)CN(C2=NS(=O)(=O)c3cc(F)ccc23)c4ccccc4	CHEMBL1289418	pIC50=5.04
COc1ccc(OCCN2CCN(CC(=O)Nc3nccs3)CC2)cc1	CHEMBL3262832	pIC50=5.04
NC(=O)[C@H](Cc1ccccc1)NC(=O)c2ccccc2c3ccccc3CNS(=O)(=O)c4cccc5ccccc45	CHEMBL358799	pIC50=5.04
O=C(CN1CCN(CCOc2ccc(cc2)C#N)CC1)Nc3ccccc3	CHEMBL3262817	pIC50=5.04
CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)c2cccc3cnccc23)c4ccccc4	CHEMBL433220	pIC50=5.05
Cc1ccc(OCCN2CCN(CC(=O)Nc3nccs3)CC2)cc1	CHEMBL3262827	pIC50=5.05
CS(=O)(=O)c1cccc(c1)S(=O)(=O)N(C[C@@H]2CCC(=O)N2)Cc3ccc(F)cc3	CHEMBL3127415	pIC50=5.06
Fc1ccc(CN(C[C@@H]2CCC(=O)N2)S(=O)(=O)c3ccccc3)cc1	CHEMBL3127409	pIC50=5.06
Fc1ccc(CN(C[C@H]2CCC(=O)N2)S(=O)(=O)c3cccc(c3)C#N)cc1	CHEMBL3127419	pIC50=5.06
Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)N(CCCn3ccnc3)Cc4ccccc4	CHEMBL98077	pIC50=5.07
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4cc(O)ccc14	CHEMBL3787069	pIC50=5.08
CCCCOc1ccc(cc1)S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)OC	CHEMBL2440404	pIC50=5.08
Fc1ccc(CN(C[C@@H]2CCC(=O)N2)S(=O)(=O)c3cc(Cl)cc(Cl)c3)cc1	CHEMBL3127412	pIC50=5.09
OC(C(N1CCNCC1)c2ccccc2)(c3cccnc3)c4cccnc4	CHEMBL1090159	pIC50=5.1
CC(=O)c1ccc(cc1)S(=O)(=O)NCc2ccccc2c3ccccc3C(=O)N[C@@H](Cc4ccccc4)C(=O)N	CHEMBL343464	pIC50=5.11
CC(C)CCNC(=O)c1cccnc1c2ccccc2CNC(=O)OCc3ccccc3	CHEMBL143727	pIC50=5.11
O=C1CCN(C1)[C@H]2CCCC[C@@H]2OCCc3cccc4ccccc34	CHEMBL375475	pIC50=5.11
CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4cc(NS(=O)(=O)C)ccc14	CHEMBL3787036	pIC50=5.12
Fc1ccc(CN(C[C@@H]2CCCC(=O)N2)S(=O)(=O)c3cccc(c3)C#N)cc1	CHEMBL3127396	pIC50=5.12
COCCOc1ccc(cc1)C2CN(NS(=O)(=O)C)C(=O)N2CCc3ccc(OC)cc3	CHEMBL571953	pIC50=5.13
CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3	CHEMBL94296	pIC50=5.14
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1	CHEMBL1294	pIC50=5.14
FC(F)(F)Oc1ccc(OCCN2CCN(CC(=O)Nc3ccccc3)CC2)cc1	CHEMBL3262815	pIC50=5.14
