Nc1ncnc2nc(cc(c3cccc(Br)c3)c12)c4ccc(nc4)N5CCC6(CC5)OCCO6	CHEMBL65665	pIC50=7.55
CNC(=O)Nc1ncnc2c1c(cn2[C@@H]3O[C@H](C)[C@@H](O)[C@H]3O)c4ccccc4	CHEMBL198972	pIC50=7.57
CN(C)c1cc(cnc1N2CCOCC2)C#Cc3ncnc(N)c3c4ccc5OCOc5c4	CHEMBL376844	pIC50=7.59
C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cc(c3ccc(F)cc3)c4c(Nc5ccc(F)cc5)ncnc24	CHEMBL100262	pIC50=7.59
Nc1ncnc2c1c(I)cn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O	CHEMBL99203	pIC50=7.59
CC(C)NC(=O)CNc1ncnc2c1c(cn2[C@@H]3O[C@H](C)[C@@H](O)[C@H]3O)c4ccccc4	CHEMBL425752	pIC50=7.6
COc1ccc(cc1OC)c2c(nc3ncnc(N)c3c2c4cc(Br)cs4)c5cccs5	CHEMBL150478	pIC50=7.6
C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cc(c3ccccc3)c4c(Nc5cccnc5)ncnc24	CHEMBL99536	pIC50=7.6
Cc1ccc(cc1)C#Cc2ncnc(N)c2c3ccc(Cl)cc3	CHEMBL390827	pIC50=7.6
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cc(I)c3c(Cl)ncnc23	CHEMBL328824	pIC50=7.62
Nc1ncnc2nc(cc(NCCc3c[nH]c4ccccc34)c12)c5ccc(nc5)N6CCOCC6	CHEMBL356339	pIC50=7.64
Nc1ncnc2nc(cc(c3cccc(Br)c3)c12)c4ccc(nn4)N5CCC(CCOC6CCOCC6)CC5	CHEMBL317711	pIC50=7.64
Brc1cccc(c1)c2[nH]nc3ncnc(C#Cc4ccc(nc4)N5CCOCC5)c23	CHEMBL183535	pIC50=7.66
CC(C)c1ccc(cc1)c2c(N)ncnc2C#Cc3ccc(cc3)N(C)C	CHEMBL225705	pIC50=7.66
Nc1ncnc(C#Cc2ccc(nc2)N3CCOCC3)c1Cc4cccc(Br)c4	CHEMBL120650	pIC50=7.66
CN(C)c1ccc(cc1)C#Cc2ncnc(N)c2c3ccccc3	CHEMBL216119	pIC50=7.7
CN(C)c1ccc(cc1)c2nc3ncnc(N)c3cc2c4ccc(Br)cc4	CHEMBL191161	pIC50=7.7
COc1ccc(cc1OC)c2c(N)ncnc2C#Cc3ccc(cc3)N(C)C	CHEMBL226515	pIC50=7.7
O[C@@H]1CO[C@H]([C@@H]1O)n2cc(c3ccccc3)c4c(NCC(=O)NC5CC5)ncnc24	CHEMBL200196	pIC50=7.7
Nc1ncnc2nc(cc(c3cccc(Br)c3)c12)c4ccc(nc4)N5CC6CC5CO6	CHEMBL104983	pIC50=7.71
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2c(Nc3ccccc3)nc4c(ncnc24)N5CCc6ccccc56	CHEMBL364496	pIC50=7.72
