Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CC4)c5ccc(Cl)cc5)ncc23	CHEMBL3654736	pIC50=7.53
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H](CN)c4ccccc4)ncc23	CHEMBL3654800	pIC50=7.54
COCCn1cc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23	CHEMBL3658657	pIC50=7.55
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4CCCC(C4)Oc5cccc(F)c5)ncc23	CHEMBL3663090	pIC50=7.55
CCCC(=O)c1n[nH]c2cc(NC(=O)N[C@H](COC)c3ccccc3)ncc12	CHEMBL3663122	pIC50=7.57
CCS(=O)(=O)c1ccc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccc(F)cc4)ncc23	CHEMBL3658679	pIC50=7.58
CC(CNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1)N(C)C	CHEMBL3654854	pIC50=7.59
CC(CO)NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3654827	pIC50=7.59
CCO[C@@H]1CN(C)C[C@H]1NC(=O)Nc2cc3[nH]nc(c4ccc(F)cc4)c3cn2	CHEMBL3658688	pIC50=7.59
C[C@@H](NC(=O)c1ccc2[nH]nc(c3ccncc3)c2c1)c4cccc(Cl)c4	CHEMBL3797667	pIC50=7.59
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NC4(CN)CCc5cc(F)ccc45)ncc23	CHEMBL3662948	pIC50=7.59
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H](CO)c4cccc5cc[nH]c45)ncc23	CHEMBL3658727	pIC50=7.59
Cc1onc(C)c1Nc2ncc3CCN(Cc3n2)C(=O)N[C@H](CO)c4ccc(F)c(Cl)c4	CHEMBL3298567	pIC50=7.59
C[C@@H](NC(=O)Nc1cc2[nH]nc(CNCC(F)F)c2cn1)c3ccccc3	CHEMBL3663017	pIC50=7.6
OC[C@@H](NC(=O)N1CCc2cnc(NC3CCOCC3)nc2C1)c4ccc(Cl)c(F)c4	CHEMBL3298678	pIC50=7.6
OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F	CHEMBL507361	pIC50=7.6
COCCN(C)c1ncc(cn1)c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23	CHEMBL3658661	pIC50=7.61
COC[C@@H](NC(=O)Nc1cc2[nH]nc(c3ccc(nc3)C(F)(F)F)c2cn1)c4ccc(F)cc4	CHEMBL3658673	pIC50=7.61
Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)NCC(N4CCOCC4)c5ccccn5)ncc23	CHEMBL3658748	pIC50=7.61
CC[C@H](CO)NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1	CHEMBL3654831	pIC50=7.62
CN(C)CCNC(=O)Nc1cc2[nH]nc(c3ccc(F)cc3)c2cn1	CHEMBL3654851	pIC50=7.62
COCC(NC(=O)Nc1cc2[nH]nc(c3ccnc(C)c3)c2cn1)c4ccc(cn4)C(F)(F)F	CHEMBL3654866	pIC50=7.62
COC[C@@H](NC(=O)Nc1cc2[nH]nc(C3=NOC(C)C3)c2cn1)c4ccccc4	CHEMBL3663124	pIC50=7.62
