COc1ccc(CN2C(=O)SN(C2=O)c3ccc(C)cc3)cc1	CHEMBL2037355	pIC50=6.75
Cc1cccc(c1)N2SC(=O)N(Cc3ccc(F)cc3)C2=O	CHEMBL2037232	pIC50=6.92
Clc1ccc(cc1Cl)N2SC(=O)N(Cc3ccccc3)C2=O	CHEMBL2037346	pIC50=7.05
Fc1ccc(CN2C(=O)SN(C2=O)c3cccc(c3)C(F)(F)F)cc1	CHEMBL2037231	pIC50=7.1
FC(F)(F)c1cccc(c1)N2SC(=O)N(Cc3ccccc3)C2=O	CHEMBL2037347	pIC50=7.24
CCCCN1C(=O)SN(C1=O)C(C)(C)C	CHEMBL2037364	pIC50=7.27
CCN1SC(=O)N(CCOC)C1=O	CHEMBL2037369	pIC50=7.27
Fc1ccc(CN2C(=O)SN(C2=O)c3cccc(Cl)c3)cc1	CHEMBL2037233	pIC50=7.28
CCCCN1SC(=O)N(CC(C)C)C1=O	CHEMBL2037367	pIC50=7.41
Cc1cccc(c1)N2SC(=O)N(Cc3ccccc3)C2=O	CHEMBL2037348	pIC50=7.42
Fc1ccc(CN2C(=O)SN(C2=O)c3ccc(Cl)c(Cl)c3)cc1	CHEMBL2037230	pIC50=7.45
Cc1ccc(cc1)N2SC(=O)N(Cc3ccc(Cl)c(Cl)c3)C2=O	CHEMBL2037356	pIC50=7.47
Clc1cccc(c1)N2SC(=O)N(Cc3ccccc3)C2=O	CHEMBL2037349	pIC50=7.49
Cc1ccc(cc1)N2SC(=O)N(Cc3ccc(F)cc3)C2=O	CHEMBL1917204	pIC50=7.52
CCCCN1SC(=O)N(CCCC)C1=O	CHEMBL2037363	pIC50=7.53
CC(C)CN1C(=O)SN(C1=O)C(C)(C)C	CHEMBL2037368	pIC50=7.54
Clc1ccc(cc1)N2SC(=O)N(Cc3ccccc3)C2=O	CHEMBL2037237	pIC50=7.54
CN1C(=O)SN(C1=O)C(C)(C)C	CHEMBL2037361	pIC50=7.56
CCN1SC(=O)N(CC(C)C)C1=O	CHEMBL2037366	pIC50=7.58
COc1ccc(cc1)N2SC(=O)N(Cc3ccccc3)C2=O	CHEMBL2037238	pIC50=7.62
CCCCN1SC(=O)N(C)C1=O	CHEMBL2037360	pIC50=7.63
O=C1SN(C(=O)N1Cc2ccccc2)c3ccccc3	CHEMBL2037236	pIC50=7.63
CCN1SC(=O)N(C)C1=O	CHEMBL2037359	pIC50=7.65
CCN1SC(=O)N(Cc2ccc(F)cc2)C1=O	CHEMBL2037357	pIC50=7.65
CCCCN1C(=O)SN(C1=O)c2ccc(C)cc2	CHEMBL2037362	pIC50=7.71
CN1C(=O)SN(C1=O)c2ccc(C)cc2	CHEMBL2037358	pIC50=7.72
Cc1ccc(cc1)N2SC(=O)N(Cc3cccc(Cl)c3)C2=O	CHEMBL2037353	pIC50=7.76
Fc1ccc(CN2C(=O)SN(C2=O)c3ccccc3)cc1	CHEMBL2037227	pIC50=7.79
CCCCN1SC(=O)N(Cc2ccc(F)cc2)C1=O	CHEMBL2035006	pIC50=7.81
CCCCN1C(=O)SN(CC)C1=O	CHEMBL24773	pIC50=7.84
Cc1ccc(cc1)N2SC(=O)N(Cc3cccc(C)c3)C2=O	CHEMBL2037354	pIC50=7.84
Cc1ccc(cc1)N2SC(=O)N(Cc3ccccc3)C2=O	CHEMBL2037235	pIC50=7.84
CC(C)CN1C(=O)SN(C1=O)c2ccc(C)cc2	CHEMBL2037365	pIC50=7.85
Fc1ccc(CN2C(=O)SN(C2=O)c3ccc(Cl)cc3)cc1	CHEMBL2037228	pIC50=7.87
Cc1ccc(CN2SC(=O)N(Cc3ccc(F)cc3)C2=O)cc1	CHEMBL2037234	pIC50=7.89
COc1ccc(cc1)N2SC(=O)N(Cc3ccc(F)cc3)C2=O	CHEMBL2037229	pIC50=7.96
Cc1ccc(CN2C(=O)SN(C2=O)c3ccc(C)cc3)cc1	CHEMBL2037352	pIC50=8.07
Cc1ccc(CN2SC(=O)N(Cc3ccccc3)C2=O)cc1	CHEMBL2037350	pIC50=8.14
Cc1ccc(cc1)N2SC(=O)N(Cc3ccc(Cl)cc3)C2=O	CHEMBL2037351	pIC50=8.27
