ClC1=C(CN2CCCC2=N)NC(=O)NC1=O	tipiracil	pIC50=7.69896984	pIC50=7.69896984	pIC50=7.69896984	pIC50=7.46
Fc1ccc(cc1)C2=C(Cl)NC(=O)NC2=O	CHEMBL235875	pKi=6.01
CCC\C=C\C1=C(Cl)NC(=O)NC1=O	CHEMBL238218	pKi=6.04
CC\C(=C/C)\C1=C(Cl)NC(=O)NC1=O	CHEMBL394454	pKi=6.04
CC\C=C\C1=C(Cl)NC(=O)NC1=O	CHEMBL396865	pKi=6.04
Clc1ccc(cc1Cl)c2ccccc2\C=C\C(=O)NS(=O)(=O)c3cccs3	CHEMBL87371	pKi=6.11
ClC1=C(C(=O)NC(=O)N1)C2=CCCCC2	CHEMBL234999	pKi=6.13
[Cl-].Nc1[nH]cc[n+]1Cc2cc(O)nc(O)n2	CHEMBL303346	pIC50=6.25
ClC1=C(C(=O)NC(=O)N1)c2cccs2	CHEMBL397364	pKi=6.27
FC1=C(C(=O)NC(=O)N1)c2ccccc2	CHEMBL395907	pKi=6.3
ClC1=C(C(=O)NC(=O)N1)c2ccccc2	CHEMBL235001	pKi=6.37
Cl.NC(=N)SCC1=C(Cl)C(=O)NC(=O)N1	CHEMBL3087264	pIC50=6.46
ClC1=C(C(=O)NC(=O)N1)C2=CCCC2	CHEMBL234998	pKi=6.54
CC(CN1C=C(C)C(=O)NC1=O)OCP(=O)(O)O	CHEMBL599755	pKi=6.63
CC1=CN(CC(CF)OCP(=O)(O)O)C(=O)NC1=O	CHEMBL592394	pKi=6.63
CC1=CN(CC(CO)OCP(=O)(O)O)C(=O)NC1=O	CHEMBL599022	pKi=6.63
CC1=CN(CCOCP(=O)(O)O)C(=O)NC1=O	CHEMBL401998	pKi=6.63
CC1=CN([C@@H]2O[C@H](CO)[C@H]3O[C@@H](CP(=O)(O)O)O[C@@H]23)C(=O)NC1=O	CHEMBL374140	pKi=6.63
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(Br)C(=O)N(CCCCCCCCP(=O)(O)O)C2=O	CHEMBL597717	pKi=6.63
Nc1[nH]cc[n+]1Cc2cc(O)nc(O)n2	CHEMBL194335	pIC50=7.0
Nc1[nH]cc[n+]1Cc2nc(O)nc(O)c2Cl	CHEMBL193667	pIC50=7.31
ClC1=C(CN2CCCC2=N)NC(=O)NC1=O	CHEMBL235668	pIC50=7.46
[Cl-].Nc1[nH]cc[n+]1Cc2nc(O)nc(O)c2Cl	CHEMBL66531	pIC50=7.68
[Cl-].Nc1[nH]cc[n+]1CC2=C(Br)C(=O)NC(=O)N2	CHEMBL65986	pIC50=7.7
Nc1[nH]cc[n+]1CC2=C(Br)C(=O)NC(=O)N2	CHEMBL122679	pIC50=7.72
Nc1nccn1CC2=C(F)C(=O)NC(=O)N2	CHEMBL1080896	pKi=7.77
