CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34	pergolide	pKi=6.46999979	pKi=6.46999979	pKi=6.46999979
OCCN1CCN(CC\C=C/2\c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	flupentixol	pKi=7.77499962	pKi=7.77499962	pKi=7.77499962
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO	methylergometrine	pKi=6.26841124	pKi=6.26841124	pKi=6.26841124
OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12	fenoldopam	pKd=7.55	pKd=7.55	pKd=7.55	pKi=7.4
OCCN1CCN(CC\C=C2\C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1	zuclopenthixol
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	levodopa
CN1CCN(CC1)C2=Nc3ccccc3N(NC(=O)c4cccc(c4)C#N)c5ccc(Cl)cc25	CHEMBL213238	pKi=7.0
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.0
NCCc1ccc(O)c(O)c1	dopamine	pEC50=7.0
[O-][N+](=O)c1ccc(Nc2ccc(CCN3CN(c4ccccc4)C5(CCN(CCCC(=O)c6ccc(F)cc6)CC5)C3=O)cc2)c7nonc17	CHEMBL92649	pKi=7.0
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)C(C)(C)C)c4ccccc24	CHEMBL379757	pKi=7.01
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cc(F)c(F)c(F)c4F)c5ccc(Cl)cc25	CHEMBL213466	pKi=7.01
COc1cc2C[C@@H]3N(CCc4cc(OC)c(O)c(OC)c34)Cc2c(OC)c1	CHEMBL2057454	pIC50=7.01
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1	thioridazine	pKi=7.01
Cc1cc(Oc2nccc3[nH]ccc23)ccc1c4cncc5nccn45	CHEMBL3671283	pKi=7.01
Oc1cc2OCC3NCc4ccccc4C3c2cc1O	CHEMBL217299	pKi=7.01
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3OC(F)(F)F)cc2C)C	CHEMBL3697584	pKi=7.02
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	chlorpromazine	pKi=7.02
Cc1cc(Oc2nccc3n[nH]cc23)ccc1c4c(C)nc[n+]([O-])c4C	CHEMBL3671281	pKi=7.03
Cl.CCCN1CCc2cc(cc3c2[C@H]1Cc4ccc(O)c(O)c34)c5ccc(O)cc5	CHEMBL560721	pKi=7.03
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncc(Cl)cc3C)cc2C)C	CHEMBL3697557	pKi=7.04
CCCN1C[C@H](Cn2cccn2)O[C@@H]3Cc4c(O)cccc4C[C@@H]13	CHEMBL3099230	pEC50=7.05
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pKi=7.05
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncc(Cl)cc3Cl)cc2C)C	CHEMBL3697561	pKi=7.05
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pKi=7.05
Cc1cc(Oc2nccc3[nH]ccc23)ccc1c4c(C)cnnc4C	CHEMBL3671280	pKi=7.05
CC1=NCCc2cc(Cl)c(O)cc2N1c3ccsc3	CHEMBL578122	pKi=7.06
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3OC(F)F)cc2C)C	CHEMBL3697590	pKi=7.06
CN1C(=O)C=NC(=C1c2ccc(Oc3ncccc3OC(F)F)cc2C)C	CHEMBL3697606	pKi=7.06
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3Cl)cc2)C	CHEMBL3697577	pKi=7.06
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4n5ccnc5)c6ccccc26	CHEMBL212844	pKi=7.06
CN1CCc2cc(cc3c2[C@H]1Cc4ccc(O)c(O)c34)c5ccccc5	CHEMBL465054	pKi=7.06
CN1C[C@@H](c2ccccc2)c3cc(O)c(Cl)cc3C1	CHEMBL302393	pKi=7.06
COc1cc2CCN3Cc4ccsc4C[C@H]3c2cc1O	CHEMBL3344356	pKi=7.06
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC	lisuride	pKi=7.07
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)C(F)(F)F)c4ccccc24	CHEMBL212486	pKi=7.07
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccnc4)c5ccccc25	CHEMBL215997	pKi=7.07
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccncc4)c5ccccc25	CHEMBL384248	pKi=7.07
COc1cccc(c1)C(=O)NN2c3ccccc3N=C(N4CCN(C)CC4)c5cc(Cl)ccc25	CHEMBL213239	pKi=7.07
CCC1=C(N(C)C(=O)NC1=O)c2ccc(Oc3ncccc3Cl)cc2	CHEMBL3697555	pKi=7.08
CCCN1CCC[C@@H]2Cc3c(O)cccc3C[C@@H]12.OC(=O)C(F)(F)F	CHEMBL3098131	pEC50=7.08
CN(C)CCOC1=Cc2ccccc2Sc3ccc(Cl)cc13	CHEMBL285802	pKi=7.08
CN(C)C[C@H]1CC2[C@H](O1)c3cc(Cl)ccc3Oc4ccccc24	CHEMBL435301	pKi=7.08
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3O)cc2C)C	CHEMBL3697573	pKi=7.08
CN1CCCc2ccccc2Cc3ccc(O)cc3CCC1	CHEMBL389559	pKi=7.08
CN1CCN(CC1)C2=Nc3ccccc3N(NC(=O)c4ccc5OCOc5c4)c6ccc(Cl)cc26	CHEMBL213472	pKi=7.08
CC(C)CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4Cl)c5ccccc25	CHEMBL212950	pKi=7.09
CCC1=C(N(C)C(=O)NC1=O)c2ccc(Oc3ncccc3C(F)F)cc2C	CHEMBL3697580	pKi=7.09
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncc(C)cc3Cl)cc2C)C	CHEMBL3697618	pKi=7.09
COc1ccc2CCN(C)CCc3ccccc3Cc2c1	CHEMBL381946	pKi=7.09
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3	haloperidol	pKi=7.09
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pKi=7.1
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)CCc4ccccc4)c5ccccc25	CHEMBL215611	pKi=7.1
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	prochlorperazine	pKi=7.11
COc1cc2CCN(C)[C@@H]3Cc4cccc(N)c4c(c1)c23	CHEMBL506721	pKi=7.11
