OC1=C(Cc2ccc(OCCC3CCCCC3)cc2)SC(=O)N1	CHEMBL3685392	pIC50=6.01
CC(C)OCCOc1ccc(\C=C/2\SC(=NC2=O)O)cc1	CHEMBL3689757	pIC50=6.02
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)NC4CCCC4	CHEMBL3103028	pIC50=6.02
[O-][N+](=O)c1ccc(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2Cl)cc1	CHEMBL2414142	pIC50=6.03
O=C1NC(=O)\C(=C\c2ccc(OCc3occc3)cc2)\S1	CHEMBL601089	pIC50=6.05
O=C1NC(=O)\C(=C\c2ccc(OCCC3CCCCC3)cc2)\N1	CHEMBL606032	pIC50=6.06
OC1=C(Cc2ccc(OCC3CCCC3)cc2)SC(=O)N1	CHEMBL3685394	pIC50=6.07
O=C1NC(=O)\C(=C/c2ccc(OCc3ccc(cc3)c4ccccc4)cc2)\S1	CHEMBL599395	pIC50=6.09
OC1=NC(=O)\C(=C\c2ccc(OC3CCCCC3)cc2)\S1	CHEMBL3685343	pIC50=6.09
OC1=NC(=O)\C(=C\c2ccc(OCc3ccc(cc3)c4ccccc4)cc2)\S1	CHEMBL3685364	pIC50=6.09
OC1=C(Cc2ccc(OCCC3CCCC3)cc2)SC(=O)N1	CHEMBL3685396	pIC50=6.11
O=C1NC(=O)\C(=C\c2ccc(OCC3CCCCO3)cc2)\S1	CHEMBL85579	pIC50=6.13
O=C1NC(=O)\C(=C\c2ccc(OCCC3CCCCO3)cc2)\S1	CHEMBL598175	pIC50=6.13
Cc1ccc(COc2ccc(\C=C/3\SC(=NC3=O)O)cc2)cc1	CHEMBL3689759	pIC50=6.14
O=C1NC(=O)\C(=C\c2ccc(OCCN3CCOCC3)cc2)\S1	CHEMBL599002	pIC50=6.15
OC1=NC(=S)\C(=C\c2ccc(OCCC3CCCCC3)cc2)\S1	CHEMBL3685337	pIC50=6.16
C1CCc2nnc(c3cn(c4ccccc4)c5ccccc35)n2CC1	CHEMBL3103017	pIC50=6.17
COc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCc3cccs3	CHEMBL3685384	pIC50=6.17
Cc1cc(CC2=C(O)NC(=O)S2)ccc1OCCCC3CCCCC3	CHEMBL3685402	pIC50=6.18
O=C1NC(=O)\C(=C\c2ccc(OCCc3ccccn3)cc2)\S1	CHEMBL599004	pIC50=6.18
Cc1ncsc1CCOc2ccc(\C=C\3/SC(=O)NC3=O)cc2	CHEMBL590988	pIC50=6.2
COC(=O)C1CCC(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2)CC1	CHEMBL599220	pIC50=6.21
C1CCc2nnc(c3ccn(c3)c4ccccc4)n2CC1	CHEMBL3103015	pIC50=6.22
CC1(COc2ccc(\C=C/3\SC(=NC3=O)O)cc2)CCCCC1	CHEMBL3685342	pIC50=6.26
COc1ccc(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2)cc1	CHEMBL608142	pIC50=6.28
OC1=C(Cc2ccc(OCC3CCCCC3)c(Cl)c2)SC(=O)N1	CHEMBL3685395	pIC50=6.28
OCCN1C(=O)S\C(=C/c2ccc(OCCC3CCCCC3)cc2)\C1=O	CHEMBL598787	pIC50=6.28
Clc1cc(OCc2ccccc2)ccc1\C=C\3/SC(=O)NC3=O	CHEMBL2414163	pIC50=6.31
