OC(=O)CNC(=O)C(=O)O	CHEMBL90852	pIC50=6.08
CC(C)c1cn(nn1)C2=CNN(C2=O)c3ccc(CO)cn3	CHEMBL3646112	pIC50=6.11
O=C1N(NC=C1n2ccnn2)c3cc(ncn3)N4CCSCC4	CHEMBL3646124	pIC50=6.13
OCc1ccc(nc1)N2NC=C(C2=O)n3cnc(c3)C(F)(F)F	CHEMBL3646109	pIC50=6.13
COC1CCCN(C1)c2cc(ncn2)N3NC=C(C3=O)n4ccnc4	CHEMBL3646126	pIC50=6.16
O=C1N(NC=C1n2ccnn2)c3cc(ncn3)C4CC4	CHEMBL3646110	pIC50=6.25
O=C1N(NC=C1n2ccnc2)c3cc(ncn3)N4CCCCC4	CHEMBL3646108	pIC50=6.3
O=C1N(NC=C1n2ccnn2)c3cc(ncn3)N4CCOCC4	CHEMBL3646118	pIC50=6.31
CC1CCN(CC1)c2cc(ncn2)N3NC=C(C3=O)n4ccnn4	CHEMBL3646125	pIC50=6.44
CCSc1cc(ncn1)N2NC=C(C2=O)n3ccnn3	CHEMBL3646123	pIC50=6.46
Cc1ccnc(c1)N2NC=C(C2=O)n3ccnn3	CHEMBL3646107	pIC50=6.47
CC(C)(C)COc1ccc(nc1)N2NC=C(C2=O)n3ccnn3	CHEMBL3646120	pIC50=6.72
CC(C)(C)OC(=O)c1ccc(nc1)N2NC=C(C2=O)n3ccnn3	CHEMBL3646117	pIC50=7.3
Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)n5cccn5)c6cc(O)ncn6	CHEMBL2040895	pIC50=7.42
Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)N5CCC5=O)c6cc(O)ncn6	CHEMBL2043328	pIC50=7.77
COCc1onc(n1)c2ccc(cc2)N3C(=O)N(c4cc(O)ncn4)C5(CCN(Cc6ncccc6C)CC5)C3=O	CHEMBL2040894	pIC50=7.96
COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6ccccc6C(=O)O	CHEMBL2043170	pIC50=8.09
COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6ccc(cc6)c7ccn[nH]7	CHEMBL2041168	pIC50=8.22
Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)c5cncnc5)c6cc(O)ncn6	CHEMBL2041166	pIC50=8.25
COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6coc(c6)C(=O)O	CHEMBL2041165	pIC50=8.26
Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)c5oncc5)c6cc(O)ncn6	CHEMBL2040896	pIC50=8.35
