CN(C)c1ccc(\C=C\C=C2C(=O)NC(=S)NC2=O)cc1	CHEMBL257930	pKi=6.0
Cc1nc(nc(NCCNc2cccc(n2)C(F)(F)F)c1Cl)c3ccccn3	CHEMBL2392771	pIC50=6.0
Clc1ccc2C(=O)C(=C)Cc2c1	CHEMBL3337748	pIC50=6.0
C(Cc1ccccc1)Nc2nc(nc3ccccc23)c4ccccn4	CHEMBL1518085	pEC50=6.03
OC(=O)c1ccc(cc1)N2CCN(CC2)c3cc(nc4ccccc34)c5ccccn5	CHEMBL2375617	pEC50=6.05
CN1CCN(CC1)c2cc(nc3ccccc23)c4ccccn4	CHEMBL49678	pEC50=6.06
COc1ccc(cc1)N2CCN(CC2)c3cc(nc4ccccc34)c5ccc(Cl)cn5	CHEMBL2375625	pEC50=6.07
Cc1nc(nc(NCCc2ccccc2)c1Cl)c3ccccn3	CHEMBL472879	pIC50=6.07
Cc1nc(nc(NC[C@H](NC(=O)CCN2CCN(CCO)CC2)c3ccccc3)c1Cl)c4ccccn4	CHEMBL2392891	pIC50=6.1
Cc1nc(nc(NC[C@H](NCCCCN2CCN(CCO)CC2)c3ccccc3)c1Cl)c4ccccn4	CHEMBL2392898	pIC50=6.1
Cc1nc(nc(NC[C@H](NS(=O)(=O)CCN2CCNCC2)c3ccccc3)c1Cl)c4ccccn4	CHEMBL2392899	pIC50=6.1
Cc1nc(nc(NC[C@H](NCCCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4	CHEMBL2392922	pEC50=6.11
Cc1nc(nc(NC[C@H](NC(=O)CCCN2CCNCC2)c3ccccc3)c1Cl)c4cc(Cl)ccn4	CHEMBL2392913	pEC50=6.14
Cc1nc(nc(NC[C@H](NCCCCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4	CHEMBL2392923	pEC50=6.15
Cc1nc(nc(NC[C@H](NC(=O)Cc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4	CHEMBL2390976	pEC50=6.16
Cc1nc(nc(NC[C@H](NCCCCc2ccc3ccccc3n2)c4ccccc4)c1Cl)c5ccc(Cl)cn5	CHEMBL2392930	pEC50=6.16
Cc1nc(nc(NC[C@H](NC(=O)CCCCCc2ccccc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4	CHEMBL2392917	pEC50=6.17
Cc1nc(nc(NC[C@H](NC(=O)CCN2CCNCC2)c3ccccc3)c1Cl)c4ccccn4	CHEMBL2392893	pIC50=6.22
Cc1nc(nc(NC[C@H](NS(=O)(=O)CCN2CCN(CCO)CC2)c3ccccc3)c1Cl)c4ccccn4	CHEMBL2392900	pIC50=6.22
C=CCOc1ccc(cc1)N2CCN(CC2)c3cc(nc4ccccc34)c5ccccn5	CHEMBL2375623	pEC50=6.23
Cc1nc(nc(NC[C@H](NCCCCc2ccc(Cl)cc2)c3ccccc3)c1Cl)c4ccc(Cl)cn4	CHEMBL2392925	pEC50=6.24
COc1ccnc(c1)c2nc(C)c(Cl)c(NC[C@H](NC(=O)CCCN3CCNCC3)c4ccccc4)n2	CHEMBL2392912	pEC50=6.28
