NC(=O)c1cc2c(Oc3ccc(cc3)C(O)CO)cncc2s1	CHEMBL115462	pIC50=6.03
OCCNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1	CHEMBL119523	pIC50=6.06
NC(=O)c1cc2c(Oc3cccc(Cl)c3)cncc2s1	CHEMBL325893	pIC50=6.07
Cc1ccc(Sc2cncc3sc(cc23)C(=O)N)c(C)c1	CHEMBL6830	pIC50=6.11
NC(=O)c1cc2c(Oc3ccccc3CC=C)cncc2s1	CHEMBL325286	pIC50=6.11
CNC(=O)c1cc2c(Oc3ccc(cc3)C(F)(F)CO)cncc2s1	CHEMBL324824	pIC50=6.33
CCOCCOCCOCC1(CC1)c2ccc(Oc3cncc4sc(cc34)C(=O)NC)cc2	CHEMBL115960	pIC50=6.38
CNC(=O)c1cc2c(Oc3ccc(OC(F)(F)F)cc3)cncc2s1	CHEMBL118300	pIC50=6.43
NC(=O)c1cc2c(Oc3ccc(Cl)cc3Br)cncc2s1	CHEMBL119599	pIC50=6.48
CNC(=O)c1cc2c(Oc3ccc(cc3)n4cncn4)cncc2s1	CHEMBL119705	pIC50=6.62
CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1	CHEMBL118074	pIC50=6.7
NC(=O)c1cc2c(Oc3ccc(CO)cc3)cncc2s1	CHEMBL118022	pIC50=6.72
COc1ccc2sc(C(=O)N)c(OC(C)C)c2c1	CHEMBL6248	pIC50=6.76
CCOCCOCCOCC(F)(F)c1ccc(Oc2cncc3sc(cc23)C(=O)NC)cc1	CHEMBL115431	pIC50=6.77
CCc1ccc(Oc2cncc3sc(cc23)C(=O)N)cc1	CHEMBL119732	pIC50=6.85
CN(C)C(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1	CHEMBL324133	pIC50=6.89
CNC(=O)c1cc2c(Oc3ccc(COCCOCCOC)cc3)cncc2s1	CHEMBL117279	pIC50=6.92
CNC(=O)c1cc2c(Oc3ccc(cc3)C#N)cncc2s1	CHEMBL115971	pIC50=7.04
NC(=O)c1cc2c(Oc3ccc(cc3)C#N)cncc2s1	CHEMBL117198	pIC50=7.07
CNC(=O)c1cc2c(Oc3ccc(cc3)c4ccccc4)cncc2s1	CHEMBL115637	pIC50=7.1
CNC(=O)c1cc2c(Oc3ccc(cc3)C4(CO)CC4)cncc2s1	CHEMBL118089	pIC50=7.13
NC(=O)c1cc2c(Oc3ccc(N)cc3)cncc2s1	CHEMBL117936	pIC50=7.19
NC(=O)c1cc2c(Oc3ccc(Br)cc3)cncc2s1	CHEMBL116070	pIC50=7.32
COCc1ccc(Oc2cncc3sc(cc23)C(=O)N)cc1	CHEMBL119183	pIC50=7.64
CNC(=O)c1cc2c(Oc3ccc(cc3)n4ccnc4)cncc2s1	CHEMBL325184	pIC50=7.72
NC(=O)c1cc2c(Oc3ccc(cc3)n4ccnc4)cncc2s1	CHEMBL326120	pIC50=7.77
CNC(=O)c1cc2c(Oc3ccc(cc3)c4cccs4)cncc2s1	CHEMBL117894	pIC50=8.22
CNC(=O)c1cc2c(Oc3ccc(cc3)n4cccn4)cncc2s1	CHEMBL119039	pIC50=8.3
