OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=4.33	pIC50=4.33	pIC50=4.33
Nc1ccc(O)c(c1)C(=O)O	mesalazine
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2	zileuton	pIC50=6.52	pIC50=6.52	pIC50=6.52	pIC50=6.0
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1	benoxaprofen
CC(C1CCc2c(C)cc(OCCN(C)C)c(C)c2C1)C(=O)Nc3nccs3	CHEMBL227354	pIC50=6.0
CCC(O)(c1cccc(OCC#Cc2ccccc2)c1)c3nccs3	CHEMBL71775	pIC50=6.0
CCC(OC)(c1cccc(OCC#Cc2ccccc2)c1)c3nccs3	CHEMBL327926	pIC50=6.0
CCCCCCC(Sc1nc(Cl)cc(NCc2ccc(cc2)c3ccccc3)n1)C(=O)O	CHEMBL462523	pIC50=6.0
CCCCCCC1=C(OC)C(=CC(=O)C1=O)OC	CHEMBL3416355	pIC50=6.0
CCCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O	CHEMBL3416175	pIC50=6.0
CCCOc1cc(C)c2CCC(Cc2c1C)C(C)C(=O)Nc3nccs3	CHEMBL390982	pIC50=6.0
CN(O)C(=O)Cc1ccc(OCc2ccc3ccccc3n2)cc1	CHEMBL52896	pIC50=6.0
CN(O)C(=O)Cc1cccc(OCc2ccc3ccccc3n2)c1	CHEMBL52085	pIC50=6.0
COC1(CCOCC1)c2cccc(COc3ccc4ccccc4c3)c2	CHEMBL149839	pIC50=6.0
COc1ccc2c(c1)c(cn2C(=O)\C=C\c3ccccc3)C(=O)C(=O)N4CCCC4	CHEMBL2336204	pIC50=6.0
COc1ccc2c(c1)c(cn2OS(=O)(=O)c3ccc(C)cc3)C(=O)C(=O)N4CCOCC4	CHEMBL2336205	pIC50=6.0
CSc1cccc(NC(=O)Nc2nc3C(C)C4C5OC(=O)C(C)C5CCC4(C)Cc3s2)c1	CHEMBL227190	pIC50=6.0
C\C=C\c1cc(ccc1O)c2cc(CC=C)ccc2O	CHEMBL569136	pIC50=6.0
Cc1cc(\C=C\c2ccncc2)cc(C)c1O	CHEMBL293821	pIC50=6.0
O=C(N1CCCC1)C(=O)c2cn(C(=O)c3ccccc3)c4ccccc24	CHEMBL2336207	pIC50=6.0
O=C1CCCN(N1)c2ccccc2	CHEMBL30110	pIC50=6.0
[K+].CCCCC\C=C/C\C=C/[C@@H]1CC(=C(C)C[C@H]1\C=C/C\C=C/CCCC(=O)[O-])C	CHEMBL82171	pIC50=6.0
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Oc2cccc3ccccc23	CHEMBL2163347	pIC50=6.0
CC(C)CC(C1=C(O)C(C)(C)C(=O)C(C)(C)C1=O)c2c(O)c(C(CC(C)C)C3=C(O)C(C)(C)C(=O)C(C)(C)C3=O)c(O)c(C(=O)C(C)C)c2O	CHEMBL3608360	pIC50=6.01
CC(C)[C@H](C1=C(O)C(C)(C)C(=O)C(C)(C)C1=O)c2c(O)c3[C@@H](C(C)C)C4=C(Oc3c(C(=O)C(C)C)c2O)C(C)(C)C(=O)C(C)(C)C4=O	CHEMBL3608367	pIC50=6.01
