N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	levothyroxine
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O	liothyronine	pKd=10.24	pKd=10.24	pKd=10.24	pEC50=8.0
N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O	dextrothyroxine
CC(C)c1cc(Cn2c(C)c(CCCCC(=O)O)c3ccccc23)ccc1O	CHEMBL3126376	pEC50=7.0
OC(=O)CCc1cc(Br)c(OCc2cccc(Br)c2)c(Br)c1	CHEMBL250104	pIC50=7.0
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccc(OC(F)(F)F)c3)c(Cl)c1	CHEMBL236438	pIC50=7.0
OC(=O)Cc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL195079	pIC50=7.0
COc1ccccc1CCNC(=O)c2cc(Oc3c(Br)cc(CC(=O)O)cc3Br)ccc2O	CHEMBL392925	pIC50=7.02
CC(C)c1cc(Cc2c(C)cc(OCC(=O)O)cc2C)cc(C#Cc3ccc(cc3)[N+](=O)[O-])c1O	CHEMBL109279	pKd=7.03
COc1cccc(CCNC(=O)c2cc(Oc3c(Br)cc(CC(=O)O)cc3Br)ccc2O)c1	CHEMBL238178	pIC50=7.03
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(CC4=NNC(=O)C=C4)c3	CHEMBL2312262	pKi=7.04
Cc1cn(Cc2ccc(O)c(c2)c3ccccc3)c4ccc(OCC(=O)O)cc14	CHEMBL3397346	pKi=7.05
CC(C)[C@H](NC(=O)Cc1cc(Br)c(Oc2cc(F)c(O)c(c2)C(C)C)c(Br)c1)C(=O)O	CHEMBL236499	pIC50=7.06
CCc1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O	CHEMBL264153	pEC50=7.06
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCc3ccccc3)c(Br)c1	CHEMBL249445	pIC50=7.07
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C)C(=O)O)cc2Br)ccc1O	CHEMBL440975	pIC50=7.08
COc1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O	CHEMBL264410	pKd=7.09
CCNc1cccc(COc2c(Br)cc(CCC(=O)O)cc2Br)c1	CHEMBL250308	pIC50=7.11
CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)c3CCCc23)ccc1O	CHEMBL2035879	pKi=7.16
CCc1cc(Cc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O	CHEMBL485928	pKi=7.21
OC(=O)CCC(=O)Nc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL372428	pIC50=7.21
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3cccc(c3)C(F)(F)F)c2)c(Br)c1	CHEMBL235384	pIC50=7.3
Cc1c(O)ccc2c(cccc12)c3c(Cl)cc(NC(=O)O)cc3Cl	CHEMBL193615	pIC50=7.32
Cc1cn(Cc2ccc(O)c(CC3CCCCC3)c2)c4ccc(OCC(=O)O)cc14	CHEMBL3397345	pKi=7.33
CC(C)c1cc(Cc2c(C)cc(OCC(=O)O)cc2C)ccc1O	CHEMBL107400	pEC50=7.35
Oc1ccc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)cc1Br	CHEMBL258886	pEC50=7.36
CC(C)c1cc(Oc2c(Br)cc(CCP(=O)(O)O)cc2Br)ccc1O	CHEMBL486359	pKi=7.38
Cc1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O	CHEMBL264152	pKd=7.38
CCOC(=O)C(=O)Nc1cc(C)c(Oc2ccc(O)c(c2)C(O)c3ccc(F)cc3)c(C)c1	CHEMBL159682	pKi=7.4
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccc(c3)C(F)(F)F)c(Cl)c1	CHEMBL442243	pIC50=7.4
CC(C)c1cc(Cn2c(C)c(CCC(=O)O)c3ccccc23)ccc1O	CHEMBL3126374	pEC50=7.41
Oc1ccc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)cc1C4CC4	CHEMBL260482	pEC50=7.41
CC(C)c1cc(Oc2c(Br)cc3CC(Cc3c2Br)C(=O)O)ccc1O	CHEMBL203828	pIC50=7.42
CC(C)c1cc(Oc2c(Br)cc3NC(Cc3c2Br)C(=O)O)ccc1O	CHEMBL401392	pIC50=7.42
CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)cc(\C=C\c3ccncc3)c1O	CHEMBL217221	pIC50=7.44
Cc1cn(Cc2ccc(O)c(Cc3ccccc3)c2)c4ccc(OCC(=O)O)cc14	CHEMBL3397343	pKi=7.44
CC(C)c1cc(Cc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O	CHEMBL471488	pKi=7.45
CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O	CHEMBL263630	pEC50=7.47
Cc1cn(Cc2ccc(O)c(c2)C3CCCC3)c4ccc(OCC(=O)O)cc14	CHEMBL3397344	pKi=7.49
CCC(C)c1cc(Cc2c(C)cc(OCP(=O)(O)O)cc2C)ccc1O	CHEMBL448595	pKi=7.52
Cc1cc(NC(=O)CC(=O)O)c2CCCc2c1Oc3ccc(O)c(Cc4ccc(F)cc4)c3	CHEMBL2312281	pKi=7.52
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3cccc(OC(F)F)c3)c(Cl)c1	CHEMBL236436	pIC50=7.52
CC(C)c1cc(Cc2c(C)cc(NCP(=O)(O)O)cc2C)ccc1O	CHEMBL485758	pKi=7.55
CC(C)c1cc(Oc2c(Br)cc(CC(=O)NCC(=O)O)cc2Br)ccc1O	CHEMBL236080	pIC50=7.59
CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O	CHEMBL41036	pIC50=7.6
CC(C)c1cc(Oc2c(Cl)cc(NC(=O)CC(=O)O)c(Cl)c2Cl)ccc1O	CHEMBL2035876	pKi=7.61
Oc1ccc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)cc1I	CHEMBL259096	pKd=7.62
Oc1ccc(Oc2c(Cl)cc(cc2Cl)N3N=CC(=O)NC3=O)cc1C(=O)N4CCCCC4	CHEMBL125242	pKi=7.7
OC(=O)CNc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL193864	pIC50=7.72
CC(C)c1cc(Oc2c(Br)cc(OCP(=O)(O)O)cc2Br)ccc1O	CHEMBL457527	pKi=7.73
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCC(c3ccccc3)c4ccccc4)c(Br)c1	CHEMBL235177	pIC50=7.74
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)c3ccccc3C(F)(F)F)c(Cl)c1	CHEMBL442280	pIC50=7.74
OC(=O)Cc1cc(Cl)c(Oc2ccc(O)c(c2)C(=O)NCC(c3ccccc3)c4ccccc4)c(Cl)c1	CHEMBL2203702	pEC50=7.75
CC(C)c1cc(Oc2c(Br)cc(CC3NC(=O)NC3=O)cc2Br)ccc1O	CHEMBL263631	pKd=7.77
CC(C)c1cc(Cn2c(C)cc3cc(OCC(=O)O)ccc23)ccc1O	CHEMBL3397334	pKi=7.79
Oc1ccc(Oc2c(I)cc(CP(=O)(O)O)cc2I)cc1I	CHEMBL459148	pKi=7.8
OC(=O)Cc1cc(Br)c(Oc2ccc(O)c(c2)C(=O)NCCc3ccccc3)c(Br)c1	CHEMBL235609	pIC50=7.82
COc1ccc2c(cccc2c1C(C)C)c3c(Cl)cc(NC(=O)CC(=O)O)cc3Cl	CHEMBL196642	pIC50=7.85
CC(C)c1cc(Cn2ccc3cc(OCC(=O)O)ccc23)ccc1O	CHEMBL3397333	pKi=7.87
CCc1cccc(c1)c2cc(Oc3c(Cl)cc(CC(=O)O)cc3Cl)ccc2O	CHEMBL251456	pIC50=7.89
OC(=O)CCNc1cc(Cl)c(c(Cl)c1)c2cccc3c(Br)c(O)ccc23	CHEMBL198875	pIC50=7.89
CC1(C)C2CCC(NC(=O)c3cc(Oc4c(Cl)cc(cc4Cl)N5N=CC(=O)NC5=O)ccc3O)C1C2	CHEMBL124205	pEC50=7.92
CC(C)c1cc(Oc2c(Br)cc(NCP(=O)(O)O)cc2Br)ccc1O	CHEMBL511862	pKi=7.99
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@@H](C)C(=O)O)cc2Br)ccc1O	CHEMBL391367	pIC50=8.0
