COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC\C=C\C1=CC=CC=C1	cilnidipine
COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(C1=CC=CC=C1)C1=CC=CC=C1	dexniguldipine
COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	manidipine
COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N	nilvadipine
CCOC(=O)C1=C(COCCN)NC(C)=C([C@@H]1C1=C(Cl)C=CC=C1)C(=O)OC	levamlodipine
CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1	bepridil
COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1	verapamil	pIC50=6.0	pIC50=6.0	pIC50=6.0	pIC50=6.82
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C	isradipine
CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC	felodipine
COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O	diltiazem	pIC50=7.3188	pIC50=7.3188	pIC50=7.3188
CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC	clevidipine
[H]C1(C2=C(Cl)C=CC=C2)C(C(=O)OC)=C(C)NC(COCCN)=C1C(=O)OCC	amlodipine
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OCC(C)C	nisoldipine	pIC50=7.29999971	pIC50=7.29999971	pIC50=7.29999971
CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC	nitrendipine	pIC50=7.69999981	pIC50=7.69999981	pIC50=7.69999981	pKd=9.59
COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C	nimodipine	pIC50=6.80000019	pIC50=6.80000019	pIC50=6.80000019
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC	nifedipine	pKd=9.4	pKd=9.4	pKd=9.4	pKi=9.0
CC1=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(=C(C)N1)P1(=O)OCC(C)(C)CO1)C(=O)OCCN(CC1=CC=CC=C1)C1=CC=CC=C1	efonidipine
COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OCC(C)=O	aranidipine
COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1	(S)-nicardipine
COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)O[C@H]1CCN(CC2=CC=CC=C2)C1	barnidipine
CC(C)OC(=O)C1=C(C)NC(N)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1	azelnidipine
COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1	nicardipine
CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(\C=C\C(=O)OC(C)(C)C)C=CC=C1)C(=O)OCC	lacidipine
CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC	(S)-nitrendipine
COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)O[C@@H]1CCCN(CC2=CC=CC=C2)C1	benidipine
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=C1	lercanidipine
CC1CCCN(C1C)C(=O)c2csc(Nc3ccc(C)cc3)n2	CHEMBL2418806	pIC50=5.0
C[C@H]1CCCN([C@H]1C)C(=O)c2nc(Nc3ccc(Cl)cc3F)sc2C	CHEMBL2418811	pIC50=5.0
Nc1nc(CC(=O)Nc2ccc(C[C@@H]3CC[C@@H](N3)[C@H](O)c4ccccc4)cc2)cs1	CHEMBL1684585	pIC50=5.09
O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4onc(n4)c5ccc6ccccc6n5	CHEMBL551921	pIC50=5.17
CCO\C(=C/1\[C@@H]2[C@@H](C(=O)OCC)[C@@](C)(Sc3c2cccc3[N+](=O)[O-])N=C1C)\O	CHEMBL2110301	pKi=5.22
COC(=O)C(CCC(=O)N1CCN(CC1)c2ccccc2OC)(C(C)C)c3ccc(Br)cc3	CHEMBL3115195	pIC50=5.23
COC(=O)C(CCC(=O)N(C)CCCc1nc2ccccc2[nH]1)(C(C)C)c3ccc(Br)cc3	CHEMBL3115194	pIC50=5.27
CC#C[C@H]([C@H]1OC(=O)NC1=O)c2ccc(Oc3ccc(cc3OC(F)F)C(F)(F)F)cc2	CHEMBL1777878	pIC50=5.29
CCO\C(=C/1\[C@@H]2[C@H](C(=O)OCC)[C@@](C)(Sc3cc(ccc23)[N+](=O)[O-])N=C1C)\O	CHEMBL2110167	pKi=5.3
CCO\C(=C/1\[C@@H]2[C@H](C(=O)OCC)[C@@](C)(Sc3ccccc23)N=C1C)\O	CHEMBL2110170	pKi=5.3
CC(C)N1C(=O)[C@@H](CCc2ccccc12)NC(=O)[C@@H](Cc3ccccc3OC(F)(F)F)NC(=O)OC(C)(C)C	CHEMBL247828	pIC50=5.46
CCOC(=O)C1=C(C)NC(=NC1c2cccc(c2)[N+](=O)[O-])N(C)C	CHEMBL3392278	pKd=5.47
CCCN(C1CCN(Cc2c(OC)cccc2OC)CC1)S(=O)(=O)c3cccc(c3)C(F)(F)F	CHEMBL2180891	pIC50=5.5
CCO\C(=C/1\[C@@H]2[C@@H](C(=O)OCC)[C@@](C)(Sc3cc(ccc23)[N+](=O)[O-])N=C1C)\O	CHEMBL2110298	pKi=5.52
O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4onc(n4)c5nccc6ccccc56	CHEMBL552061	pIC50=5.52
COC(=O)C1=C(C)N=C(NC1c2cc(ccc2SC)[N+](=O)[O-])SC	CHEMBL23451	pKd=5.57
CO[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]4CC[C@H]1c5ccccc45	CHEMBL3609820	pIC50=5.57
FC(F)(F)c1ccccc1c2noc(n2)C3CCN(CC3)C(=O)NC4CC4c5ccccc5	CHEMBL561788	pIC50=5.7
CC(C)N1C(=O)[C@H](CCc2ccccc12)NC(=O)[C@@H](Cc3ccccc3OC(F)(F)F)NC(=O)OC(C)(C)C	CHEMBL247829	pIC50=5.76
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)c3nc(cs3)c4ccc(cc4)C(F)(F)F)cc1)c5cccnc5	CHEMBL111201	pIC50=5.77
COC(=O)C1=C(C)N=C(NC1c2ccccc2SC)SC	CHEMBL279029	pKd=5.82
CSC1=NC2\C(=C(\O)/OCCCCCSc3ccc(cc23)[N+](=O)[O-])\C(=N1)C	CHEMBL25763	pKd=6.06
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]4CC[C@H]1c5ccccc45	CHEMBL3608944	pIC50=6.13
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]4CC[C@H]1c5ccccc45	CHEMBL3608945	pIC50=6.16
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]4CCC[C@H]1c5ccccc45	CHEMBL3608947	pIC50=6.19
CCO\C(=C/1\[C@@H]2[C@H](C(=O)OCC)[C@@](C)(Sc3ccc(cc23)[N+](=O)[O-])N=C1C)\O	CHEMBL2110169	pKi=6.19
CO[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)C(C)C)[C@@H](C(C)C)c4ccc(F)cc14	CHEMBL3609825	pIC50=6.23
