C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N	tofacitinib	pIC50=6.64	pIC50=7.46	pIC50=6.64	pIC50=7.46	pIC50=6.64	pIC50=7.46	pIC50=7.62
Clc1cccc(Cl)c1C(=O)Nc2ccnc(Nc3ccccn3)c2	CHEMBL2420824	pKi=7.54
CCn1c(cc2c1nc(Nc3nccs3)c4ncn(C)c24)C(=O)N(C5CC5)C6CC6	CHEMBL3622134	pIC50=7.55
Clc1cnc2Nc3cccc(CCCOc4cccc(CNc1n2)c4)c3	CHEMBL3694581	pIC50=7.6
OCC(=O)Nc1nccc2nc(sc12)c3c(Cl)cccc3Cl	CHEMBL3675687	pKi=7.64
F[C@@H]1C[C@H]1C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2	CHEMBL2387130	pKi=7.65
CC(C)(O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1	CHEMBL2387116	pKi=7.66
CC1(C)[C@H](O)CC[C@H]1Nc2c(cnn3cccc23)C(=O)N	CHEMBL3359913	pIC50=7.66
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc4cccc(c4)S(=O)(=O)NC(C)(C)C	CHEMBL1287853	pKd=7.68
C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]4CC[C@H](C4)NCC(F)(F)F	CHEMBL2385096	pKi=7.7
O=C(CC#N)N1CCC[C@H](C1)n2nnc3cnc4[nH]ccc4c23	CHEMBL2392500	pKi=7.7
CCn1cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)cn1	CHEMBL2420829	pKi=7.72
N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34	CHEMBL1789941	pIC50=7.72
CCN(CC)CCC(=O)Nc1cc2COCC=CCOCc3cccc(c3)c4ccnc(Nc(c2)c1)n4	CHEMBL2181086	pIC50=7.75
CCNC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1	CHEMBL2420812	pKi=7.75
