OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3	quercetin	pKd=7.6	pKd=7.6	pKd=7.6	pKd=7.6
Brc1c(Br)c(Br)c2[nH]c(nc2c1Br)N3CCOCC3	CHEMBL3684932	pIC50=7.53
CN(C)CC1=Nc2c(sc3ccc(cc23)c4cncnc4)C(=O)N1	CHEMBL573036	pKi=7.54
CN(c1ccccc1)c2nc3c(Br)c(Br)c(Br)c(Br)c3[nH]2	CHEMBL3689334	pIC50=7.54
N[C@H]1CCCN(C1)c2ccncc2Nc3cccc4cnc(nc34)c5ccccc5F	CHEMBL3685750	pIC50=7.54
C#Cc1cccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c1	CHEMBL1915436	pIC50=7.55
Clc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)cc1	CHEMBL1915437	pIC50=7.55
Clc1ccc2oc3C(=O)NC(=Nc3c2c1)c4ccccc4Cl	CHEMBL2035598	pIC50=7.55
Fc1cccc(F)c1c2nc(cs2)C(=O)Nc3cnccc3O[C@@H]4CCNC4	CHEMBL3354512	pIC50=7.55
Nc1ccc(nc1C(=O)Nc2cnccc2c3cccnc3N)c4c(F)cccc4F	CHEMBL3792552	pKi=7.55
O=C1NC(=O)\C(=C\c2ccccc2N3CCNCC3)\S1	CHEMBL2048861	pIC50=7.55
COC(=O)N[C@@H]1[C@H](C)C[C@@H](C[C@@H]1N)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687434	pIC50=7.56
C(Oc1cccc2ccc(nc12)c3nnc4ccccn34)c5ccncc5	CHEMBL3660047	pIC50=7.57
CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)c5ccccc15	CHEMBL7463	pIC50=7.57
CN1CCN(CC2=Nc3c(oc4ccc(Br)cc34)C(=O)N2)CC1	CHEMBL2035633	pIC50=7.57
Clc1cccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c1	CHEMBL1915426	pIC50=7.57
N(c1ccccc1)c2nc3c(cccc3c4cscc24)c5nnc[nH]5	CHEMBL2017325	pIC50=7.57
O=C1NC(=O)C(=C1c2c[nH]c3ccccc23)c4c[nH]c5ccccc45	CHEMBL266487	pKd=7.57
O[C@@H]1CC[C@@H](CC1)Nc2ccc3nnn(c4cccc(OC(F)(F)F)c4)c3n2	CHEMBL1952133	pIC50=7.57
O[C@@H]1CC[C@H](CC1)Nc2ccn3ncc(c4cccc(OC(F)(F)F)c4)c3n2	CHEMBL3355544	pIC50=7.57
Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCC3)nc2c1Br	CHEMBL3684958	pIC50=7.59
Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N4CCCC4)nc2c1Br	CHEMBL3689332	pIC50=7.59
CCN(CC)CCOc1cncc(n1)c2ccc3[nH]cc(c4ccnc(N)n4)c3c2	CHEMBL3264254	pIC50=7.59
CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(cn23)c4ccc(F)c(F)c4)C5CCCCC5)CC1	CHEMBL3297763	pIC50=7.59
CS(=O)(=O)c1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(Cl)c1	CHEMBL1915446	pIC50=7.59
FC1CNCCC1Oc2cccc3ccc(nc23)c4nnc5cc(F)ccn45	CHEMBL3660057	pIC50=7.59
Fc1ccc(Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5)c(Cl)c1	CHEMBL1915444	pIC50=7.59
C1CC(C1)Nc2nc3c(cccc3c4cnccc24)c5nnc[nH]5	CHEMBL1915429	pIC50=7.6
C1NCC1Nc2ccn3ncc(c4ccc5ccccc5c4)c3n2	CHEMBL2442297	pIC50=7.6
CC(=O)c1cccc(c1)c2cnc3ccc(NCC4CC4)nn23	CHEMBL200528	pKd=7.6
C[C@@H]1C[C@@H](C[C@H](N)[C@@H]1OCCS(=O)(=O)C)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F	CHEMBL3687488	pIC50=7.6
FC(F)(F)Oc1cccc(c1)c2cnc3ccc(NCCc4cccnc4)nn23	CHEMBL1952326	pIC50=7.6
Fc1cccc(F)c1c2ccc3[nH]nc(c4cncc(O[C@@H]5CNCCC56CC6)n4)c3c2	CHEMBL3393707	pIC50=7.6
NC(=O)c1cccc2c3cnccc3c(Nc4c(F)cccc4F)nc12	CHEMBL1915651	pIC50=7.6
OCCCNC(=O)c1cccc(c1)c2oc(\C=C/3\C(=O)Nc4ccc(Cl)cc34)cc2	CHEMBL2037199	pIC50=7.6
O[C@@H]1CC[C@H](CC1)Nc2ccn3ncc(c4cccc(c4)C(F)(F)F)c3n2	CHEMBL3355550	pIC50=7.6
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=7.61
