CC1=[N+](CCCCCCCCCC[N+]2=C(C)C=C(N)C3=CC=CC=C23)C2=CC=CC=C2C(N)=C1	dequalinium	pIC50=5.89	pIC50=5.89	pIC50=5.89
FC(F)(F)Oc1ccccc1CNc2cc(Cl)nc3ccnn23	CHEMBL509297	pIC50=5.0
[O-][N+](=O)c1cccc(CNc2cc(Cl)nc3ccnn23)c1	CHEMBL471826	pIC50=5.1
Clc1cc(NC(Cc2ccccc2)c3ccccc3)n4nccc4n1	CHEMBL513544	pIC50=5.13
Clc1cccc(CNc2cc(Cl)nc3ccnn23)c1	CHEMBL469756	pIC50=5.28
Cl.Cl.COc1cc2CCN(C)[C@@H](CCC[C@@H]3N(C)CCc4cc(OC)c(OC)cc34)c2cc1OC	CHEMBL257156	pIC50=5.52
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(Cc3cccc(Cc4c5c(cccc5cc[n+]4C)C(C)C)c3)c12	CHEMBL1909931	pIC50=5.53
C1C[C@@H](Nc2nc3ccccc3[nH]2)c4ccccc4C1	CHEMBL510780	pEC50=5.66
[Cl-].[Cl-].Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]3c(C)cc(N)c4ccccc34	CHEMBL121663	pIC50=5.7
Clc1cc2CCCC(Nc3nc4ccccc4[nH]3)c2cc1Cl	CHEMBL511710	pEC50=5.74
Clc1cc(NCc2ccccc2)n3nccc3n1	CHEMBL452406	pIC50=5.8
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(Cc3ccc(Cc4c5c(cccc5cc[n+]4C)C(C)C)cc3)c12	CHEMBL1909932	pKi=5.9
C[C@@H](Nc1cc(Cl)nc2ccnn12)c3ccccc3	CHEMBL469732	pIC50=6.0
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(CCCc3c4c(cccc4cc[n+]3C)C(C)C)c12	CHEMBL1909928	pKi=6.08
Clc1cc(NCc2cccs2)n3nccc3n1	CHEMBL472452	pIC50=6.24
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(CCCCCc3c4c(cccc4cc[n+]3C)C(C)C)c12	CHEMBL1909930	pKi=6.24
N(c1ccccn1)c2nc(cs2)c3ccccn3	CHEMBL489770	pIC50=6.27
[I-].[I-].CC(C)c1cccc2cc[n+](C)c(CCCCc3c4c(cccc4cc[n+]3C)C(C)C)c12	CHEMBL1909929	pKi=6.67
C1CC[n+]2ccc(NCc3ccc(CNc4cc[n+](CC1)c5ccccc45)cc3)c6ccccc26	CHEMBL360621	pIC50=7.22
Cc1ccnc(Nc2nc(cs2)c3ccccn3)c1	CHEMBL476339	pIC50=7.23
C1CC[n+]2ccc(NCc3cccc(CNc4cc[n+](CC1)c5ccccc45)c3)c6ccccc26	CHEMBL3040285	pIC50=7.51
Cc1ccn(n1)c2nc(Nc3ccc(F)cc3)c4ncn(C)c4n2	CHEMBL2324346	pEC50=7.7
