CC(C)(C)NC1=C(Nc2ccnc(Nc3ccc(cc3)c4cccnc4)n2)C(=O)C1=O	CHEMBL2205425	pKi=7.55
CC(C)NCc1ccc([C@@H](C)Oc2cc(sc2C(=O)N)c3cnc4ccccn34)c(Cl)c1	CHEMBL560808	pIC50=7.55
CN1CCN(CC1)c2ccc(OC(F)(F)F)c(Nc3nccc(n3)c4cc5C(=O)NCCc5n4CC(F)(F)F)c2	CHEMBL1933583	pIC50=7.55
COc1cccc(COc2cc(sc2C(=O)N)n3cnc4ccccc34)c1	CHEMBL516248	pIC50=7.55
COc1cc2ncn(c3cc(OCc4occc4)c(s3)C(=O)N)c2cc1OC	CHEMBL482349	pIC50=7.57
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CN5CCC(O)CC5)cc4Cl	CHEMBL564067	pIC50=7.57
CNC(=O)c1nn(C)c2c1CCc3cnc(Nc4cc(ccc4OC)N5CCN(C)CC5)nc23	CHEMBL3652220	pIC50=7.59
COc1c(F)c(ccc1Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5	CHEMBL2392547	pIC50=7.59
NC(=O)c1nn(CCF)c2c1CCc3cnc(Nc4ccccc4OC(F)(F)F)nc23	CHEMBL3652221	pIC50=7.59
CN1CCCN(CC1)c2ccc(OC(F)(F)F)c(Nc3ncc4CCc5c(nn(C)c5c4n3)C(=O)N)c2	CHEMBL1272195	pIC50=7.6
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CNC5CCCC5)cc4Cl	CHEMBL564529	pIC50=7.6
COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)[C@H]4CCC5=O)OC(=O)C)[C@]1(C)c23	CHEMBL428496	pIC50=7.62
CCN1C(=O)[C@H](CNc2ccc(NC(=O)NCCN3CCCC3)cc2)S/C/1=C(/C#N)\C(=O)OCC=C	CHEMBL477407	pIC50=7.64
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CNC(C)(C)CO)cc4Cl	CHEMBL563411	pIC50=7.64
CC(C)(C)NC1=C(Nc2ccnc(Nc3ccc4OCCc4c3)n2)C(=O)C1=O	CHEMBL2205465	pKi=7.66
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CN(C)C)cc4Cl	CHEMBL563387	pIC50=7.66
NC(=O)c1sc(cc1OCc2cccc(Cl)c2)n3cnc4ccccc34	CHEMBL445277	pIC50=7.66
NC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)c3cnc4ccccn34	CHEMBL564431	pIC50=7.66
CCNCc1ccc([C@@H](C)Oc2cc(sc2C(=O)N)c3cnc4ccccn34)c(Cl)c1	CHEMBL551483	pIC50=7.68
COc1cc2ncn(c3cc(OCc4cccc(N)c4)c(s3)C(=O)N)c2cc1OC	CHEMBL475783	pIC50=7.68
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CNC(C)(C)C)cc4Cl	CHEMBL551545	pIC50=7.68
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CNCCO)cc4Cl	CHEMBL563363	pIC50=7.68
C[C@H](Nc1cc2c(cn1)c(C)nn2c3cc(Cl)cc(CCC(=O)O)c3)c4ccccc4	CHEMBL484473	pIC50=7.68
Cc1ccccc1COc2cc(sc2C(=O)N)n3cnc4cc(Cl)ccc34	CHEMBL481492	pIC50=7.68
CC(=O)N1CCc2cc(Nc3nccc(NC4=C(NC(C)(C)C)C(=O)C4=O)n3)ccc12	CHEMBL2205422	pKi=7.7
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL509032	pKd=7.7
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CN5CCC(O)C5)cc4Cl	CHEMBL562735	pIC50=7.7
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CNC(C)(C)C)cc4C(F)F	CHEMBL551078	pIC50=7.7
NC(=O)c1sc2c(cc(SC(F)(F)F)cc2[n+]1[O-])[N+](=O)[O-]	CHEMBL1222044	pIC50=7.7
C[C@@H](Oc1cc(sc1C(=O)N)c2cnc3ccccn23)c4ccc(CNCCCO)cc4Cl	CHEMBL552084	pIC50=7.72
CN1CCN(CC1)c2ccc(OC(F)(F)F)c(Nc3nccc(n3)c4cc(cn4CC(F)(F)F)C(=O)N)c2	CHEMBL1933577	pIC50=7.75
C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(cc23)c4ccccc4)c5ccccc5C(F)(F)F	CHEMBL1209604	pIC50=7.75
Cn1cc(cc1c2ccnc(Nc3cc(ccc3OC(F)(F)F)N4CCNCC4)n2)C(=O)N	CHEMBL1933578	pIC50=7.75
CC(C)(C)NC1=C(Nc2ccnc(Nc3ccc4[nH]ncc4c3)n2)C(=O)C1=O	CHEMBL2205466	pKi=7.77
COc1cc2ncn(c3cc(OCC4CCCCC4)c(s3)C(=O)N)c2cc1OC	CHEMBL520080	pIC50=7.77
COc1cc2ncn(c3cc(OCc4ccccc4C(=O)C)c(s3)C(=O)N)c2cc1OC	CHEMBL514634	pIC50=7.77
