CN(C)S(=O)(=O)N1CCN(CC1)c2ccnc(CO)n2	CHEMBL90488	pIC50=6.0
OCc1nccc(n1)N2CCN(CC2)c3ncnc4ccccc34	CHEMBL148822	pIC50=6.05
C[C@H](O)c1nccc(n1)N2C[C@@H](C)N([C@@H](C)C2)c3ccnc(n3)[C@H](C)O	CHEMBL284537	pIC50=6.08
OCc1nccc(n1)N2CCN(CC2)c3oc4ccccc4n3	CHEMBL148647	pIC50=6.13
OCc1nccc(n1)N2CCN(CC2)c3ccc4ccccc4n3	CHEMBL151605	pIC50=6.23
CO[C@@H](C)c1nccc(n1)N2CCN(CC2)S(=O)(=O)N(C)C	CHEMBL330334	pIC50=6.31
OCc1nccc(n1)N2CCN(CC2)c3nc(Cl)nc(Cl)n3	CHEMBL148935	pIC50=6.31
Cc1cc(nc(C)n1)N2CCN(CC2)c3ccnc(CO)n3	CHEMBL423753	pIC50=6.32
OCc1nccc(n1)N2CCN(CC2)c3nccc4ccccc34	CHEMBL358327	pIC50=6.37
OCc1nccc(n1)N2CCN(CC2)c3noc4ccccc34	CHEMBL357712	pIC50=6.39
Cc1cc(C)nc(n1)N2CCN(CC2)c3ccnc(CO)n3	CHEMBL151268	pIC50=6.46
OCc1nccc(n1)N2CCN(CC2)c3nsc4ccccc34	CHEMBL146805	pIC50=6.48
C[C@@H](O)c1nccc(n1)N2[C@H](C)CN(C[C@@H]2C)c3oc4cnccc4n3	CHEMBL345725	pIC50=6.57
OCc1nccc(n1)N2CCN(CC2)c3ccnc(CO)n3	CHEMBL348663	pIC50=6.59
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3nc(C)cc(n3)c4ccccc4	CHEMBL151704	pIC50=6.66
C[C@@H]1CN(C[C@H](C)N1c2ccnc(n2)C(=O)C)c3ccnc(n3)C(=O)C	CHEMBL277816	pIC50=6.67
C[C@@H](O)c1nccc(n1)N2CCN(C[C@@H]2C)c3nc(C)cc(CO)n3	CHEMBL151602	pIC50=6.7
C[C@@H](O)c1nccc(n1)N2CCN(CC2)c3nc(cc(n3)C(F)(F)F)C(F)(F)F	CHEMBL148436	pIC50=6.72
C[C@@H](O)c1nccc(n1)N2[C@H](C)CN(C[C@@H]2C)c3cnc4ccccc4n3	CHEMBL345259	pIC50=6.75
CC(O)c1nccc(n1)N2CCN(CC2)S(=O)(=O)N(C)C	CHEMBL91846	pIC50=6.76
