Cc1c(CCO)sc[n+]1Cc2cc(I)cnc2N	CHEMBL270384	pEC50=6.0
CCc1c(CCO)sc[n+]1Cc2ccc(C)nc2N	CHEMBL255541	pEC50=6.02
Cc1ccc(C[n+]2c(C)c(CCO)sc2Cc3cccnc3)c(N)n1	CHEMBL404163	pEC50=6.08
CC(=O)Nc1ccc(C[n+]2csc(CCO)c2C)c(N)n1	CHEMBL256831	pEC50=6.1
Cc1c(Cc2cnc(nc2N)C3CC3)csc1CCO	CHEMBL256177	pEC50=6.18
Cc1ccc(C[n+]2csc(CCO)c2CO)c(N)n1	CHEMBL402566	pEC50=6.24
Cc1ccc(C[n+]2cc(CCO)sc2C)c(N)n1	CHEMBL270632	pEC50=6.31
C\C(=C(/CCO)\SS\C(=C(\C)/N(Cc1cccnc1N)C=O)\CCO)\N(Cc2cccnc2N)C=O	CHEMBL251889	pEC50=6.32
Cc1c(CCO)sc[n+]1Cc2ccc(nc2)C(F)(F)F	CHEMBL257929	pEC50=6.33
Cc1c(CCO)sc[n+]1Cc2ccc(nc2N)C#N	CHEMBL429246	pEC50=6.44
Cc1ccc(C[n+]2csc(C(O)CO)c2C)c(N)n1	CHEMBL255542	pEC50=6.52
Cc1c(Cc2cnc(nc2N)c3ccccc3)csc1CCO	CHEMBL255548	pKd=6.64
Cc1cncc(C[n+]2csc(CCO)c2C)c1	CHEMBL256267	pKd=6.66
Cc1ncc(C[n+]2csc(CCOP(=O)(C)OP(=O)(O)O)c2C)c(N)n1	CHEMBL430409	pKd=6.77
Cc1c(CCO)sc[n+]1Cc2ccc(nc2N)C(F)(F)F	CHEMBL270168	pEC50=6.8
Cc1c(CCO)sc[n+]1Cc2ccc(nc2)C(=O)c3ccccc3C(=O)O	CHEMBL402065	pKd=6.85
CC(O)c1sc(CCO)c(C)[n+]1Cc2ccc(C)nc2N	CHEMBL255339	pKd=6.92
C\C(=C(/CCO)\SCOC(=O)C(C)(C)C)\N(Cc1ccc(C)nc1N)C=O	CHEMBL253044	pEC50=6.94
Cc1c(CCO)sc[n+]1Cc2cccnc2N	CHEMBL403365	pEC50=6.96
[Cl-].Cc1c(CCO)sc[n+]1Cc2cccnc2N	CHEMBL252637	pEC50=6.96
CCc1sc(CCO)c(C)[n+]1Cc2ccc(C)nc2N	CHEMBL403212	pKd=7.13
CC(C)c1ncc(Cc2csc(CCO)c2C)c(N)n1	CHEMBL255550	pKd=7.19
Cc1c(CCO)sc[n+]1Cc2cnccc2N	CHEMBL271521	pKd=7.19
Cc1c(Cc2cnc(nc2N)C(F)(F)F)csc1CCO	CHEMBL401572	pKd=7.2
Cc1ccc(C[n+]2c(C)sc(CCO)c2C)c(N)n1	CHEMBL402329	pEC50=7.25
C\C(=C(/CCO)\SSCCC(=O)O)\N(Cc1ccc(C)nc1N)C=O	CHEMBL401965	pEC50=7.28
Cc1ccc(C[n+]2csc([C@H](O)CO)c2C)c(N)n1	CHEMBL258077	pEC50=7.3
Cc1c(CCO)sc[n+]1Cc2ccc(Cl)nc2N	CHEMBL270613	pKd=7.34
