Nc1ncnc2c1ncn2CC#CCO	CHEMBL46348	pIC50=6.0
Clc1ccc(Oc2ccc(Cl)cc2N(CC(=O)NCCN3CCCC3)CC(=O)N4CCC(CC4)c5ccccc5)cc1	CHEMBL3322535	pIC50=6.01
Nc1ncc(F)c2c1ncn2[C@H]3[C@H](O)[C@H](O)C=C3F	CHEMBL3290667	pIC50=6.01
Nc1ncnc2c1ncn2C\C=C\C(O)CO	CHEMBL296107	pIC50=6.02
CC(=CCn1cnc2c(N)ncnc12)C	CHEMBL298115	pIC50=6.03
Nc1ncnc2c1ncn2[C@@H]3C=C(CCl)[C@@H](O)[C@H]3O	CHEMBL419393	pIC50=6.03
Nc1ncnc2c1ncn2[C@H]3[C@H](O)[C@H](O)C(=C3F)CCO	CHEMBL3580900	pIC50=6.04
COC(=O)N1CCC(CC1)N(C)C(=O)CN(CC(=O)NCCN2CCCC2)c3cc(Cl)ccc3Oc4ccc(Cl)cc4	CHEMBL3322546	pIC50=6.05
Nc1ncnc2c1ncn2[C@@H]3C=C(CO)[C@@H](O)[C@H]3O	CHEMBL8771	pIC50=6.05
Nc1ncc(F)c2c1ncn2[C@@H]3C[C@@H](O)[C@@H](O)[C@H]3O	CHEMBL3290649	pIC50=6.06
Nc1ncnc2c1ncn2[C@@H]3C=C[C@@H](O)[C@H]3O	CHEMBL299961	pIC50=6.06
Nc1ncnc2c1ncn2[C@@H]3C=C(CO)C(=O)[C@H]3O	CHEMBL2368540	pKi=6.1
CC(C)OC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23	CHEMBL608915	pKi=6.11
CCCCOC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23	CHEMBL610384	pKi=6.15
Nc1ncc(F)c2c1ncn2[C@@H]3C[C@@H](F)[C@@H](O)[C@H]3O	CHEMBL3290661	pIC50=6.17
Nc1ncnc2c1ncn2C3O[C@H](C#C)[C@@H](O)[C@H]3O	CHEMBL604208	pKi=6.17
Nc1ncnc2c1ncn2[C@@H]3O[C@H](C=NO)[C@@H](O)[C@H]3O	CHEMBL1288616	pKi=6.17
Nc1ncnc2c1ncn2[C@H]3O[C@@H](\C=N\O)[C@H](O)[C@@H]3O	CHEMBL2364569	pKi=6.17
CCN(C1Cc2ccccc2C1)C(=O)CN(CC(=O)NCCN3CCCC3)c4cc(Cl)ccc4Oc5ccc(Cl)cc5	CHEMBL3597813	pIC50=6.19
CN(C1Cc2ccccc2C1)C(=O)CN(CC(=O)NC[C@H]3CCCN3)c4cc(Cl)ccc4Oc5ccc(Cl)cc5	CHEMBL3322560	pIC50=6.22
CN(C1Cc2ccccc2C1)C(=O)CN(CC(=O)NC[C@H]3CCCN3C(=O)OC(C)(C)C)c4cc(Cl)ccc4Oc5ccc(Cl)cc5	CHEMBL3597822	pIC50=6.22
CC[C@H]1C[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23	CHEMBL296392	pKi=6.23
CC(C)COC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23	CHEMBL610383	pKi=6.24
CCN(CC)C(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23	CHEMBL608072	pKi=6.24
Nc1ncnc2c1ncn2C3O[C@H](\C=C\C#C)[C@@H](O)[C@H]3O	CHEMBL611098	pKi=6.26
CN(Cc1ccccc1)C(=O)CN(CC(=O)NCCN2CCCC2)c3cc(Cl)ccc3Oc4ccc(Cl)cc4	CHEMBL3322532	pIC50=6.28
CN([C@@H]1CC[C@H](CC1)c2ccccc2)C(=O)CN(CC(=O)NCCN3CCCC3)c4cc(Cl)ccc4Oc5ccc(Cl)cc5	CHEMBL3322542	pIC50=6.28
C\C(=C/Cn1cnc2c(N)ncnc12)\CO	CHEMBL295729	pKi=6.3
Nc1ncnc2c1ncn2[C@@H]3C=C(CCO)[C@@H](O)[C@H]3O	CHEMBL310547	pIC50=6.32
Nc1ncnc2c1ncn2[C@H]3[C@H](O)[C@H](O)C(=C3F)CO	CHEMBL64718	pIC50=6.32
Nc1ncc(F)c2c1ncn2[C@@H]3C(F)C[C@@H](O)[C@H]3O	CHEMBL3290668	pIC50=6.34
Nc1nccc2c1ncn2[C@@H]3C=C(CO)[C@@H](O)[C@H]3O	CHEMBL154745	pIC50=6.36
Nc1ncnc2c1ncn2[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)C(=O)O	CHEMBL595547	pKi=6.39
Nc1ncnc2c1ncn2Cc3cc(OCC4CCCCC4)cc(O)c3O	CHEMBL1098945	pIC50=6.4
CN(C1CCCCC1)C(=O)CN(CC(=O)NCCN2CCCC2)c3cc(Cl)ccc3Oc4ccc(Cl)cc4	CHEMBL3322533	pIC50=6.42
Nc1ncnc2c1ncn2C3O[C@@H]([C@@H](O)[C@H]3O)C(=O)OCc4ccccc4	CHEMBL612224	pKi=6.44
CN(CCc1ccccc1)C(=O)CN(CC(=O)NCCN2CCCC2)c3cc(Cl)ccc3Oc4ccc(Cl)cc4	CHEMBL3322534	pIC50=6.47
CN(C1Cc2ccccc2C1)C(=O)CN(CC(=O)NCCCN3CCCC3)c4cc(Cl)ccc4Oc5ccc(Cl)cc5	CHEMBL3322551	pIC50=6.48
Nc1ncnc2c1ncn2C\C=C\CO	CHEMBL49917	pKi=6.48
CN(C1Cc2ccccc2C1)C(=O)CN(CC(=O)NCCN3CCCCC3)c4cc(Cl)ccc4Oc5ccc(Cl)cc5	CHEMBL3322552	pIC50=6.5
Nc1ncnc2c1ncn2C3O[C@@H]([C@@H](O)[C@H]3O)C(=O)OCCCl	CHEMBL610148	pKi=6.5
