ON1C(=O)c2cccc3c(Cl)ccc(C1=O)c23	CHEMBL1415852	pIC50=6.16
ON1C(=O)N(Cc2ccccc2)c3sccc3C1=O	CHEMBL182974	pIC50=6.17
ON1C(=O)NC(=CC1=O)c2ccccc2	CHEMBL3617203	pIC50=6.2
OC(=O)C(=O)CC(=O)c1ccc(s1)c2ccc(Cl)c(F)c2	CHEMBL361960	pIC50=6.24
OC(=O)C(=O)CC(=O)c1ccc(s1)c2ccc(OC(F)(F)F)cc2	CHEMBL182756	pIC50=6.36
OC(=O)C(=O)CC(=O)c1ccc(cc1Cl)c2ccc(Cl)cc2	CHEMBL183257	pIC50=6.39
OC(=O)C(=O)CC(=O)c1cc(ccc1Cl)c2ccccc2	CHEMBL188067	pIC50=6.48
ON1C(=O)Nc2ccccc2C1=O	CHEMBL183852	pIC50=6.52
ON1C(=O)c2cccc3cccc(C1=O)c23	CHEMBL1207029	pIC50=6.52
ON1C(=O)Nc2cc(Nc3ccccc3)ccc2C1=O	CHEMBL3617197	pIC50=6.64
COc1ccc(cc1)c2ccc(Cl)c(c2)C(=O)CC(=O)C(=O)O	CHEMBL182748	pIC50=6.72
Cc1ccc(cc1)c2coc3C(=O)N(O)C(=O)Nc23	CHEMBL182381	pIC50=7.24
CC(=O)Nc1cccc2C(=O)N(O)C(=O)Nc12	CHEMBL3617199	pIC50=7.42
ON1C(=O)Nc2sccc2C1=O	CHEMBL361350	pIC50=8.05
ON1C(=O)Nc2c(csc2C1=O)c3ccccc3	CHEMBL361011	pIC50=8.52
Cc1csc2C(=O)N(O)C(=O)N(Cc3cccc(c3)c4ccc(cc4)C(=O)N)c12	CHEMBL181907	pIC50=8.97
CN1C(=O)N(O)C(=O)c2c(C)csc12	CHEMBL181637	pIC50=9.47
ON1C(=O)Nc2c(oc3ccccc23)C1=O	CHEMBL181766	pIC50=9.55
ON1C(=O)Nc2cc(sc2C1=O)c3ccccc3	CHEMBL183062	pIC50=9.84
ON1C(=O)Nc2c(occ2c3ccccc3)C1=O	CHEMBL183539	pIC50=9.85
CC(C)(C)c1cc2NC(=O)N(O)C(=O)c2s1	CHEMBL360615	pIC50=9.87
ON1C(=O)Nc2c(occ2c3ccc(Br)cc3)C1=O	CHEMBL180566	pIC50=10.12
ON1C(=O)N(Cc2cccc(Br)c2)c3ccsc3C1=O	CHEMBL185322	pIC50=10.14
ON1C(=O)Nc2c(sc3ccccc23)C1=O	CHEMBL359533	pIC50=10.37
ON1C(=O)Nc2c(Cc3ccccc3)coc2C1=O	CHEMBL183133	pIC50=10.42
COc1ccc(cc1)N2C(=O)N(O)C(=O)c3c(C)csc23	CHEMBL362205	pIC50=10.46
COc1ccc(cc1)c2coc3C(=O)N(O)C(=O)Nc23	CHEMBL359747	pIC50=10.47
COc1cccc(c1)c2coc3C(=O)N(O)C(=O)Nc23	CHEMBL185325	pIC50=10.51
Cc1csc2N(Cc3ccccc3)C(=O)N(O)C(=O)c12	CHEMBL181709	pIC50=10.55
ON1C(=O)Nc2c(occ2c3ccc(cc3)c4ccccc4)C1=O	CHEMBL364591	pIC50=10.64
COc1cc(CN2C(=O)N(O)C(=O)c3c(C)csc23)cc4OCOc14	CHEMBL182519	pIC50=10.74
Cc1csc2NC(=O)N(O)C(=O)c12	CHEMBL183792	pIC50=10.85
ON1C(=O)Nc2cccc(Cl)c2C1=O	CHEMBL182687	pIC50=10.85
ON1C(=O)N(CC2COc3ccccc3O2)c4ccsc4C1=O	CHEMBL361546	pIC50=10.96
ON1C(=O)Nc2c(scc2S(=O)(=O)c3ccccc3)C1=O	CHEMBL361962	pIC50=11.0
