CCCn1c(nc2c(NCCCc3ccccc3)ncnc12)c4occc4	CHEMBL3742158	pKi=6.02
CCCn1c(nc2c(NCCc3ccccc3)ncnc12)c4occc4	CHEMBL3741337	pKi=6.09
CCCn1c(nc2c(N)ncnc12)c3occc3	CHEMBL3087706	pKi=6.1
CCc1cc2C(=O)NC(=Nc2s1)c3cocc3	CHEMBL3745803	pKd=6.13
O=C(Nc1nc(cs1)C2CC2)c3cc4ccccc4s3	CHEMBL3745868	pKd=6.13
Oc1cccc2C=C(C(=O)Oc12)c3cc(Br)cs3	CHEMBL3818426	pKi=6.13
CNC(=O)[C@@]12C[C@@H]1[C@H]([C@H](O)[C@@H]2O)n3cnc4c(OC)nc(nc34)C#Cc5ccc(Cl)s5	CHEMBL3799847	pKi=6.17
CCCn1c(Br)nc2c(N)nc(NCc3ccccc3)nc12	CHEMBL3740631	pKi=6.19
CNC(=O)[C@@]12C[C@@H]1[C@H]([C@H](O)[C@@H]2O)n3cnc4cnc(NC)nc34	CHEMBL3800202	pKi=6.22
CNC(=O)[C@@]12C[C@@H]1[C@H]([C@H](O)[C@@H]2O)n3cnc4c(\C=C(/O)\c5ccccc5Cl)nc(nc34)C#Cc6ccccc6Cl	CHEMBL3797208	pKi=6.29
CCCn1c(nc2c(NCc3ccccc3)ncnc12)c4occc4	CHEMBL3739903	pKi=6.4
Cc1sc2N=C(NC(=O)c2c1C)c3cocc3	CHEMBL3745825	pKi=6.4
O=C(Nc1nc2CCCc2s1)c3cc4ccccc4s3	CHEMBL2006198	pKi=6.42
CNC(=O)[C@@]12C[C@@H]1[C@H]([C@H](O)[C@@H]2O)n3cnc4c(C)nc(nc34)C#Cc5cnccn5	CHEMBL3798963	pKi=6.47
O=C(Nc1nc2ccccc2s1)c3cc4ccccc4s3	CHEMBL1316867	pKi=6.48
CNC(=O)[C@@]12C[C@@H]1[C@H]([C@H](O)[C@@H]2O)n3cnc4c(C)nc(nc34)C#Cc5ccc(cc5)C(C)(C)C	CHEMBL3799095	pKi=6.52
CCCn1c(nc2c(N)nc(NCCCc3ccccc3)nc12)c4occc4	CHEMBL3740992	pKi=6.58
O=C1NC(=Nc2scc(c3occc3)c12)c4occc4	CHEMBL3747100	pKi=6.86
CNC(=O)[C@@]12C[C@@H]1[C@H]([C@H](O)[C@@H]2O)n3cnc4cnc(nc34)C#Cc5ccc(F)c(F)c5	CHEMBL3800509	pKi=6.91
