ON(CC(Cc1ccccc1)C(=O)O)C=O	CHEMBL161705	pKi=6.01
OC(=O)C(Cc1ccccc1)C[N+](=O)[O-]	CHEMBL261331	pKi=6.1
ON(C[C@@H](Cc1ccccc1)C(=O)O)C=O	CHEMBL161819	pKi=6.25
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	CHEMBL400526	pKi=6.28
OC(=O)C[C@@H](Cc1ccccc1)C(=O)O	CHEMBL259621	pKi=6.35
OC(=O)C(CC(=O)C[N+](=O)[O-])Cc1ccccc1	CHEMBL571291	pKi=6.37
OC(=O)CC(Cc1ccccc1)C(=O)O	CHEMBL151284	pIC50=6.4
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	CHEMBL253224	pKi=6.46
ON(CC(Cc1ccccc1)C(=O)O)C(=O)Cc2ccccc2	CHEMBL161702	pKi=6.5
OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)[C@H](S)Cc3ccccc3	CHEMBL163454	pKi=6.51
OC(=O)C(CC(=O)C(F)(F)F)Cc1ccccc1	CHEMBL565957	pKi=6.7
OC(=O)[C@@H](CC(=O)C[N+](=O)[O-])Cc1ccccc1	CHEMBL571509	pKi=6.8
OC(=O)[C@H](Cc1ccccc1)C[N+](=O)[O-]	CHEMBL407567	pKi=6.82
