CCCCCCCCCCCCCCCCCCOCC(COP(=S)(O)O)OC	CHEMBL2335052	pEC50=7.0
CCCCCCCCOc1c(C)cc(CNCCCP(=O)(O)O)cc1OC	CHEMBL432813	pIC50=7.05
CCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC	CHEMBL117723	pIC50=7.1
CCCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1	CHEMBL333335	pIC50=7.13
OC(=O)c1cc(Br)ccc1S(=O)(=O)NCCCCN2C(=O)c3cccc4cccc(C2=O)c34	CHEMBL3322508	pEC50=7.22
CCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1F	CHEMBL119873	pIC50=7.23
CCCCCCCCOc1c(Cl)cc(CNCCCP(=O)(O)O)cc1OC	CHEMBL117715	pIC50=7.24
CCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1Cl	CHEMBL119413	pIC50=7.26
OC(=O)c1ccc(Br)cc1S(=O)(=O)NCCCCN2C(=O)c3cccc4cccc(C2=O)c34	CHEMBL3322507	pEC50=7.3
CCCCCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC	CHEMBL118815	pIC50=7.38
CCCCCCCCCc1ccc(CNCCCP(=O)(O)O)cc1	CHEMBL118860	pIC50=7.4
CCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1Br	CHEMBL119354	pIC50=7.44
CCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC	CHEMBL118783	pIC50=7.48
CCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1C	CHEMBL331054	pIC50=7.5
CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O	CHEMBL117021	pEC50=7.54
CCCCCCCCc1ccc(CNCCCP(=O)(O)O)cc1	CHEMBL119256	pIC50=7.59
CCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1Br	CHEMBL332667	pIC50=7.64
CCCCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC	CHEMBL441826	pIC50=7.75
CCCCCCCCOc1c(C)cc(CNCCCP(=O)(O)O)cc1C	CHEMBL119440	pIC50=7.82
CCCCCCCCOc1c(Cl)cc(CNCCCP(=O)(O)O)cc1Cl	CHEMBL119116	pIC50=8.18
OC(=O)c1cc(F)ccc1S(=O)(=O)NCCCCN2C(=O)c3cccc4cccc(C2=O)c34	CHEMBL3322513	pEC50=9.82
