O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1	trimetaphan
[H]C12CCC([H])(C1)C(C)(NC)C2(C)C	mecamylamine	pKi=6.2218	pKi=6.2218	pKi=6.2218
C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1	pentolonium
Fc1cc(OC(=O)N2CCN3CCC2CC3)ccc1Cl	CHEMBL555703	pIC50=5.0
CC(C\C=C\C(=O)N(C)C)N(C)C	CHEMBL468697	pKi=5.2
CC(CCOC(=S)N(C)C)N(C)C	CHEMBL468903	pKi=5.3
CCCNC(=O)OCCC(C)N(C)C	CHEMBL466399	pKi=5.3
O=C(Oc1ccc2ccccc2c1)N3CCN4CCC3CC4	CHEMBL564850	pIC50=5.31
Clc1ccc(OC(=O)N2CCN3CCC2CC3)cc1Cl	CHEMBL552994	pIC50=5.32
Cc1cc(OC(=O)N2CCN3CCC2CC3)ccc1Br	CHEMBL551330	pIC50=5.4
CC(CCOC(=O)N)N(C)C	CHEMBL449334	pKi=5.5
C[N+]1(C)C2CCC1CC(C2)OC(=O)c3c[nH]c4ccccc34	CHEMBL111583	pKi=5.64
CC(CCOC(=O)NCCO)N(C)C	CHEMBL501227	pKi=5.66
Clc1cc(OC(=O)N2CCN3CCC2CC3)ccc1Br	CHEMBL561469	pIC50=5.68
CC(CCOC(=O)N(C)Cc1ccccc1)N(C)C	CHEMBL500318	pKi=5.8
Brc1ccc(OC(=O)N2CCN3CCC2CC3)cc1C(=O)c4ccccc4	CHEMBL564825	pIC50=5.86
CN1CCC[C@H]1C1=CC=CN=C1	nicotine	pKi=6.66
[O-][N+](=O)\C=C/1\NCCCN1Cc2ccc(Cl)nc2	CHEMBL2270633	pIC50=6.75
BrC1=CC=C2[C@H]3CNC[C@H](C3)CN2C1=O	CHEMBL365956	pIC50=7.81
Clc1ccc(CN2CCNC2=N)cn1	CHEMBL309804	pIC50=7.85
