CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)OC(C)(C)C(C)(C)O6)c7ncnn17	CHEMBL3648561	pIC50=8.46
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)OC(=O)C(C)(C)O6)c7ncnn17	CHEMBL3648602	pIC50=8.5
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCN(Cc6ccccc6)CC5)c7ncnn17	CHEMBL3648628	pIC50=8.5
CCCC1=C(Cc2ccc(cc2)c3ccccc3c4nnn[nH]4)C(=O)N(C5CCC6(CC5)OC(C)(C)C(C)(C)O6)c7ncnn17	CHEMBL3648562	pIC50=8.5
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)OCC(=C)CO6)c7ncnn17	CHEMBL3648599	pIC50=8.51
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)OCCCO6)c7ncnn17	CHEMBL3648600	pIC50=8.51
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@](C)(CO)CC5)c6ncnn16	CHEMBL3648568	pIC50=8.51
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@]6(CCC(CO)O6)CC5)c7ncnn17	CHEMBL3648634	pIC50=8.51
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(Cc5ccc(cc5)C(=O)C)c6ncnn16	CHEMBL3648518	pIC50=8.52
CCCN1C(=O)C(=C(CCC)n2ncnc12)Cc3ccc(cc3)c4ccccc4C5=NC(=O)ON5	CHEMBL3648519	pIC50=8.52
CCCC1=C(C(C)c2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OCC(C)(C)O)c6ncnn16	CHEMBL3648536	pIC50=8.54
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCN(CC5)c6ccc(O)cc6)c7ncnn17	CHEMBL3648632	pIC50=8.54
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@H](CC5)Oc6ccc(OC)cc6)c7ncnn17	CHEMBL3648590	pIC50=8.55
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@](O)(COC)CC5)c6ncnn16	CHEMBL3648607	pIC50=8.55
CCCC1=C(Cc2ccc(cc2F)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OC(C)C(O)(CF)CF)c6ncnn16	CHEMBL3648624	pIC50=8.55
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@H](CC5)OCCO)c6nc(C)nn16	CHEMBL3648601	pIC50=8.57
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@]6(CC5)CC(=NO6)C)c7ncnn17	CHEMBL3648573	pIC50=8.57
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)Oc6ccc(cc6)C(=O)C)c7ncnn17	CHEMBL3648595	pIC50=8.57
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@]6(CC5)CC(=NO6)C)c7ncnn17	CHEMBL3648574	pIC50=8.57
CCCC1=C(Cc2ccc(cc2F)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5C[C@@H](C5)OCC(C)(C)O)c6nc(C)nn16	CHEMBL3648637	pIC50=8.57
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(Cc5ccc(F)cc5)c6ncnn16	CHEMBL3648512	pIC50=8.59
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC(=NOC6CCOCC6)CC5)c7ncnn17	CHEMBL3648571	pIC50=8.6
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@H](CC5)OCC(C)(C)O)c6ncnn16	CHEMBL3648550	pIC50=8.6
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OCC6(CCC6)C#N)c7ncnn17	CHEMBL3648580	pIC50=8.6
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)c6ocnc6)c7ncnn17	CHEMBL3648564	pIC50=8.6
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@](C)(CC5)OCCO)c6ncnn16	CHEMBL3648563	pIC50=8.6
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@](C)(O)CC5)c6ncnn16	CHEMBL3648593	pIC50=8.6
CCCC1=C(Cc2ccc(cc2F)c3ccccc3C4=NC(=O)ON4)C(=O)N(Cc5ccc(OC)cc5OC)c6ncnn16	CHEMBL3648520	pIC50=8.6
CCCC1=C(Cc2ccc(cc2F)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OC(C)C#N)c6nc(C)nn16	CHEMBL3648586	pIC50=8.6
CCCC1=C(Cc2ccc(cc2F)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OC6(CC6)C(C)(C)O)c7ncnn17	CHEMBL3648622	pIC50=8.6
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC(CC5)OC)c6ncnn16	CHEMBL3648548	pIC50=8.62
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCCOC5)c6ncnn16	CHEMBL3648535	pIC50=8.62
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(Cc5ccc(CC)nc5)c6nc(C)nn16	CHEMBL3648514	pIC50=8.62
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)Oc6ccc(OC)cc6)c7ncnn17	CHEMBL3648589	pIC50=8.62
CCCC1=C(Cc2ccc(cc2F)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OCC6(O)CCC6)c7ncnn17	CHEMBL3648587	pIC50=8.62
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)O[C@H]7COC[C@H]7O6)c8ncnn18	CHEMBL3648604	pIC50=8.64
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OC(C)C#N)c6ncnn16	CHEMBL3648584	pIC50=8.64
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OC6(CC6)C(C)(C)O)c7ncnn17	CHEMBL3648623	pIC50=8.64
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OCC(C)(C)O)c6ncnn16	CHEMBL3648631	pIC50=8.64
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OCC(O)(CC)CC)c6ncnn16	CHEMBL3648579	pIC50=8.64
